iteration_limit,game_index,seed,winner,deciding_criterion,secured_margin_p1_minus_p2,advantage_margin_p1_minus_p2,corrected_objective_piece_margin_p1_minus_p2,first_persistent_full_lexicographic_lead_turn,first_supply_securing_turn,final_secured_supply_count,final_p1_secured_supply_count,final_p2_secured_supply_count,supply_placements,objective_placements,supply_placement_share,objective_placement_share,sample
10000,91,1131000090,2,secured_objectives,-1,3,4,22,5,3,2,1,41,31,0.5694444444444444,0.4305555555555556,issue-112-corrected
10000,92,1131000091,0,draw,0,0,0,,12,3,1,2,37,35,0.5138888888888888,0.4861111111111111,issue-112-corrected
10000,93,1131000092,2,secured_objectives,-1,3,5,22,4,3,1,2,40,32,0.5555555555555556,0.4444444444444444,issue-112-corrected
10000,94,1131000093,1,advantage_objectives,0,1,2,23,8,3,1,2,39,33,0.5416666666666666,0.4583333333333333,issue-112-corrected
10000,95,1131000094,1,secured_objectives,1,1,1,19,5,5,3,2,40,32,0.5555555555555556,0.4444444444444444,issue-112-corrected
10000,96,1131000095,1,advantage_objectives,0,3,4,13,4,6,2,4,38,34,0.5277777777777778,0.4722222222222222,issue-112-corrected
10000,97,1131000096,1,secured_objectives,1,1,1,17,5,5,2,3,38,34,0.5277777777777778,0.4722222222222222,issue-112-corrected
10000,98,1131000097,2,objective_pieces,0,0,-1,24,5,4,1,3,37,35,0.5138888888888888,0.4861111111111111,issue-112-corrected
10000,99,1131000098,2,secured_objectives,-1,3,5,22,8,3,0,3,40,32,0.5555555555555556,0.4444444444444444,issue-112-corrected
10000,100,1131000099,1,secured_objectives,1,-1,-2,19,6,4,1,3,37,35,0.5138888888888888,0.4861111111111111,issue-112-corrected
30000,1,1151000000,1,secured_objectives,1,-1,-2,23,4,4,1,3,37,35,0.5138888888888888,0.4861111111111111,issue-112-corrected
30000,2,1151000001,2,advantage_objectives,0,-1,-2,22,7,4,2,2,38,34,0.5277777777777778,0.4722222222222222,issue-112-corrected
30000,3,1151000002,1,advantage_objectives,0,1,3,19,7,3,1,2,35,37,0.4861111111111111,0.5138888888888888,issue-112-corrected
30000,4,1151000003,1,advantage_objectives,0,3,4,7,5,4,3,1,36,36,0.5,0.5,issue-112-corrected
30000,5,1151000004,2,secured_objectives,-1,2,3,24,5,5,2,3,38,34,0.5277777777777778,0.4722222222222222,issue-112-corrected
30000,6,1151000005,1,advantage_objectives,0,1,1,15,3,4,2,2,33,39,0.4583333333333333,0.5416666666666666,issue-112-corrected
30000,7,1151000006,2,secured_objectives,-1,1,1,22,4,6,3,3,39,33,0.5416666666666666,0.4583333333333333,issue-112-corrected
30000,8,1151000007,1,advantage_objectives,0,1,3,21,6,4,1,3,36,36,0.5,0.5,issue-112-corrected
30000,9,1151000008,1,secured_objectives,1,-1,-2,5,3,3,2,1,39,33,0.5416666666666666,0.4583333333333333,issue-112-corrected
30000,10,1151000009,1,secured_objectives,1,-1,0,17,5,5,3,2,41,31,0.5694444444444444,0.4305555555555556,issue-112-corrected
