"board","experiment_id","iteration_limit","game_index","turn_number","progress","placement_number","mover","target","target_type","supply_source","region"
"6x6","6x6-uct-0100","100","32","40","0.833333","1","2","S45","supply","","MH"
"6x6","6x6-uct-0100","100","32","40","0.833333","2","2","O14","objective","S24","LH"
"6x6","6x6-uct-0100","100","32","40","0.833333","3","2","O25","objective","S36","MH"
"6x6","6x6-uct-0100","100","32","41","0.854167","1","1","O42","objective","S43","HM"
"6x6","6x6-uct-0100","100","32","41","0.854167","2","1","S42","supply","","ML"
"6x6","6x6-uct-0100","100","32","41","0.854167","3","1","S22","supply","","LL"
"6x6","6x6-uct-0100","100","32","42","0.875000","1","2","O13","objective","S23","LM"
"6x6","6x6-uct-0100","100","32","42","0.875000","2","2","S30","supply","","ML"
"6x6","6x6-uct-0100","100","32","42","0.875000","3","2","S61","supply","","HL"
"6x6","6x6-uct-0100","100","32","43","0.895833","1","1","O14","objective","S15","LH"
"6x6","6x6-uct-0100","100","32","43","0.895833","2","1","O03","objective","S03","LM"
"6x6","6x6-uct-0100","100","32","43","0.895833","3","1","O44","objective","S54","HH"
"6x6","6x6-uct-0100","100","32","44","0.916667","1","2","S04","supply","","LM"
"6x6","6x6-uct-0100","100","32","44","0.916667","2","2","O14","objective","S24","LH"
"6x6","6x6-uct-0100","100","32","44","0.916667","3","2","O50","objective","S61","HL"
"6x6","6x6-uct-0100","100","32","45","0.937500","1","1","O42","objective","S42","HM"
"6x6","6x6-uct-0100","100","32","45","0.937500","2","1","O25","objective","S26","MH"
"6x6","6x6-uct-0100","100","32","45","0.937500","3","1","O03","objective","S13","LM"
"6x6","6x6-uct-0100","100","32","46","0.958333","1","2","S04","supply","","LM"
"6x6","6x6-uct-0100","100","32","46","0.958333","2","2","S44","supply","","MM"
"6x6","6x6-uct-0100","100","32","46","0.958333","3","2","S50","supply","","HL"
"6x6","6x6-uct-0100","100","32","47","0.979167","1","1","O32","objective","S42","MM"
"6x6","6x6-uct-0100","100","32","47","0.979167","2","1","S53","supply","","HM"
"6x6","6x6-uct-0100","100","32","47","0.979167","3","1","S33","supply","","MM"
"6x6","6x6-uct-0100","100","32","48","1.000000","1","2","O40","objective","S40","HL"
"6x6","6x6-uct-0100","100","32","48","1.000000","2","2","O54","objective","S64","HH"
"6x6","6x6-uct-0100","100","32","48","1.000000","3","2","S21","supply","","LL"
"6x6","6x6-uct-0100","100","33","1","0.020833","1","1","S52","supply","","HL"
"6x6","6x6-uct-0100","100","33","1","0.020833","2","1","S31","supply","","ML"
"6x6","6x6-uct-0100","100","33","1","0.020833","3","1","S44","supply","","MM"
"6x6","6x6-uct-0100","100","33","2","0.041667","1","2","S04","supply","","LM"
"6x6","6x6-uct-0100","100","33","2","0.041667","2","2","S14","supply","","LM"
"6x6","6x6-uct-0100","100","33","2","0.041667","3","2","S24","supply","","LM"
"6x6","6x6-uct-0100","100","33","3","0.062500","1","1","O44","objective","S44","HH"
"6x6","6x6-uct-0100","100","33","3","0.062500","2","1","S26","supply","","LH"
"6x6","6x6-uct-0100","100","33","3","0.062500","3","1","S62","supply","","HL"
"6x6","6x6-uct-0100","100","33","4","0.083333","1","2","S54","supply","","HM"
"6x6","6x6-uct-0100","100","33","4","0.083333","2","2","S45","supply","","MH"
"6x6","6x6-uct-0100","100","33","4","0.083333","3","2","S44","supply","","MM"
"6x6","6x6-uct-0100","100","33","5","0.104167","1","1","S32","supply","","ML"
"6x6","6x6-uct-0100","100","33","5","0.104167","2","1","O25","objective","S26","MH"
"6x6","6x6-uct-0100","100","33","5","0.104167","3","1","S23","supply","","LM"
"6x6","6x6-uct-0100","100","33","6","0.125000","1","2","O54","objective","S54","HH"
"6x6","6x6-uct-0100","100","33","6","0.125000","2","2","S26","supply","","LH"
"6x6","6x6-uct-0100","100","33","6","0.125000","3","2","S62","supply","","HL"
"6x6","6x6-uct-0100","100","33","7","0.145833","1","1","S54","supply","","HM"
"6x6","6x6-uct-0100","100","33","7","0.145833","2","1","O22","objective","S23","MM"
"6x6","6x6-uct-0100","100","33","7","0.145833","3","1","S63","supply","","HM"
"6x6","6x6-uct-0100","100","33","8","0.166667","1","2","S61","supply","","HL"
"6x6","6x6-uct-0100","100","33","8","0.166667","2","2","O34","objective","S45","MH"
"6x6","6x6-uct-0100","100","33","8","0.166667","3","2","S55","supply","","HH"
"6x6","6x6-uct-0100","100","33","9","0.187500","1","1","S60","supply","","HL"
"6x6","6x6-uct-0100","100","33","9","0.187500","2","1","S34","supply","","MM"
"6x6","6x6-uct-0100","100","33","9","0.187500","3","1","O13","objective","S23","LM"
"6x6","6x6-uct-0100","100","33","10","0.208333","1","2","S03","supply","","LM"
