iteration_limit,game_index,checkpoint,turn_number,checkpoint_leader,winner,eligible,late_reversal
100000,53,0.75,14,0,2,False,False
100000,53,0.9,17,2,2,True,False
100000,54,0.75,14,1,2,True,True
100000,54,0.9,17,0,2,False,False
100000,55,0.75,14,0,0,False,False
100000,55,0.9,17,1,0,False,False
100000,56,0.75,14,1,1,True,False
100000,56,0.9,17,1,1,True,False
100000,57,0.75,14,1,1,True,False
100000,57,0.9,17,1,1,True,False
100000,58,0.75,14,0,0,False,False
100000,58,0.9,17,1,0,False,False
100000,59,0.75,14,0,2,False,False
100000,59,0.9,17,1,2,True,True
100000,60,0.75,14,1,1,True,False
100000,60,0.9,17,1,1,True,False
100000,61,0.75,14,1,1,True,False
100000,61,0.9,17,1,1,True,False
100000,62,0.75,14,2,2,True,False
100000,62,0.9,17,1,2,True,True
100000,63,0.75,14,0,2,False,False
100000,63,0.9,17,1,2,True,True
100000,64,0.75,14,2,2,True,False
100000,64,0.9,17,0,2,False,False
100000,65,0.75,14,0,1,False,False
100000,65,0.9,17,1,1,True,False
100000,66,0.75,14,1,2,True,True
100000,66,0.9,17,0,2,False,False
100000,67,0.75,14,0,2,False,False
100000,67,0.9,17,1,2,True,True
100000,68,0.75,14,1,1,True,False
100000,68,0.9,17,1,1,True,False
100000,69,0.75,14,1,0,False,False
100000,69,0.9,17,1,0,False,False
100000,70,0.75,14,1,1,True,False
100000,70,0.9,17,1,1,True,False
100000,71,0.75,14,1,0,False,False
100000,71,0.9,17,1,0,False,False
100000,72,0.75,14,0,1,False,False
100000,72,0.9,17,1,1,True,False
100000,73,0.75,14,1,1,True,False
100000,73,0.9,17,1,1,True,False
100000,74,0.75,14,1,1,True,False
100000,74,0.9,17,1,1,True,False
100000,75,0.75,14,1,1,True,False
100000,75,0.9,17,1,1,True,False
100000,76,0.75,14,2,2,True,False
100000,76,0.9,17,0,2,False,False
100000,77,0.75,14,1,1,True,False
100000,77,0.9,17,1,1,True,False
100000,78,0.75,14,1,2,True,True
100000,78,0.9,17,1,2,True,True
100000,79,0.75,14,1,1,True,False
100000,79,0.9,17,1,1,True,False
100000,80,0.75,14,2,2,True,False
100000,80,0.9,17,2,2,True,False
100000,81,0.75,14,0,1,False,False
100000,81,0.9,17,1,1,True,False
100000,82,0.75,14,2,2,True,False
100000,82,0.9,17,2,2,True,False
100000,83,0.75,14,0,1,False,False
100000,83,0.9,17,1,1,True,False
100000,84,0.75,14,1,1,True,False
100000,84,0.9,17,1,1,True,False
100000,85,0.75,14,1,2,True,True
100000,85,0.9,17,1,2,True,True
100000,86,0.75,14,1,1,True,False
100000,86,0.9,17,1,1,True,False
100000,87,0.75,14,2,0,False,False
100000,87,0.9,17,1,0,False,False
100000,88,0.75,14,1,1,True,False
100000,88,0.9,17,1,1,True,False
100000,89,0.75,14,1,2,True,True
100000,89,0.9,17,1,2,True,True
100000,90,0.75,14,1,0,False,False
100000,90,0.9,17,1,0,False,False
100000,91,0.75,14,0,2,False,False
100000,91,0.9,17,1,2,True,True
100000,92,0.75,14,1,1,True,False
100000,92,0.9,17,1,1,True,False
100000,93,0.75,14,1,2,True,True
100000,93,0.9,17,0,2,False,False
100000,94,0.75,14,0,1,False,False
100000,94,0.9,17,1,1,True,False
100000,95,0.75,14,1,0,False,False
100000,95,0.9,17,1,0,False,False
100000,96,0.75,14,2,2,True,False
100000,96,0.9,17,2,2,True,False
100000,97,0.75,14,1,1,True,False
100000,97,0.9,17,1,1,True,False
100000,98,0.75,14,0,2,False,False
100000,98,0.9,17,1,2,True,True
100000,99,0.75,14,1,1,True,False
100000,99,0.9,17,1,1,True,False
100000,100,0.75,14,1,1,True,False
100000,100,0.9,17,1,1,True,False
