sample,iteration_limit,game_index,early_central_placement_any,early_central_placement_count,first_central_commitment_turn,first_central_commitment_p1_turn,central_occupation_after_p1_turn_1,central_occupation_after_p1_turn_2,central_occupation_after_p1_turn_3,early_central_occupation_turn_count,early_central_contest_any,early_central_contest_turn_count
issue-82-original,100000,74,True,8,1,1,True,True,True,3,True,5
issue-82-original,100000,75,True,7,1,1,True,True,True,3,True,5
issue-82-original,100000,76,True,8,1,1,True,True,True,3,True,5
issue-82-original,100000,77,True,8,1,1,True,True,True,3,True,5
issue-82-original,100000,78,True,8,1,1,True,True,True,3,True,5
issue-82-original,100000,79,True,7,1,1,True,True,True,3,True,5
issue-82-original,100000,80,True,8,1,1,True,True,True,3,True,5
issue-82-original,100000,81,True,8,1,1,True,True,True,3,True,5
issue-82-original,100000,82,True,8,1,1,True,True,True,3,True,5
issue-82-original,100000,83,True,8,1,1,True,True,True,3,True,5
issue-82-original,100000,84,True,8,1,1,True,True,True,3,True,5
issue-82-original,100000,85,True,7,1,1,True,True,True,3,True,5
issue-82-original,100000,86,True,8,1,1,True,True,True,3,True,5
issue-82-original,100000,87,True,7,1,1,True,True,True,3,True,5
issue-82-original,100000,88,True,8,1,1,True,True,True,3,True,5
issue-82-original,100000,89,True,8,1,1,True,True,True,3,True,5
issue-82-original,100000,90,True,7,1,1,True,True,True,3,True,5
issue-82-original,100000,91,True,8,1,1,True,True,True,3,True,5
issue-82-original,100000,92,True,8,1,1,True,True,True,3,True,5
issue-82-original,100000,93,True,7,1,1,True,True,True,3,True,5
issue-82-original,100000,94,True,7,1,1,True,True,True,3,True,5
issue-82-original,100000,95,True,8,1,1,True,True,True,3,True,5
issue-82-original,100000,96,True,8,1,1,True,True,True,3,True,5
issue-82-original,100000,97,True,8,1,1,True,True,True,3,True,5
issue-82-original,100000,98,True,7,1,1,True,True,True,3,True,5
issue-82-original,100000,99,True,7,1,1,True,True,True,3,True,5
issue-82-original,100000,100,True,7,1,1,True,True,True,3,True,5
issue-108-corrected,10000,1,True,7,1,1,True,True,True,3,True,5
issue-108-corrected,10000,2,True,6,1,1,True,True,True,3,True,5
issue-108-corrected,10000,3,True,7,1,1,True,True,True,3,True,5
issue-108-corrected,10000,4,True,7,1,1,True,True,True,3,True,5
issue-108-corrected,10000,5,True,7,1,1,True,True,True,3,True,5
issue-108-corrected,10000,6,True,7,1,1,True,True,True,3,True,5
issue-108-corrected,10000,7,True,7,1,1,True,True,True,3,True,5
issue-108-corrected,10000,8,True,7,1,1,True,True,True,3,True,5
issue-108-corrected,10000,9,True,8,1,1,True,True,True,3,True,5
issue-108-corrected,10000,10,True,7,1,1,True,True,True,3,True,5
issue-108-corrected,10000,11,True,8,1,1,True,True,True,3,True,5
issue-108-corrected,10000,12,True,7,1,1,True,True,True,3,True,5
issue-108-corrected,10000,13,True,7,1,1,True,True,True,3,True,5
issue-108-corrected,10000,14,True,7,1,1,True,True,True,3,True,5
issue-108-corrected,10000,15,True,8,1,1,True,True,True,3,True,5
issue-108-corrected,10000,16,True,7,1,1,True,True,True,3,True,5
issue-108-corrected,10000,17,True,7,1,1,True,True,True,3,True,5
issue-108-corrected,10000,18,True,8,1,1,True,True,True,3,True,5
issue-108-corrected,10000,19,True,7,1,1,True,True,True,3,True,5
issue-108-corrected,10000,20,True,7,1,1,True,True,True,3,True,5
issue-108-corrected,10000,21,True,8,1,1,True,True,True,3,True,5
issue-108-corrected,10000,22,True,6,1,1,True,True,True,3,True,5
issue-108-corrected,10000,23,True,7,1,1,True,True,True,3,True,5
issue-108-corrected,10000,24,True,7,1,1,True,True,True,3,True,5
issue-108-corrected,10000,25,True,7,1,1,True,True,True,3,True,5
issue-108-corrected,10000,26,True,7,1,1,True,True,True,3,True,5
issue-108-corrected,10000,27,True,7,1,1,True,True,True,3,True,5
issue-108-corrected,10000,28,True,7,1,1,True,True,True,3,True,5
issue-108-corrected,10000,29,True,7,1,1,True,True,True,3,True,5
issue-108-corrected,10000,30,True,8,1,1,True,True,True,3,True,5
issue-108-corrected,10000,31,True,7,1,1,True,True,True,3,True,5
issue-108-corrected,10000,32,True,7,1,1,True,True,True,3,True,5
issue-108-corrected,10000,33,True,7,1,1,True,True,True,3,True,5
issue-108-corrected,10000,34,True,7,1,1,True,True,True,3,True,5
issue-108-corrected,10000,35,True,7,1,1,True,True,True,3,True,5
issue-108-corrected,10000,36,True,7,1,1,True,True,True,3,True,5
issue-108-corrected,10000,37,True,8,1,1,True,True,True,3,True,5
issue-108-corrected,10000,38,True,7,1,1,True,True,True,3,True,5
issue-108-corrected,10000,39,True,7,1,1,True,True,True,3,True,5
issue-108-corrected,10000,40,True,7,1,1,True,True,True,3,True,5
issue-108-corrected,10000,41,True,6,1,1,True,True,True,3,True,5
issue-108-corrected,10000,42,True,7,1,1,True,True,True,3,True,5
issue-108-corrected,10000,43,True,7,1,1,True,True,True,3,True,5
issue-108-corrected,10000,44,True,7,1,1,True,True,True,3,True,5
issue-108-corrected,10000,45,True,7,1,1,True,True,True,3,True,5
issue-108-corrected,10000,46,True,7,1,1,True,True,True,3,True,5
issue-108-corrected,10000,47,True,7,1,1,True,True,True,3,True,5
issue-108-corrected,10000,48,True,7,1,1,True,True,True,3,True,5
