checkpoint_turn,feature,uct_30000_standardized_mean_difference,uct_100000_standardized_mean_difference,direction_agreement,uct_30000_direction,uct_100000_direction
12,leader_secured_supply,-0.418401,0.046573,0,lower_in_reversal,higher_in_reversal
12,leader_secured_supply_margin,-0.033202,0.233003,0,lower_in_reversal,higher_in_reversal
12,leader_trend_2_advantage_objective_margin,0.140618,-0.100131,0,higher_in_reversal,lower_in_reversal
12,leader_trend_2_important_control_margin,0.102259,0.110425,1,higher_in_reversal,higher_in_reversal
12,leader_trend_2_objective_piece_margin,0.239876,0.136291,1,higher_in_reversal,higher_in_reversal
12,leader_trend_2_secured_objective_margin,0.050837,0.20462,1,higher_in_reversal,higher_in_reversal
12,leader_trend_2_secured_supply_margin,-0.098557,-0.072975,1,lower_in_reversal,lower_in_reversal
12,leader_trend_2_support_edge_margin,-0.192065,-0.298836,1,lower_in_reversal,lower_in_reversal
12,leader_trend_2_unsecured_control_margin,-0.170552,-0.071865,1,lower_in_reversal,lower_in_reversal
12,leader_trend_2_usable_support_edges,-0.282781,0.036338,0,lower_in_reversal,higher_in_reversal
12,leader_trend_4_advantage_objective_margin,0.095669,-0.121049,0,higher_in_reversal,lower_in_reversal
12,leader_trend_4_important_control_margin,-0.124331,0.469112,0,lower_in_reversal,higher_in_reversal
12,leader_trend_4_objective_piece_margin,0.426968,-0.256081,0,higher_in_reversal,lower_in_reversal
12,leader_trend_4_secured_objective_margin,-0.059577,0.036428,0,lower_in_reversal,higher_in_reversal
12,leader_trend_4_secured_supply_margin,-0.19594,0.028166,0,lower_in_reversal,higher_in_reversal
12,leader_trend_4_support_edge_margin,-0.520329,0.105554,0,lower_in_reversal,higher_in_reversal
12,leader_trend_4_unsecured_control_margin,-0.160346,0.162033,0,lower_in_reversal,higher_in_reversal
12,leader_trend_4_usable_support_edges,-0.659318,0.064747,0,lower_in_reversal,higher_in_reversal
12,leader_unsecured_controlled_supply,0.368788,0.06873,1,higher_in_reversal,higher_in_reversal
12,leader_unsecured_controlled_supply_margin,0.024442,-0.189399,0,higher_in_reversal,lower_in_reversal
12,leader_usable_supply_support_edge_margin,-0.271607,-0.030669,1,lower_in_reversal,lower_in_reversal
12,leader_usable_supply_support_edges,-0.446383,-0.05994,1,lower_in_reversal,lower_in_reversal
12,live_objectives,-0.723985,-0.501494,1,lower_in_reversal,lower_in_reversal
12,opponent_advantage_objectives,-0.21546,-0.209948,1,lower_in_reversal,lower_in_reversal
12,opponent_cumulative_objective_placements,0.564756,0.259373,1,higher_in_reversal,higher_in_reversal
12,opponent_cumulative_objective_share,0.564756,0.259373,1,higher_in_reversal,higher_in_reversal
12,opponent_cumulative_supply_placements,-0.564756,-0.259373,1,lower_in_reversal,lower_in_reversal
12,opponent_cumulative_supply_source_usage,0.564756,0.259373,1,higher_in_reversal,higher_in_reversal
12,opponent_objective_pieces,0.564756,0.259373,1,higher_in_reversal,higher_in_reversal
12,opponent_primary_important_sites_controlled,0.16212,0.018038,1,higher_in_reversal,higher_in_reversal
12,opponent_recent_2_important_site_usage,0.421879,-0.040617,0,higher_in_reversal,lower_in_reversal
12,opponent_recent_2_objective_placements,0.216695,-0.167681,0,higher_in_reversal,lower_in_reversal
12,opponent_recent_2_supply_placements,-0.216695,0.167681,0,lower_in_reversal,higher_in_reversal
12,opponent_recent_4_important_site_usage,0.450549,0.149235,1,higher_in_reversal,higher_in_reversal
12,opponent_recent_4_objective_placements,0.273699,-0.050041,0,higher_in_reversal,lower_in_reversal
12,opponent_recent_4_supply_allocation_change,-0.044902,0.180774,0,lower_in_reversal,higher_in_reversal
12,opponent_recent_4_supply_placements,-0.273699,0.050041,0,lower_in_reversal,higher_in_reversal
12,opponent_secured_objectives,0.849334,0.549609,1,higher_in_reversal,higher_in_reversal
12,opponent_secured_supply,-0.361442,-0.347147,1,lower_in_reversal,lower_in_reversal
12,opponent_trend_2_usable_support_edges,-0.049537,0.396982,0,lower_in_reversal,higher_in_reversal
12,opponent_trend_4_usable_support_edges,-0.043587,-0.055605,1,lower_in_reversal,lower_in_reversal
12,opponent_unsecured_controlled_supply,0.347752,0.382156,1,higher_in_reversal,higher_in_reversal
12,opponent_usable_supply_support_edges,-0.191947,-0.03061,1,lower_in_reversal,lower_in_reversal
16,S12_leader_relative_state,-0.431918,-0.218547,1,lower_in_reversal,lower_in_reversal
16,S13_leader_relative_state,-0.50749,-0.150228,1,lower_in_reversal,lower_in_reversal
16,S21_leader_relative_state,-0.338969,0.14125,0,lower_in_reversal,higher_in_reversal
16,S22_leader_relative_state,0.208508,-0.165396,0,higher_in_reversal,lower_in_reversal
16,S23_leader_relative_state,0.190171,0.077582,1,higher_in_reversal,higher_in_reversal
16,contested_supply_count,-0.199994,0.212939,0,lower_in_reversal,higher_in_reversal
16,decisive_layer_advantage_objectives,0.0,0.146017,0,no_difference,higher_in_reversal
16,decisive_layer_objective_pieces,-0.196212,-0.190843,1,lower_in_reversal,lower_in_reversal
16,decisive_layer_secured_objectives,0.118986,-0.03832,0,higher_in_reversal,lower_in_reversal
16,decisive_margin,-0.377636,-0.318046,1,lower_in_reversal,lower_in_reversal
16,leader_advantage_objective_margin,-0.146206,0.124527,0,lower_in_reversal,higher_in_reversal
16,leader_advantage_objectives,0.11354,0.222626,1,higher_in_reversal,higher_in_reversal
16,leader_cumulative_objective_placements,0.183271,-0.286136,0,higher_in_reversal,lower_in_reversal
16,leader_cumulative_objective_share,0.183271,-0.286136,0,higher_in_reversal,lower_in_reversal
16,leader_cumulative_objective_share_margin,-0.06611,-0.157495,1,lower_in_reversal,lower_in_reversal
16,leader_cumulative_supply_placements,-0.183271,0.286136,0,lower_in_reversal,higher_in_reversal
16,leader_cumulative_supply_source_usage,0.183271,-0.286136,0,higher_in_reversal,lower_in_reversal
16,leader_cumulative_supply_source_usage_margin,-0.06611,-0.157495,1,lower_in_reversal,lower_in_reversal
16,leader_objective_piece_margin,-0.06611,-0.157495,1,lower_in_reversal,lower_in_reversal
16,leader_objective_pieces,0.183271,-0.286136,0,higher_in_reversal,lower_in_reversal
16,leader_primary_important_control_margin,-0.373886,-0.182662,1,lower_in_reversal,lower_in_reversal
16,leader_primary_important_sites_controlled,-0.312161,-0.060364,1,lower_in_reversal,lower_in_reversal
16,leader_recent_2_all_objective_turn_margin,0.217238,-0.560241,0,higher_in_reversal,lower_in_reversal
16,leader_recent_2_all_supply_turn_margin,-0.250397,-0.050323,1,lower_in_reversal,lower_in_reversal
16,leader_recent_2_important_site_usage,-0.172348,-0.152161,1,lower_in_reversal,lower_in_reversal
16,leader_recent_2_important_site_usage_margin,-0.207282,-0.162381,1,lower_in_reversal,lower_in_reversal
16,leader_recent_2_mixed_turn_margin,-0.157616,0.498755,0,lower_in_reversal,higher_in_reversal
16,leader_recent_2_objective_placements,0.05802,-0.112786,0,higher_in_reversal,lower_in_reversal
16,leader_recent_2_objective_share_margin,0.064178,-0.168495,0,higher_in_reversal,lower_in_reversal
16,leader_recent_2_supply_placements,-0.05802,0.112786,0,lower_in_reversal,higher_in_reversal
16,leader_recent_2_supply_source_usage_margin,0.064178,-0.168495,0,higher_in_reversal,lower_in_reversal
16,leader_recent_4_all_objective_turn_margin,0.443768,-0.315328,0,higher_in_reversal,lower_in_reversal
16,leader_recent_4_all_supply_turn_margin,0.318248,0.074539,1,higher_in_reversal,higher_in_reversal
16,leader_recent_4_important_site_usage,-0.094856,-0.095705,1,lower_in_reversal,lower_in_reversal
16,leader_recent_4_important_site_usage_margin,-0.288878,-0.146462,1,lower_in_reversal,lower_in_reversal
16,leader_recent_4_mixed_turn_margin,-0.513282,0.220244,0,lower_in_reversal,higher_in_reversal
16,leader_recent_4_objective_allocation_change_margin,0.161533,-0.095354,0,higher_in_reversal,lower_in_reversal
16,leader_recent_4_objective_placement_margin,-0.076769,-0.165152,1,lower_in_reversal,lower_in_reversal
16,leader_recent_4_objective_placements,0.137124,-0.195333,0,higher_in_reversal,lower_in_reversal
16,leader_recent_4_objective_share_margin,-0.076769,-0.165152,1,lower_in_reversal,lower_in_reversal
16,leader_recent_4_supply_allocation_change,0.094512,-0.053793,0,higher_in_reversal,lower_in_reversal
16,leader_recent_4_supply_allocation_change_margin,-0.161533,0.095354,0,lower_in_reversal,higher_in_reversal
16,leader_recent_4_supply_placements,-0.137124,0.195333,0,lower_in_reversal,higher_in_reversal
16,leader_recent_4_supply_source_usage_margin,-0.076769,-0.165152,1,lower_in_reversal,lower_in_reversal
16,leader_secured_objective_margin,0.030526,-0.113676,0,higher_in_reversal,lower_in_reversal
16,leader_secured_objectives,0.061073,-0.426221,0,higher_in_reversal,lower_in_reversal
16,leader_secured_supply,-0.460933,0.134505,0,lower_in_reversal,higher_in_reversal
16,leader_secured_supply_margin,-0.715538,-0.006653,1,lower_in_reversal,lower_in_reversal
16,leader_trend_2_advantage_objective_margin,0.327958,0.048541,1,higher_in_reversal,higher_in_reversal
16,leader_trend_2_important_control_margin,-0.212731,-0.057184,1,lower_in_reversal,lower_in_reversal
16,leader_trend_2_objective_piece_margin,0.064178,-0.168495,0,higher_in_reversal,lower_in_reversal
16,leader_trend_2_secured_objective_margin,-0.178439,0.21179,0,lower_in_reversal,higher_in_reversal
16,leader_trend_2_secured_supply_margin,-0.422529,-0.515243,1,lower_in_reversal,lower_in_reversal
16,leader_trend_2_support_edge_margin,0.036003,-0.314365,0,higher_in_reversal,lower_in_reversal
16,leader_trend_2_unsecured_control_margin,0.235947,0.495243,1,higher_in_reversal,higher_in_reversal
16,leader_trend_2_usable_support_edges,0.077498,0.150368,1,higher_in_reversal,higher_in_reversal
16,leader_trend_4_advantage_objective_margin,-0.362207,-0.133339,1,lower_in_reversal,lower_in_reversal
16,leader_trend_4_important_control_margin,-0.308704,-0.197361,1,lower_in_reversal,lower_in_reversal
16,leader_trend_4_objective_piece_margin,-0.076769,-0.165152,1,lower_in_reversal,lower_in_reversal
16,leader_trend_4_secured_objective_margin,0.327722,0.187221,1,higher_in_reversal,higher_in_reversal
16,leader_trend_4_secured_supply_margin,-0.447483,-0.766033,1,lower_in_reversal,lower_in_reversal
16,leader_trend_4_support_edge_margin,-0.034141,-0.169107,1,lower_in_reversal,lower_in_reversal
16,leader_trend_4_unsecured_control_margin,0.371442,0.647801,1,higher_in_reversal,higher_in_reversal
16,leader_trend_4_usable_support_edges,-0.242847,0.116028,0,lower_in_reversal,higher_in_reversal
16,leader_unsecured_controlled_supply,0.329142,-0.125871,0,higher_in_reversal,lower_in_reversal
16,leader_unsecured_controlled_supply_margin,0.717251,0.077729,1,higher_in_reversal,higher_in_reversal
16,leader_usable_supply_support_edge_margin,-0.170571,-0.461473,1,lower_in_reversal,lower_in_reversal
16,leader_usable_supply_support_edges,-0.273368,-0.028448,1,lower_in_reversal,lower_in_reversal
16,live_objectives,-0.045369,0.356467,0,lower_in_reversal,higher_in_reversal
16,opponent_advantage_objectives,0.365352,0.076497,1,higher_in_reversal,higher_in_reversal
16,opponent_cumulative_objective_placements,0.227917,-0.183624,0,higher_in_reversal,lower_in_reversal
16,opponent_cumulative_objective_share,0.227917,-0.183624,0,higher_in_reversal,lower_in_reversal
16,opponent_cumulative_supply_placements,-0.227917,0.183624,0,lower_in_reversal,higher_in_reversal
16,opponent_cumulative_supply_source_usage,0.227917,-0.183624,0,higher_in_reversal,lower_in_reversal
16,opponent_objective_pieces,0.227917,-0.183624,0,higher_in_reversal,lower_in_reversal
16,opponent_primary_important_sites_controlled,0.280509,0.258634,1,higher_in_reversal,higher_in_reversal
16,opponent_recent_2_important_site_usage,0.11446,0.097138,1,higher_in_reversal,higher_in_reversal
16,opponent_recent_2_objective_placements,-0.007856,0.038411,0,lower_in_reversal,higher_in_reversal
16,opponent_recent_2_supply_placements,0.007856,-0.038411,0,higher_in_reversal,lower_in_reversal
16,opponent_recent_4_important_site_usage,0.333365,0.13342,1,higher_in_reversal,higher_in_reversal
16,opponent_recent_4_objective_placements,0.213078,-0.065226,0,higher_in_reversal,lower_in_reversal
16,opponent_recent_4_supply_allocation_change,0.313906,-0.153199,0,higher_in_reversal,lower_in_reversal
16,opponent_recent_4_supply_placements,-0.213078,0.065226,0,lower_in_reversal,higher_in_reversal
