experiment_id,checkpoint_turn,feature,reversal_n,lead_preserved_n,reversal_mean,reversal_median,lead_preserved_mean,lead_preserved_median,standardized_mean_difference,effect_direction,absolute_standardized_difference,absolute_effect_rank
uct-10000-self-play,12,opponent_advantage_objectives,37,35,1.486486,2.0,1.771429,2.0,-0.320253,lower_in_reversal,0.320253,17
uct-10000-self-play,12,S13_leader_relative_state,37,35,-0.108108,0.0,0.257143,0.0,-0.314769,lower_in_reversal,0.314769,18
uct-10000-self-play,12,leader_cumulative_objective_placements,37,35,7.72973,7.0,7.2,7.0,0.31426,higher_in_reversal,0.31426,19
uct-10000-self-play,12,leader_cumulative_objective_share,37,35,0.429429,0.388889,0.4,0.388889,0.31426,higher_in_reversal,0.31426,20
uct-10000-self-play,12,leader_cumulative_supply_placements,37,35,10.27027,11.0,10.8,11.0,-0.31426,lower_in_reversal,0.31426,21
uct-10000-self-play,12,leader_cumulative_supply_source_usage,37,35,7.72973,7.0,7.2,7.0,0.31426,higher_in_reversal,0.31426,22
uct-10000-self-play,12,leader_objective_pieces,37,35,7.72973,7.0,7.2,7.0,0.31426,higher_in_reversal,0.31426,23
uct-10000-self-play,12,S12_leader_relative_state,37,35,-0.405405,0.0,-0.057143,0.0,-0.305775,lower_in_reversal,0.305775,24
uct-10000-self-play,12,leader_trend_4_usable_support_edges,37,35,-1.72973,-3.0,-0.657143,-1.0,-0.301623,lower_in_reversal,0.301623,25
uct-10000-self-play,12,opponent_cumulative_objective_placements,37,35,7.378378,7.0,6.8,7.0,0.30109,higher_in_reversal,0.30109,26
uct-10000-self-play,12,opponent_cumulative_objective_share,37,35,0.40991,0.388889,0.377778,0.388889,0.30109,higher_in_reversal,0.30109,27
uct-10000-self-play,12,opponent_cumulative_supply_placements,37,35,10.621622,11.0,11.2,11.0,-0.30109,lower_in_reversal,0.30109,28
uct-10000-self-play,12,opponent_cumulative_supply_source_usage,37,35,7.378378,7.0,6.8,7.0,0.30109,higher_in_reversal,0.30109,29
uct-10000-self-play,12,opponent_objective_pieces,37,35,7.378378,7.0,6.8,7.0,0.30109,higher_in_reversal,0.30109,30
uct-10000-self-play,12,leader_recent_4_objective_placements,37,35,3.675676,4.0,3.342857,3.0,0.300278,higher_in_reversal,0.300278,31
uct-10000-self-play,12,leader_recent_4_supply_placements,37,35,2.324324,2.0,2.657143,3.0,-0.300278,lower_in_reversal,0.300278,32
uct-10000-self-play,12,opponent_trend_4_usable_support_edges,37,35,-1.027027,-2.0,0.142857,0.0,-0.299611,lower_in_reversal,0.299611,33
uct-10000-self-play,12,decisive_margin,37,35,1.054054,1.0,1.142857,1.0,-0.298928,lower_in_reversal,0.298928,34
uct-10000-self-play,12,opponent_trend_2_usable_support_edges,37,35,-1.027027,-1.0,-0.228571,0.0,-0.29548,lower_in_reversal,0.29548,35
uct-10000-self-play,12,leader_trend_4_secured_supply_margin,37,35,-0.054054,0.0,-0.342857,0.0,0.289263,higher_in_reversal,0.289263,36
uct-10000-self-play,12,leader_trend_2_unsecured_control_margin,37,35,-0.054054,0.0,0.171429,0.0,-0.28815,lower_in_reversal,0.28815,37
uct-10000-self-play,12,leader_recent_4_mixed_turn_margin,37,35,-0.027027,0.0,0.171429,0.0,-0.284989,lower_in_reversal,0.284989,38
uct-10000-self-play,12,leader_trend_2_support_edge_margin,37,35,-1.135135,-1.0,-0.371429,0.0,-0.274333,lower_in_reversal,0.274333,39
uct-10000-self-play,12,leader_trend_2_secured_objective_margin,37,35,0.540541,1.0,0.314286,0.0,0.271169,higher_in_reversal,0.271169,40
uct-10000-self-play,12,leader_trend_2_secured_supply_margin,37,35,-0.108108,0.0,-0.257143,0.0,0.264326,higher_in_reversal,0.264326,41
uct-10000-self-play,12,leader_trend_4_secured_objective_margin,37,35,0.513514,0.0,0.742857,1.0,-0.261291,lower_in_reversal,0.261291,42
uct-10000-self-play,12,leader_recent_4_objective_allocation_change_margin,37,35,0.126126,0.0,0.038095,0.0,0.259956,higher_in_reversal,0.259956,43
uct-10000-self-play,12,leader_recent_4_supply_allocation_change_margin,37,35,-0.126126,0.0,-0.038095,0.0,-0.259956,lower_in_reversal,0.259956,44
uct-10000-self-play,12,opponent_recent_2_objective_placements,37,35,1.972973,2.0,1.771429,2.0,0.256719,higher_in_reversal,0.256719,45
uct-10000-self-play,12,opponent_recent_2_supply_placements,37,35,1.027027,1.0,1.228571,1.0,-0.256719,lower_in_reversal,0.256719,46
uct-10000-self-play,12,leader_advantage_objectives,37,35,0.945946,1.0,1.142857,1.0,-0.24244,lower_in_reversal,0.24244,47
uct-10000-self-play,12,leader_secured_objective_margin,37,35,0.648649,1.0,0.8,1.0,-0.239169,lower_in_reversal,0.239169,48
uct-10000-self-play,12,leader_recent_4_supply_allocation_change,37,35,-0.198198,-0.333333,-0.12381,-0.0,-0.235069,lower_in_reversal,0.235069,49
uct-10000-self-play,12,opponent_recent_4_important_site_usage,37,35,2.216216,2.0,1.914286,2.0,0.227761,higher_in_reversal,0.227761,50
uct-10000-self-play,12,leader_recent_4_all_objective_turn_margin,37,35,-0.027027,0.0,-0.142857,0.0,0.210185,higher_in_reversal,0.210185,51
uct-10000-self-play,12,leader_recent_4_all_supply_turn_margin,37,35,0.054054,0.0,-0.028571,0.0,0.20974,higher_in_reversal,0.20974,52
uct-10000-self-play,12,leader_primary_important_sites_controlled,37,35,1.405405,2.0,1.228571,1.0,0.206988,higher_in_reversal,0.206988,53
uct-10000-self-play,12,leader_recent_4_important_site_usage,37,35,2.162162,2.0,1.857143,2.0,0.202186,higher_in_reversal,0.202186,54
uct-10000-self-play,12,S22_leader_relative_state,37,35,0.081081,0.0,-0.171429,0.0,0.198104,higher_in_reversal,0.198104,55
uct-10000-self-play,12,opponent_recent_2_important_site_usage,37,35,1.189189,1.0,1.028571,1.0,0.196757,higher_in_reversal,0.196757,56
uct-10000-self-play,12,leader_recent_2_all_objective_turn_margin,37,35,0.054054,0.0,-0.028571,0.0,0.192746,higher_in_reversal,0.192746,57
uct-10000-self-play,12,S21_leader_relative_state,37,35,-0.108108,0.0,-0.314286,0.0,0.191537,higher_in_reversal,0.191537,58
uct-10000-self-play,12,leader_recent_2_mixed_turn_margin,37,35,-0.054054,0.0,0.028571,0.0,-0.17931,lower_in_reversal,0.17931,59
uct-10000-self-play,12,leader_trend_4_important_control_margin,37,35,0.135135,0.0,-0.028571,0.0,0.166963,higher_in_reversal,0.166963,60
uct-10000-self-play,12,decisive_layer_advantage_objectives,37,35,0.324324,0.0,0.257143,0.0,0.146136,higher_in_reversal,0.146136,61
uct-10000-self-play,12,leader_trend_4_unsecured_control_margin,37,35,0.108108,0.0,0.285714,0.0,-0.143848,lower_in_reversal,0.143848,62
uct-10000-self-play,12,leader_primary_important_control_margin,37,35,-0.135135,0.0,-0.314286,0.0,0.141715,higher_in_reversal,0.141715,63
uct-10000-self-play,12,leader_recent_2_important_site_usage_margin,37,35,0.108108,0.0,-0.057143,0.0,0.137265,higher_in_reversal,0.137265,64
uct-10000-self-play,12,decisive_layer_secured_objectives,37,35,0.594595,1.0,0.657143,1.0,-0.127659,lower_in_reversal,0.127659,65
uct-10000-self-play,12,leader_recent_4_objective_placement_margin,37,35,-0.054054,0.0,0.057143,0.0,-0.126865,lower_in_reversal,0.126865,66
uct-10000-self-play,12,leader_recent_4_objective_share_margin,37,35,-0.009009,0.0,0.009524,0.0,-0.126865,lower_in_reversal,0.126865,67
uct-10000-self-play,12,leader_recent_4_supply_source_usage_margin,37,35,-0.054054,0.0,0.057143,0.0,-0.126865,lower_in_reversal,0.126865,68
uct-10000-self-play,12,leader_trend_4_objective_piece_margin,37,35,-0.054054,0.0,0.057143,0.0,-0.126865,lower_in_reversal,0.126865,69
uct-10000-self-play,12,leader_recent_2_objective_share_margin,37,35,0.054054,0.0,0.028571,0.0,0.113477,higher_in_reversal,0.113477,70
uct-10000-self-play,12,leader_recent_2_supply_source_usage_margin,37,35,0.162162,0.0,0.085714,0.0,0.113477,higher_in_reversal,0.113477,71
uct-10000-self-play,12,leader_trend_2_objective_piece_margin,37,35,0.162162,0.0,0.085714,0.0,0.113477,higher_in_reversal,0.113477,72
uct-10000-self-play,12,opponent_unsecured_controlled_supply,37,35,1.756757,2.0,1.857143,2.0,-0.102535,lower_in_reversal,0.102535,73
uct-10000-self-play,12,contested_supply_count,37,35,5.405405,5.0,5.542857,5.0,-0.094021,lower_in_reversal,0.094021,74
uct-10000-self-play,12,S23_leader_relative_state,37,35,0.216216,0.0,0.114286,0.0,0.089002,higher_in_reversal,0.089002,75
uct-10000-self-play,12,leader_trend_4_advantage_objective_margin,37,35,-0.513514,0.0,-0.657143,-1.0,0.086026,higher_in_reversal,0.086026,76
uct-10000-self-play,12,leader_trend_2_important_control_margin,37,35,0.054054,0.0,0.0,0.0,0.075488,higher_in_reversal,0.075488,77
uct-10000-self-play,12,leader_advantage_objective_margin,37,35,-0.540541,-1.0,-0.628571,-1.0,0.068573,higher_in_reversal,0.068573,78
uct-10000-self-play,12,leader_cumulative_objective_share_margin,37,35,0.01952,0.0,0.022222,0.055556,-0.065316,lower_in_reversal,0.065316,79
uct-10000-self-play,12,leader_cumulative_supply_source_usage_margin,37,35,0.351351,0.0,0.4,1.0,-0.065316,lower_in_reversal,0.065316,80
uct-10000-self-play,12,leader_objective_piece_margin,37,35,0.351351,0.0,0.4,1.0,-0.065316,lower_in_reversal,0.065316,81
uct-10000-self-play,12,opponent_recent_4_supply_allocation_change,37,35,-0.072072,-0.0,-0.085714,-0.0,0.037595,higher_in_reversal,0.037595,82
uct-10000-self-play,12,leader_usable_supply_support_edge_margin,37,35,-2.135135,-2.0,-2.228571,-2.0,0.032903,higher_in_reversal,0.032903,83
uct-10000-self-play,12,leader_trend_4_support_edge_margin,37,35,-0.702703,-1.0,-0.8,-2.0,0.0257,higher_in_reversal,0.0257,84
uct-10000-self-play,12,decisive_layer_objective_pieces,37,35,0.081081,0.0,0.085714,0.0,-0.01653,lower_in_reversal,0.01653,85
uct-10000-self-play,12,opponent_secured_supply,37,35,1.081081,1.0,1.085714,1.0,-0.006168,lower_in_reversal,0.006168,86
uct-10000-self-play,12,opponent_primary_important_sites_controlled,37,35,1.540541,2.0,1.542857,2.0,-0.002926,lower_in_reversal,0.002926,87
uct-10000-self-play,12,leader_recent_4_important_site_usage_margin,37,35,-0.054054,0.0,-0.057143,0.0,0.00145,higher_in_reversal,0.00145,88
uct-10000-self-play,12,leader_recent_2_all_supply_turn_margin,37,35,0.0,0.0,0.0,0.0,0.0,no_difference,0.0,89
uct-10000-self-play,16,leader_recent_4_mixed_turn_margin,39,41,-0.102564,0.0,0.195122,0.0,-0.515322,lower_in_reversal,0.515322,1
uct-10000-self-play,16,S12_leader_relative_state,39,41,-0.179487,0.0,0.365854,0.0,-0.465056,lower_in_reversal,0.465056,2
uct-10000-self-play,16,leader_recent_4_all_objective_turn_margin,39,41,0.102564,0.0,-0.146341,0.0,0.461272,higher_in_reversal,0.461272,3
uct-10000-self-play,16,S23_leader_relative_state,39,41,0.230769,0.0,-0.341463,0.0,0.461075,higher_in_reversal,0.461075,4
uct-10000-self-play,16,decisive_margin,39,41,1.051282,1.0,1.195122,1.0,-0.439983,lower_in_reversal,0.439983,5
uct-10000-self-play,16,opponent_recent_4_supply_allocation_change,39,41,0.153846,-0.0,0.02439,-0.0,0.427171,higher_in_reversal,0.427171,6
uct-10000-self-play,16,leader_recent_2_all_objective_turn_margin,39,41,0.128205,0.0,-0.04878,0.0,0.413908,higher_in_reversal,0.413908,7
uct-10000-self-play,16,leader_recent_2_mixed_turn_margin,39,41,-0.102564,0.0,0.073171,0.0,-0.409424,lower_in_reversal,0.409424,8
uct-10000-self-play,16,leader_trend_2_support_edge_margin,39,41,-1.564103,-2.0,-0.463415,0.0,-0.395613,lower_in_reversal,0.395613,9
uct-10000-self-play,16,S13_leader_relative_state,39,41,0.025641,0.0,0.463415,0.0,-0.380646,lower_in_reversal,0.380646,10
uct-10000-self-play,16,leader_recent_4_objective_allocation_change_margin,39,41,0.188034,0.0,0.04065,0.0,0.353569,higher_in_reversal,0.353569,11
uct-10000-self-play,16,leader_recent_4_supply_allocation_change_margin,39,41,-0.188034,0.0,-0.04065,0.0,-0.353569,lower_in_reversal,0.353569,12
