"board","experiment_id","game_index","player","supply_point","securing_turn","used_after_securing","objective_placements_after_securing","first_use_delay_turns"
"3x3","3x3-seeded-random","81","2","S03","12","false","0",""
"3x3","3x3-seeded-random","81","2","S11","14","true","1","4"
"3x3","3x3-seeded-random","81","1","S01","15","false","0",""
"3x3","3x3-seeded-random","81","2","S02","16","false","0",""
"3x3","3x3-seeded-random","81","2","S31","16","true","1","2"
"3x3","3x3-seeded-random","82","1","S12","9","true","1","8"
"3x3","3x3-seeded-random","82","1","S00","13","false","0",""
"3x3","3x3-seeded-random","82","2","S11","18","false","0",""
"3x3","3x3-seeded-random","82","2","S13","18","false","0",""
"3x3","3x3-seeded-random","83","1","S32","5","true","1","2"
"3x3","3x3-seeded-random","83","1","S20","17","false","0",""
"3x3","3x3-seeded-random","83","1","S23","17","false","0",""
"3x3","3x3-seeded-random","83","2","S13","18","false","0",""
"3x3","3x3-seeded-random","84","1","S13","9","true","1","6"
"3x3","3x3-seeded-random","84","2","S00","12","false","0",""
"3x3","3x3-seeded-random","84","1","S12","13","true","2","2"
"3x3","3x3-seeded-random","84","1","S10","17","false","0",""
"3x3","3x3-seeded-random","85","2","S00","6","false","0",""
"3x3","3x3-seeded-random","85","1","S11","7","true","2","4"
"3x3","3x3-seeded-random","85","2","S21","12","true","2","2"
"3x3","3x3-seeded-random","85","2","S22","12","true","1","4"
"3x3","3x3-seeded-random","85","1","S31","13","false","0",""
"3x3","3x3-seeded-random","86","2","S21","8","true","2","2"
"3x3","3x3-seeded-random","86","2","S22","10","true","1","2"
"3x3","3x3-seeded-random","86","1","S23","13","false","0",""
"3x3","3x3-seeded-random","87","1","S23","9","true","2","2"
"3x3","3x3-seeded-random","87","1","S20","13","true","1","4"
"3x3","3x3-seeded-random","87","2","S31","14","false","0",""
"3x3","3x3-seeded-random","87","2","S00","16","false","0",""
"3x3","3x3-seeded-random","87","1","S21","17","false","0",""
"3x3","3x3-seeded-random","87","2","S22","18","false","0",""
"3x3","3x3-seeded-random","88","1","S31","11","true","1","4"
"3x3","3x3-seeded-random","88","1","S02","13","false","0",""
"3x3","3x3-seeded-random","88","2","S21","16","true","1","2"
"3x3","3x3-seeded-random","88","2","S32","18","false","0",""
"3x3","3x3-seeded-random","89","1","S01","7","true","1","2"
"3x3","3x3-seeded-random","89","2","S03","8","false","0",""
"3x3","3x3-seeded-random","89","1","S23","9","true","1","4"
"3x3","3x3-seeded-random","89","2","S11","12","true","2","2"
"3x3","3x3-seeded-random","89","2","S13","12","true","1","4"
"3x3","3x3-seeded-random","89","1","S32","17","false","0",""
"3x3","3x3-seeded-random","90","2","S00","4","true","1","2"
"3x3","3x3-seeded-random","90","1","S13","11","true","1","6"
"3x3","3x3-seeded-random","90","2","S32","16","false","0",""
"3x3","3x3-seeded-random","90","2","S01","18","false","0",""
"3x3","3x3-seeded-random","91","2","S12","14","true","1","4"
"3x3","3x3-seeded-random","92","2","S12","6","true","3","4"
"3x3","3x3-seeded-random","92","2","S30","8","false","0",""
"3x3","3x3-seeded-random","92","1","S32","17","false","0",""
"3x3","3x3-seeded-random","92","2","S31","18","false","0",""
"3x3","3x3-seeded-random","93","1","S01","9","true","1","4"
"3x3","3x3-seeded-random","93","2","S21","12","true","1","6"
"3x3","3x3-seeded-random","93","2","S23","14","true","1","2"
"3x3","3x3-seeded-random","93","1","S03","15","false","0",""
"3x3","3x3-seeded-random","93","1","S32","17","false","0",""
"3x3","3x3-seeded-random","93","2","S33","18","false","0",""
"3x3","3x3-seeded-random","94","1","S21","7","true","3","2"
"3x3","3x3-seeded-random","94","2","S01","12","false","0",""
"3x3","3x3-seeded-random","94","1","S31","13","false","0",""
"3x3","3x3-seeded-random","94","2","S03","18","false","0",""
"3x3","3x3-seeded-random","95","1","S33","9","false","0",""
"3x3","3x3-seeded-random","95","2","S01","10","true","2","4"
"3x3","3x3-seeded-random","95","2","S02","12","true","1","2"
"3x3","3x3-seeded-random","95","1","S20","17","false","0",""
"3x3","3x3-seeded-random","95","2","S10","18","false","0",""
"3x3","3x3-seeded-random","96","2","S32","6","false","0",""
"3x3","3x3-seeded-random","96","2","S02","10","true","1","8"
"3x3","3x3-seeded-random","96","1","S30","11","false","0",""
"3x3","3x3-seeded-random","96","2","S23","14","false","0",""
"3x3","3x3-seeded-random","96","2","S03","16","false","0",""
"3x3","3x3-seeded-random","96","2","S12","18","false","0",""
"3x3","3x3-seeded-random","97","2","S32","6","true","1","6"
"3x3","3x3-seeded-random","97","2","S00","14","false","0",""
"3x3","3x3-seeded-random","97","1","S30","15","false","0",""
"3x3","3x3-seeded-random","97","1","S22","17","false","0",""
"3x3","3x3-seeded-random","98","1","S30","5","false","0",""
"3x3","3x3-seeded-random","98","2","S01","14","true","1","4"
"3x3","3x3-seeded-random","98","2","S23","14","false","0",""
"3x3","3x3-seeded-random","98","2","S33","18","false","0",""
"3x3","3x3-seeded-random","99","1","S32","11","true","1","6"
"3x3","3x3-seeded-random","99","2","S13","12","true","2","2"
"3x3","3x3-seeded-random","99","1","S31","15","false","0",""
"3x3","3x3-seeded-random","99","2","S22","18","false","0",""
"3x3","3x3-seeded-random","100","2","S22","8","true","1","10"
"3x3","3x3-seeded-random","100","1","S12","13","false","0",""
"3x3","3x3-seeded-random","100","1","S02","17","false","0",""
"3x3","3x3-uct-0100","1","2","S23","8","true","2","2"
"3x3","3x3-uct-0100","1","2","S02","18","false","0",""
"3x3","3x3-uct-0100","1","2","S11","18","false","0",""
"3x3","3x3-uct-0100","2","2","S12","14","true","2","2"
"3x3","3x3-uct-0100","3","2","S21","8","true","2","4"
