experiment_id,iteration_limit,supply_point,spatial_category,player_games,player_games_with_placement,placement_player_game_frequency,pieces_placed,pieces_placed_per_player_game,mean_first_placement_turn,player_games_with_unsecured_control,unsecured_control_frequency,mean_first_unsecured_control_turn,player_games_with_controlled_or_secured,controlled_or_secured_frequency,mean_first_control_turn,unsecured_controlled_turns,secured_turns,controlled_or_secured_turns,unsecured_controlled_turn_share,secured_turn_share,controlled_or_secured_turn_share,neutral_turn_share,contested_turn_share,player_games_secured,secured_frequency,mean_first_securing_turn,legal_securable_opportunities,securing_opportunities_taken,securing_rate_per_repeated_opportunity,ever_securable_player_sites,ever_securable_eventually_secured,eventual_securing_rate_per_ever_securable_player_site,supply_usage_turns,objective_placements_supplied,objective_placements_supplied_per_player_game,player_games_with_supply_usage,supply_usage_player_game_frequency,mean_objective_sites_supplied,mean_objective_coverage,usage_after_first_control,usage_after_securing,mean_usage_after_securing_per_secured_player_site,final_unsecured_control_rate,final_secured_rate,final_controlled_or_secured_rate
uct-100000-self-play,100000,S12,interior,194,160,0.824742,301,1.551546,6.825,104,0.536082,6.326923,114,0.587629,6.684211,496,568,1064,0.106529,0.121993,0.228522,0.542955,0.561426,40,0.206186,10.8,805,40,0.049689,146,40,0.273973,306,306,1.57732,76,0.391753,0.969072,0.242268,306,154,3.85,0.087629,0.206186,0.293814
uct-100000-self-play,100000,S13,interior,194,165,0.850515,302,1.556701,9.739394,102,0.525773,9.715686,111,0.572165,9.765766,476,430,906,0.102234,0.092354,0.194588,0.610825,0.47122,37,0.190722,13.378378,742,37,0.049865,154,37,0.24026,256,256,1.319588,74,0.381443,0.819588,0.204897,256,138,3.72973,0.134021,0.190722,0.324742
uct-100000-self-play,100000,S14,edge,194,43,0.221649,46,0.237113,21.604651,33,0.170103,21.666667,33,0.170103,21.666667,75,0,75,0.016108,0.0,0.016108,0.967784,0.016323,0,0.0,0.0,43,0,0.0,22,0,0.0,7,7,0.036082,5,0.025773,0.036082,0.018041,7,0,0.0,0.118557,0.0,0.118557
uct-100000-self-play,100000,S20,edge,194,31,0.159794,34,0.175258,21.806452,23,0.118557,21.782609,23,0.118557,21.782609,50,0,50,0.010739,0.0,0.010739,0.978522,0.010739,0,0.0,0.0,27,0,0.0,14,0,0.0,6,6,0.030928,4,0.020619,0.020619,0.010309,6,0,0.0,0.07732,0.0,0.07732
uct-100000-self-play,100000,S21,interior,194,170,0.876289,348,1.793814,5.623529,107,0.551546,4.691589,119,0.613402,5.10084,631,716,1347,0.135524,0.15378,0.289304,0.421392,0.636598,50,0.257732,10.68,853,50,0.058617,159,50,0.314465,404,404,2.082474,95,0.489691,1.164948,0.291237,404,217,4.34,0.087629,0.257732,0.345361
uct-100000-self-play,100000,S22,interior,194,177,0.912371,397,2.046392,3.288136,118,0.608247,2.838983,140,0.721649,3.857143,609,1045,1654,0.130799,0.224442,0.355241,0.289519,0.75988,65,0.335052,8.923077,809,65,0.080346,164,65,0.396341,436,436,2.247423,106,0.546392,1.293814,0.323454,436,282,4.338462,0.061856,0.335052,0.396907
uct-100000-self-play,100000,S23,interior,194,169,0.871134,359,1.850515,5.923077,106,0.546392,5.367925,127,0.654639,6.03937,497,842,1339,0.106744,0.180842,0.287586,0.424828,0.633162,61,0.314433,11.196721,704,61,0.086648,156,61,0.391026,382,382,1.969072,90,0.463918,1.154639,0.28866,382,252,4.131148,0.06701,0.314433,0.381443
uct-100000-self-play,100000,S24,edge,194,42,0.216495,50,0.257732,20.071429,34,0.175258,20.147059,34,0.175258,20.147059,131,7,138,0.028136,0.001503,0.029639,0.940722,0.018041,1,0.005155,18,66,1,0.015152,22,1,0.045455,17,17,0.087629,11,0.056701,0.07732,0.03866,17,2,2.0,0.14433,0.005155,0.149485
uct-100000-self-play,100000,S30,edge,194,38,0.195876,43,0.221649,19.657895,30,0.154639,19.8,30,0.154639,19.8,114,0,114,0.024485,0.0,0.024485,0.951031,0.020189,0,0.0,0.0,74,0,0.0,24,0,0.0,19,19,0.097938,9,0.046392,0.061856,0.030928,19,0,0.0,0.118557,0.0,0.118557
uct-100000-self-play,100000,S31,interior,194,180,0.927835,378,1.948454,8.022222,114,0.587629,7.859649,133,0.685567,8.518797,568,638,1206,0.121993,0.137027,0.259021,0.481959,0.588918,55,0.283505,13.4,810,55,0.067901,172,55,0.319767,352,352,1.814433,89,0.458763,1.025773,0.256443,352,196,3.563636,0.087629,0.283505,0.371134
