"board","search_level","window_turns","metric","games","value","median","ci_low","ci_high","primary"
"4x4","uct-0500","4","multi_both_invested_turn_rate","100","0.595000","0.625000","0.565833","0.622917","false"
"4x4","uct-0500","4","mixed_leadership_turn_rate","100","0.825000","0.833333","0.812917","0.837083","false"
"4x4","uct-0500","4","longest_mixed_leadership_run","100","19.590000","20.000000","19.240000","19.920000","false"
"4x4","uct-0500","4","longest_mixed_leadership_run_fraction","100","0.816250","0.833333","0.800000","0.830000","false"
"4x4","uct-0500","4","mean_mixed_leadership_run","100","18.548333","20.000000","17.716667","19.300000","false"
"4x4","uct-0500","4","mean_mixed_leadership_run_fraction","100","0.772847","0.833333","0.738889","0.804097","false"
"4x4","uct-0500","4","mean_p1_led_regions","100","2.686667","2.625000","2.573333","2.797083","false"
"4x4","uct-0500","4","mean_p2_led_regions","100","2.283333","2.333333","2.167500","2.393333","false"
"4x4","uct-0500","4","mean_led_regions","100","4.970000","5.041667","4.831667","5.108750","false"
"4x4","uct-0500","4","mean_opposition_breadth","100","1.970000","2.041667","1.887917","2.050417","false"
"4x4","uct-0500","4","mean_opportunity_adjusted_activity","100","3.805844","3.880914","3.670910","3.945823","false"
"4x4","uct-0500","4","focus_switch_rate","95","0.870453","1.000000","0.826797","0.908496","false"
"4x4","uct-0500","4","focus_eligible_fraction","100","0.144783","0.130435","0.125217","0.164783","false"
"4x4","uct-0500","4","no_dominant_turn_rate","100","0.633750","0.645833","0.612083","0.653750","false"
"4x4","uct-0500","4","mean_focus_persistence","100","1.055019","1.000000","1.037445","1.072441","false"
"4x4","uct-0500","4","mean_focus_switch_distance","94","1.851258","2.000000","1.723290","1.972446","false"
"4x4","uct-1000","4","mean_active_regions","100","3.360000","3.333333","3.248750","3.478333","true"
"4x4","uct-1000","4","multi_active_turn_rate","100","0.863750","0.875000","0.849167","0.877917","true"
"4x4","uct-1000","4","longest_multi_active_run","100","19.640000","21.000000","18.820000","20.330000","true"
"4x4","uct-1000","4","longest_multi_active_run_fraction","100","0.818333","0.875000","0.785417","0.850000","true"
"4x4","uct-1000","4","mean_multi_active_run","100","19.019167","21.000000","18.009167","19.926667","true"
"4x4","uct-1000","4","mean_multi_active_run_fraction","100","0.792465","0.875000","0.754757","0.830625","true"
"4x4","uct-1000","4","mean_both_invested_regions","100","1.695000","1.708333","1.630833","1.757917","true"
"4x4","uct-1000","4","multi_both_invested_turn_rate","100","0.574583","0.583333","0.546667","0.603333","true"
"4x4","uct-1000","4","mixed_leadership_turn_rate","100","0.837083","0.875000","0.826667","0.846667","true"
"4x4","uct-1000","4","longest_mixed_leadership_run","100","19.990000","21.000000","19.720000","20.240000","true"
"4x4","uct-1000","4","longest_mixed_leadership_run_fraction","100","0.832917","0.875000","0.822083","0.843750","true"
"4x4","uct-1000","4","mean_mixed_leadership_run","100","19.140000","21.000000","18.445000","19.775000","true"
"4x4","uct-1000","4","mean_mixed_leadership_run_fraction","100","0.797500","0.875000","0.768125","0.823542","true"
"4x4","uct-1000","4","mean_p1_led_regions","100","2.595417","2.604166","2.499167","2.682917","true"
"4x4","uct-1000","4","mean_p2_led_regions","100","2.237500","2.166667","2.138750","2.332083","true"
"4x4","uct-1000","4","mean_led_regions","100","4.832917","4.791667","4.705000","4.959167","true"
"4x4","uct-1000","4","mean_opposition_breadth","100","1.948333","1.958333","1.880417","2.021667","true"
