"board","experiment_id","search_level","game_index","measure","total_pairs","evaluable_pairs","evaluable_fraction","mean_observed_signed","mean_observed_absolute","mean_null_absolute","mean_dependence_excess","mean_null_ge_observed_rate"
"3x3","3x3-seeded-random","seeded-random","39","lead","36","28","0.777778","-0.113320","0.584326","0.349104","0.235221","0.338235"
"3x3","3x3-seeded-random","seeded-random","39","lead_engaged","36","27","0.750000","-0.141337","0.574228","0.339836","0.234392","0.339859"
"3x3","3x3-seeded-random","seeded-random","39","supply_change","36","28","0.777778","-0.060126","0.171012","0.208048","-0.037036","0.886161"
"3x3","3x3-seeded-random","seeded-random","39","objective_change","36","28","0.777778","-0.054633","0.165442","0.196736","-0.031294","0.908482"
"3x3","3x3-seeded-random","seeded-random","40","lead","36","28","0.777778","-0.014375","0.271953","0.281498","-0.009545","0.819328"
"3x3","3x3-seeded-random","seeded-random","40","lead_engaged","36","28","0.777778","-0.012655","0.284851","0.282974","0.001877","0.802821"
"3x3","3x3-seeded-random","seeded-random","40","supply_change","36","28","0.777778","-0.070344","0.156423","0.208797","-0.052374","0.883929"
"3x3","3x3-seeded-random","seeded-random","40","objective_change","36","28","0.777778","-0.034734","0.184343","0.193357","-0.009013","0.886161"
"3x3","3x3-seeded-random","seeded-random","41","lead","36","21","0.583333","-0.065973","0.326336","0.289913","0.036423","0.647059"
"3x3","3x3-seeded-random","seeded-random","41","lead_engaged","36","16","0.444444","-0.038295","0.307797","0.241805","0.065992","0.690268"
"3x3","3x3-seeded-random","seeded-random","41","supply_change","36","28","0.777778","-0.095233","0.191531","0.212017","-0.020486","0.803571"
"3x3","3x3-seeded-random","seeded-random","41","objective_change","36","21","0.583333","-0.034589","0.171097","0.170501","0.000596","0.872024"
"3x3","3x3-seeded-random","seeded-random","42","lead","36","21","0.583333","-0.037002","0.438621","0.291048","0.147573","0.526611"
"3x3","3x3-seeded-random","seeded-random","42","lead_engaged","36","21","0.583333","-0.020995","0.410708","0.269013","0.141695","0.425031"
"3x3","3x3-seeded-random","seeded-random","42","supply_change","36","36","1.000000","-0.029124","0.200568","0.186234","0.014334","0.796875"
"3x3","3x3-seeded-random","seeded-random","42","objective_change","36","21","0.583333","0.000402","0.184321","0.174443","0.009878","0.860119"
"3x3","3x3-seeded-random","seeded-random","43","lead","36","28","0.777778","-0.108305","0.475226","0.353872","0.121354","0.512605"
"3x3","3x3-seeded-random","seeded-random","43","lead_engaged","36","28","0.777778","-0.100477","0.463418","0.335334","0.128084","0.492920"
"3x3","3x3-seeded-random","seeded-random","43","supply_change","36","28","0.777778","-0.042132","0.167711","0.191470","-0.023758","0.825893"
"3x3","3x3-seeded-random","seeded-random","43","objective_change","36","28","0.777778","-0.028916","0.148859","0.168640","-0.019782","0.908482"
"3x3","3x3-seeded-random","seeded-random","44","lead","36","28","0.777778","0.057324","0.407785","0.317634","0.090151","0.567227"
"3x3","3x3-seeded-random","seeded-random","44","lead_engaged","36","23","0.638889","-0.038792","0.412811","0.317246","0.095564","0.578423"
"3x3","3x3-seeded-random","seeded-random","44","supply_change","36","28","0.777778","-0.048269","0.248240","0.222254","0.025987","0.676339"
"3x3","3x3-seeded-random","seeded-random","44","objective_change","36","28","0.777778","-0.056628","0.127667","0.169965","-0.042298","0.939732"
"3x3","3x3-seeded-random","seeded-random","45","lead","36","21","0.583333","0.001812","0.458170","0.347234","0.110936","0.582633"
"3x3","3x3-seeded-random","seeded-random","45","lead_engaged","36","21","0.583333","0.017353","0.425979","0.335658","0.090322","0.587882"
"3x3","3x3-seeded-random","seeded-random","45","supply_change","36","28","0.777778","-0.077470","0.212782","0.203052","0.009731","0.743304"
"3x3","3x3-seeded-random","seeded-random","45","objective_change","36","21","0.583333","-0.015170","0.145580","0.155376","-0.009796","0.910714"
"3x3","3x3-seeded-random","seeded-random","46","lead","36","21","0.583333","-0.025686","0.600934","0.386559","0.214376","0.369748"
"3x3","3x3-seeded-random","seeded-random","46","lead_engaged","36","21","0.583333","-0.018507","0.559046","0.356465","0.202581","0.408502"
"3x3","3x3-seeded-random","seeded-random","46","supply_change","36","36","1.000000","-0.046087","0.200830","0.206254","-0.005424","0.802083"
"3x3","3x3-seeded-random","seeded-random","46","objective_change","36","21","0.583333","-0.033775","0.098980","0.132003","-0.033023","0.955357"
"3x3","3x3-seeded-random","seeded-random","47","lead","36","28","0.777778","-0.002308","0.447465","0.389019","0.058446","0.617647"
"3x3","3x3-seeded-random","seeded-random","47","lead_engaged","36","26","0.722222","-0.003802","0.455130","0.378960","0.076170","0.542983"
"3x3","3x3-seeded-random","seeded-random","47","supply_change","36","21","0.583333","-0.035654","0.166781","0.205153","-0.038371","0.821429"
"3x3","3x3-seeded-random","seeded-random","47","objective_change","36","28","0.777778","-0.048541","0.160376","0.173166","-0.012790","0.892857"
"3x3","3x3-seeded-random","seeded-random","48","lead","36","36","1.000000","-0.037532","0.334516","0.226278","0.108238","0.656863"
"3x3","3x3-seeded-random","seeded-random","48","lead_engaged","36","26","0.722222","-0.025876","0.261349","0.209307","0.052041","0.764474"
"3x3","3x3-seeded-random","seeded-random","48","supply_change","36","36","1.000000","-0.039976","0.149860","0.186446","-0.036586","0.868056"
"3x3","3x3-seeded-random","seeded-random","48","objective_change","36","36","1.000000","-0.011905","0.149738","0.172448","-0.022710","0.871528"
"3x3","3x3-seeded-random","seeded-random","49","lead","36","28","0.777778","-0.051105","0.326625","0.320707","0.005918","0.718487"
"3x3","3x3-seeded-random","seeded-random","49","lead_engaged","36","28","0.777778","-0.047330","0.327041","0.335510","-0.008469","0.703696"
"3x3","3x3-seeded-random","seeded-random","49","supply_change","36","36","1.000000","-0.056723","0.179215","0.200754","-0.021539","0.852431"
"3x3","3x3-seeded-random","seeded-random","49","objective_change","36","28","0.777778","-0.066376","0.153691","0.187765","-0.034074","0.901786"
"3x3","3x3-seeded-random","seeded-random","50","lead","36","21","0.583333","0.128932","0.458877","0.356029","0.102848","0.579832"
"3x3","3x3-seeded-random","seeded-random","50","lead_engaged","36","21","0.583333","0.151973","0.435637","0.340713","0.094924","0.592355"
"3x3","3x3-seeded-random","seeded-random","50","supply_change","36","21","0.583333","0.017553","0.192321","0.205107","-0.012786","0.803571"
"3x3","3x3-seeded-random","seeded-random","50","objective_change","36","21","0.583333","0.017773","0.177262","0.165989","0.011273","0.845238"
"3x3","3x3-seeded-random","seeded-random","51","lead","36","21","0.583333","-0.063922","0.371701","0.366156","0.005545","0.579832"
"3x3","3x3-seeded-random","seeded-random","51","lead_engaged","36","20","0.555556","-0.048719","0.373654","0.362804","0.010850","0.561940"
"3x3","3x3-seeded-random","seeded-random","51","supply_change","36","28","0.777778","-0.068356","0.194725","0.209005","-0.014281","0.763393"
"3x3","3x3-seeded-random","seeded-random","51","objective_change","36","21","0.583333","-0.054525","0.149833","0.199958","-0.050126","0.910714"
"3x3","3x3-seeded-random","seeded-random","52","lead","36","28","0.777778","-0.084486","0.444143","0.329091","0.115053","0.539916"
"3x3","3x3-seeded-random","seeded-random","52","lead_engaged","36","24","0.666667","-0.062891","0.402891","0.302690","0.100201","0.592052"
"3x3","3x3-seeded-random","seeded-random","52","supply_change","36","21","0.583333","-0.083003","0.229986","0.206479","0.023507","0.705357"
"3x3","3x3-seeded-random","seeded-random","52","objective_change","36","28","0.777778","-0.071893","0.120362","0.174248","-0.053887","0.948661"
"3x3","3x3-seeded-random","seeded-random","53","lead","36","36","1.000000","0.014443","0.405616","0.310813","0.094802","0.619281"
"3x3","3x3-seeded-random","seeded-random","53","lead_engaged","36","36","1.000000","0.019216","0.388084","0.281222","0.106862","0.585901"
"3x3","3x3-seeded-random","seeded-random","53","supply_change","36","28","0.777778","-0.089374","0.132807","0.221579","-0.088772","0.912946"
