"board","experiment_id","search_level","game_index","window_turns","turns","mean_active_regions","multi_active_turn_rate","longest_multi_active_run","longest_multi_active_run_fraction","mean_multi_active_run","mean_multi_active_run_fraction","mean_both_invested_regions","multi_both_invested_turn_rate","mixed_leadership_turn_rate","longest_mixed_leadership_run","longest_mixed_leadership_run_fraction","mean_mixed_leadership_run","mean_mixed_leadership_run_fraction","mean_p1_led_regions","mean_p2_led_regions","mean_led_regions","mean_opposition_breadth","mean_opportunity_adjusted_activity","opportunity_adjustment_regions","focus_switches","focus_eligible_pairs","focus_eligible_fraction","focus_switch_rate","no_dominant_turn_rate","mean_focus_persistence","mean_focus_switch_distance"
"3x3","3x3-seeded-random","seeded-random","84","4","18","4.666667","0.888889","16","0.888889","16.000000","0.888889","1.722222","0.555556","0.388889","7","0.388889","7.000000","0.388889","2.888889","0.555556","3.444444","0.555556","4.677261","9","2","2","0.117647","1.000000","0.611111","1.000000","2.000000"
"3x3","3x3-seeded-random","seeded-random","85","4","18","3.722222","0.944444","17","0.944444","17.000000","0.944444","2.388889","0.944444","0.611111","11","0.611111","11.000000","0.611111","2.055556","1.055556","3.111111","1.055556","3.801159","9","0","1","0.058824","0.000000","0.722222","1.250000",""
"3x3","3x3-seeded-random","seeded-random","86","4","18","4.166667","0.888889","16","0.888889","16.000000","0.888889","2.222222","0.722222","0.500000","3","0.166667","3.000000","0.166667","1.555556","0.555556","2.111111","0.555556","4.554184","9","0","0","0.000000","","0.722222","1.000000",""
"3x3","3x3-seeded-random","seeded-random","87","4","18","4.500000","0.833333","15","0.833333","15.000000","0.833333","1.833333","0.666667","0.500000","5","0.277778","4.500000","0.250000","1.000000","1.055556","2.055556","0.666667","4.524160","9","1","1","0.058824","1.000000","0.833333","1.000000","1.000000"
"3x3","3x3-seeded-random","seeded-random","88","4","18","4.222222","0.777778","14","0.777778","14.000000","0.777778","1.444444","0.555556","0.833333","15","0.833333","15.000000","0.833333","1.777778","2.444444","4.222222","1.722222","4.336145","9","0","0","0.000000","","0.833333","1.000000",""
"3x3","3x3-seeded-random","seeded-random","89","4","18","3.500000","0.888889","16","0.888889","16.000000","0.888889","1.666667","0.500000","0.666667","9","0.500000","6.000000","0.333333","1.444444","1.166667","2.611111","0.888889","3.412993","9","2","2","0.117647","1.000000","0.555556","1.000000","1.500000"
"3x3","3x3-seeded-random","seeded-random","90","4","18","3.055556","0.611111","11","0.611111","11.000000","0.611111","1.444444","0.333333","0.722222","13","0.722222","13.000000","0.722222","1.888889","2.333333","4.222222","1.722222","3.058425","9","4","5","0.294118","0.800000","0.500000","1.125000","1.500000"
"3x3","3x3-seeded-random","seeded-random","91","4","18","3.611111","0.777778","14","0.777778","14.000000","0.777778","1.722222","0.555556","0.833333","15","0.833333","15.000000","0.833333","2.444444","1.500000","3.944444","1.444444","3.728089","9","1","1","0.058824","1.000000","0.833333","1.000000","2.000000"
"3x3","3x3-seeded-random","seeded-random","92","4","18","4.888889","0.944444","17","0.944444","17.000000","0.944444","2.555556","0.833333","0.666667","9","0.500000","6.000000","0.333333","3.055556","0.666667","3.722222","0.666667","4.928471","9","0","0","0.000000","","0.833333","1.000000",""
"3x3","3x3-seeded-random","seeded-random","93","4","18","3.500000","0.833333","15","0.833333","15.000000","0.833333","1.555556","0.555556","0.722222","13","0.722222","13.000000","0.722222","1.666667","1.777778","3.444444","1.500000","4.043876","9","2","2","0.117647","1.000000","0.611111","1.000000","2.500000"
"3x3","3x3-seeded-random","seeded-random","94","4","18","4.000000","0.944444","17","0.944444","17.000000","0.944444","2.166667","0.722222","0.722222","13","0.722222","13.000000","0.722222","2.277778","2.111111","4.388889","1.944444","3.860427","9","0","0","0.000000","","0.722222","1.000000",""
"3x3","3x3-seeded-random","seeded-random","95","4","18","3.055556","0.833333","15","0.833333","15.000000","0.833333","1.722222","0.666667","0.444444","7","0.388889","4.000000","0.222222","1.277778","0.944444","2.222222","0.722222","2.857835","9","3","3","0.176471","1.000000","0.555556","1.000000","1.333333"
"3x3","3x3-seeded-random","seeded-random","96","4","18","3.944444","0.888889","16","0.888889","16.000000","0.888889","1.888889","0.833333","0.500000","9","0.500000","9.000000","0.500000","3.055556","1.166667","4.222222","1.166667","4.538548","9","0","0","0.000000","","0.777778","1.000000",""
"3x3","3x3-seeded-random","seeded-random","97","4","18","3.111111","0.944444","17","0.944444","17.000000","0.944444","1.611111","0.500000","0.333333","5","0.277778","3.000000","0.166667","2.555556","0.555556","3.111111","0.555556","3.166259","9","2","2","0.117647","1.000000","0.666667","1.000000","1.500000"
"3x3","3x3-seeded-random","seeded-random","98","4","18","3.722222","0.944444","17","0.944444","17.000000","0.944444","1.833333","0.722222","0.611111","11","0.611111","11.000000","0.611111","2.000000","1.333333","3.333333","1.277778","3.906879","9","2","2","0.117647","1.000000","0.722222","1.000000","1.500000"
"3x3","3x3-seeded-random","seeded-random","99","4","18","3.611111","0.833333","15","0.833333","15.000000","0.833333","1.666667","0.500000","0.722222","13","0.722222","13.000000","0.722222","1.277778","1.333333","2.611111","0.944444","3.372830","9","3","3","0.176471","1.000000","0.555556","1.000000","2.000000"
"3x3","3x3-seeded-random","seeded-random","100","4","18","3.388889","0.944444","17","0.944444","17.000000","0.944444","2.111111","0.888889","0.666667","12","0.666667","12.000000","0.666667","1.611111","1.277778","2.888889","1.111111","3.024183","9","1","2","0.117647","0.500000","0.611111","1.166667","1.000000"
"3x3","3x3-uct-0100","uct-0100","1","4","18","3.444444","0.888889","16","0.888889","16.000000","0.888889","2.111111","0.833333","0.777778","14","0.777778","14.000000","0.777778","2.722222","2.166667","4.888889","2.055556","3.925734","9","2","3","0.176471","0.666667","0.722222","1.250000","2.500000"
"3x3","3x3-uct-0100","uct-0100","2","4","18","3.388889","0.833333","15","0.833333","15.000000","0.833333","2.055556","0.722222","0.722222","13","0.722222","13.000000","0.722222","2.166667","1.611111","3.777778","1.611111","3.358416","9","0","0","0.000000","","0.777778","1.000000",""
"3x3","3x3-uct-0100","uct-0100","3","4","18","3.444444","0.888889","16","0.888889","16.000000","0.888889","1.833333","0.611111","0.500000","9","0.500000","9.000000","0.500000","2.333333","1.722222","4.055556","1.555556","3.147149","9","2","2","0.117647","1.000000","0.611111","1.000000","2.500000"
"3x3","3x3-uct-0100","uct-0100","4","4","18","3.333333","0.888889","16","0.888889","16.000000","0.888889","1.611111","0.611111","0.833333","15","0.833333","15.000000","0.833333","2.944444","2.055556","5.000000","2.000000","3.146048","9","2","2","0.117647","1.000000","0.555556","1.000000","1.500000"
"3x3","3x3-uct-0100","uct-0100","5","4","18","2.777778","0.888889","16","0.888889","16.000000","0.888889","1.555556","0.555556","0.722222","13","0.722222","13.000000","0.722222","3.555556","1.500000","5.055556","1.500000","2.817569","9","1","1","0.058824","1.000000","0.722222","1.000000","3.000000"
"3x3","3x3-uct-0100","uct-0100","6","4","18","3.222222","0.888889","16","0.888889","16.000000","0.888889","1.777778","0.611111","0.833333","15","0.833333","15.000000","0.833333","2.444444","2.777778","5.222222","2.388889","3.012525","9","1","1","0.058824","1.000000","0.777778","1.000000","1.000000"
"3x3","3x3-uct-0100","uct-0100","7","4","18","3.611111","0.944444","17","0.944444","17.000000","0.944444","2.333333","0.944444","0.722222","13","0.722222","13.000000","0.722222","1.555556","2.055556","3.611111","1.388889","3.867710","9","1","2","0.117647","0.500000","0.555556","1.142857","2.000000"
"3x3","3x3-uct-0100","uct-0100","8","4","18","3.611111","0.888889","16","0.888889","16.000000","0.888889","2.000000","0.666667","0.833333","15","0.833333","15.000000","0.833333","1.333333","2.500000","3.833333","1.222222","3.582358","9","2","2","0.117647","1.000000","0.722222","1.000000","1.000000"
"3x3","3x3-uct-0100","uct-0100","9","4","18","2.833333","0.833333","15","0.833333","15.000000","0.833333","1.611111","0.444444","0.777778","14","0.777778","14.000000","0.777778","3.000000","2.500000","5.500000","2.222222","2.502385","9","2","2","0.117647","1.000000","0.611111","1.000000","3.000000"
"3x3","3x3-uct-0100","uct-0100","10","4","18","3.222222","0.833333","15","0.833333","15.000000","0.833333","1.888889","0.666667","0.833333","15","0.833333","15.000000","0.833333","2.000000","2.555556","4.555556","1.777778","3.389337","9","2","2","0.117647","1.000000","0.777778","1.000000","3.500000"
"3x3","3x3-uct-0100","uct-0100","11","4","18","3.666667","0.888889","16","0.888889","16.000000","0.888889","2.000000","0.611111","0.833333","15","0.833333","15.000000","0.833333","3.944444","1.444444","5.388889","1.444444","4.330444","9","1","1","0.058824","1.000000","0.777778","1.000000","2.000000"
"3x3","3x3-uct-0100","uct-0100","12","4","18","4.277778","0.944444","17","0.944444","17.000000","0.944444","2.222222","0.777778","0.666667","12","0.666667","12.000000","0.666667","1.722222","1.333333","3.055556","1.166667","4.421731","9","2","3","0.176471","0.666667","0.611111","1.166667","1.000000"
"3x3","3x3-uct-0100","uct-0100","13","4","18","1.833333","0.555556","10","0.555556","10.000000","0.555556","0.722222","0.166667","0.833333","15","0.833333","15.000000","0.833333","1.888889","3.166667","5.055556","1.777778","2.150539","9","2","2","0.117647","1.000000","0.666667","1.000000","2.000000"
"3x3","3x3-uct-0100","uct-0100","14","4","18","3.722222","0.944444","17","0.944444","17.000000","0.944444","1.888889","0.722222","0.833333","15","0.833333","15.000000","0.833333","2.166667","3.111111","5.277778","2.055556","3.572396","9","2","3","0.176471","0.666667","0.555556","1.142857","2.000000"
"3x3","3x3-uct-0100","uct-0100","15","4","18","3.277778","0.833333","15","0.833333","15.000000","0.833333","1.611111","0.611111","0.833333","15","0.833333","15.000000","0.833333","3.000000","2.111111","5.111111","2.055556","3.622599","9","0","1","0.058824","0.000000","0.722222","1.250000",""
"3x3","3x3-uct-0100","uct-0100","16","4","18","3.444444","0.944444","17","0.944444","17.000000","0.944444","1.888889","0.555556","0.722222","13","0.722222","13.000000","0.722222","2.388889","2.388889","4.777778","2.000000","2.906015","9","1","2","0.117647","0.500000","0.666667","1.200000","2.000000"
"3x3","3x3-uct-0100","uct-0100","17","4","18","3.333333","0.888889","16","0.888889","16.000000","0.888889","1.555556","0.500000","0.722222","13","0.722222","13.000000","0.722222","3.388889","1.222222","4.611111","1.222222","3.597526","9","6","6","0.352941","1.000000","0.500000","1.000000","2.166667"
"3x3","3x3-uct-0100","uct-0100","18","4","18","3.611111","0.888889","16","0.888889","16.000000","0.888889","1.833333","0.722222","0.722222","13","0.722222","13.000000","0.722222","3.111111","2.444444","5.555556","2.444444","3.213614","9","0","0","0.000000","","0.777778","1.000000",""
"3x3","3x3-uct-0100","uct-0100","19","4","18","3.333333","0.944444","17","0.944444","17.000000","0.944444","1.833333","0.722222","0.611111","11","0.611111","11.000000","0.611111","2.333333","1.611111","3.944444","1.611111","3.600229","9","2","2","0.117647","1.000000","0.722222","1.000000","2.000000"
"3x3","3x3-uct-0100","uct-0100","20","4","18","3.444444","0.944444","17","0.944444","17.000000","0.944444","2.333333","0.888889","0.722222","13","0.722222","13.000000","0.722222","1.388889","1.777778","3.166667","1.333333","3.478118","9","0","0","0.000000","","0.777778","1.000000",""
"3x3","3x3-uct-0100","uct-0100","21","4","18","3.666667","0.944444","17","0.944444","17.000000","0.944444","2.166667","0.777778","0.722222","13","0.722222","13.000000","0.722222","1.722222","1.888889","3.611111","1.444444","3.819783","9","2","2","0.117647","1.000000","0.722222","1.000000","3.000000"
"3x3","3x3-uct-0100","uct-0100","22","4","18","3.444444","0.888889","16","0.888889","16.000000","0.888889","1.722222","0.555556","0.722222","13","0.722222","13.000000","0.722222","2.055556","1.611111","3.666667","1.555556","3.022422","9","4","5","0.294118","0.800000","0.500000","1.125000","2.500000"
"3x3","3x3-uct-0100","uct-0100","23","4","18","3.833333","0.833333","15","0.833333","15.000000","0.833333","1.611111","0.611111","0.666667","12","0.666667","12.000000","0.666667","2.277778","2.222222","4.500000","2.055556","3.806419","9","0","1","0.058824","0.000000","0.666667","1.200000",""
"3x3","3x3-uct-0100","uct-0100","24","4","18","4.222222","0.944444","17","0.944444","17.000000","0.944444","2.444444","0.944444","0.833333","15","0.833333","15.000000","0.833333","3.222222","1.777778","5.000000","1.777778","4.216061","9","1","1","0.058824","1.000000","0.722222","1.000000","3.000000"
"3x3","3x3-uct-0100","uct-0100","25","4","18","3.944444","0.944444","17","0.944444","17.000000","0.944444","1.666667","0.555556","0.611111","11","0.611111","11.000000","0.611111","2.388889","1.000000","3.388889","1.000000","4.735068","9","5","5","0.294118","1.000000","0.500000","1.000000","2.400000"
"3x3","3x3-uct-0100","uct-0100","26","4","18","3.333333","0.888889","16","0.888889","16.000000","0.888889","1.500000","0.444444","0.722222","13","0.722222","13.000000","0.722222","2.222222","2.055556","4.277778","1.944444","3.504416","9","2","2","0.117647","1.000000","0.611111","1.000000","3.000000"
"3x3","3x3-uct-0100","uct-0100","27","4","18","3.222222","0.833333","9","0.500000","7.500000","0.416667","1.500000","0.444444","0.722222","13","0.722222","13.000000","0.722222","2.166667","2.444444","4.611111","1.777778","3.523861","9","4","4","0.235294","1.000000","0.611111","1.000000","1.750000"
"3x3","3x3-uct-0100","uct-0100","28","4","18","3.000000","0.833333","15","0.833333","15.000000","0.833333","1.944444","0.666667","0.833333","15","0.833333","15.000000","0.833333","1.833333","2.555556","4.388889","1.777778","2.618276","9","5","5","0.294118","1.000000","0.500000","1.000000","2.200000"
"3x3","3x3-uct-0100","uct-0100","29","4","18","4.444444","0.833333","15","0.833333","15.000000","0.833333","1.722222","0.500000","0.833333","15","0.833333","15.000000","0.833333","2.611111","1.888889","4.500000","1.833333","4.539753","9","2","2","0.117647","1.000000","0.722222","1.000000","1.000000"
"3x3","3x3-uct-0100","uct-0100","30","4","18","3.222222","0.833333","15","0.833333","15.000000","0.833333","2.055556","0.722222","0.777778","13","0.722222","7.000000","0.388889","2.555556","2.222222","4.777778","2.000000","2.989478","9","0","1","0.058824","0.000000","0.722222","1.250000",""
"3x3","3x3-uct-0100","uct-0100","31","4","18","2.833333","0.833333","15","0.833333","15.000000","0.833333","2.000000","0.777778","0.833333","15","0.833333","15.000000","0.833333","2.833333","2.055556","4.888889","1.944444","2.566501","9","2","3","0.176471","0.666667","0.611111","1.166667","2.500000"
"3x3","3x3-uct-0100","uct-0100","32","4","18","1.888889","0.555556","10","0.555556","10.000000","0.555556","1.000000","0.111111","0.833333","15","0.833333","15.000000","0.833333","2.722222","2.666667","5.388889","2.388889","1.757672","9","2","2","0.117647","1.000000","0.555556","1.000000","2.500000"
"3x3","3x3-uct-0100","uct-0100","33","4","18","4.555556","0.944444","17","0.944444","17.000000","0.944444","1.611111","0.500000","0.722222","13","0.722222","13.000000","0.722222","2.611111","2.444444","5.055556","2.222222","4.958969","9","0","0","0.000000","","0.722222","1.000000",""
