"board","experiment_id","search_level","game_index","window_turns","region","active_turns","active_turn_rate","both_invested_turns","both_invested_turn_rate","mean_regional_opportunity_share","opportunity_adjusted_activity","regional_capacity_share","total_points","supply_points","objectives"
"3x3","3x3-seeded-random","seeded-random","6","4","LL","16","0.888889","10","0.555556","0.220394","4.033184","0.200000","5","4","1"
"3x3","3x3-seeded-random","seeded-random","6","4","LM","8","0.444444","1","0.055556","0.120961","3.674265","0.120000","3","2","1"
"3x3","3x3-seeded-random","seeded-random","6","4","LH","5","0.277778","5","0.277778","0.118745","2.339283","0.120000","3","2","1"
"3x3","3x3-seeded-random","seeded-random","6","4","ML","0","0.000000","0","0.000000","0.115658","0.000000","0.120000","3","2","1"
"3x3","3x3-seeded-random","seeded-random","6","4","MM","5","0.277778","5","0.277778","0.057614","4.821373","0.080000","2","1","1"
"3x3","3x3-seeded-random","seeded-random","6","4","MH","0","0.000000","0","0.000000","0.086640","0.000000","0.080000","2","1","1"
"3x3","3x3-seeded-random","seeded-random","6","4","HL","9","0.500000","8","0.444444","0.124378","4.019991","0.120000","3","2","1"
"3x3","3x3-seeded-random","seeded-random","6","4","HM","0","0.000000","0","0.000000","0.084115","0.000000","0.080000","2","1","1"
"3x3","3x3-seeded-random","seeded-random","6","4","HH","13","0.722222","4","0.222222","0.071495","10.101779","0.080000","2","1","1"
"3x3","3x3-seeded-random","seeded-random","7","4","LL","13","0.722222","6","0.333333","0.222081","3.252072","0.200000","5","4","1"
"3x3","3x3-seeded-random","seeded-random","7","4","LM","9","0.500000","8","0.444444","0.120129","4.162185","0.120000","3","2","1"
"3x3","3x3-seeded-random","seeded-random","7","4","LH","6","0.333333","1","0.055556","0.120349","2.769725","0.120000","3","2","1"
"3x3","3x3-seeded-random","seeded-random","7","4","ML","3","0.166667","1","0.055556","0.113424","1.469413","0.120000","3","2","1"
"3x3","3x3-seeded-random","seeded-random","7","4","MM","2","0.111111","0","0.000000","0.084666","1.312351","0.080000","2","1","1"
"3x3","3x3-seeded-random","seeded-random","7","4","MH","0","0.000000","0","0.000000","0.082020","0.000000","0.080000","2","1","1"
"3x3","3x3-seeded-random","seeded-random","7","4","HL","13","0.722222","7","0.388889","0.112763","6.404799","0.120000","3","2","1"
"3x3","3x3-seeded-random","seeded-random","7","4","HM","4","0.222222","3","0.166667","0.067599","3.287343","0.080000","2","1","1"
"3x3","3x3-seeded-random","seeded-random","7","4","HH","11","0.611111","6","0.333333","0.076970","7.939630","0.080000","2","1","1"
"3x3","3x3-seeded-random","seeded-random","8","4","LL","17","0.944444","9","0.500000","0.197045","4.793041","0.200000","5","4","1"
"3x3","3x3-seeded-random","seeded-random","8","4","LM","12","0.666667","7","0.388889","0.112933","5.903191","0.120000","3","2","1"
