"board","search_level","measure","metric","games","value","median","ci_low","ci_high","primary"
"4x4","uct-1000","lead","mean_null_absolute","100","0.324286","0.326726","0.316254","0.331802","true"
"4x4","uct-1000","lead","mean_dependence_excess","100","0.134690","0.132423","0.122053","0.147718","true"
"4x4","uct-1000","lead_engaged","evaluable_fraction","100","0.815833","0.777778","0.785556","0.845833","false"
"4x4","uct-1000","lead_engaged","mean_observed_absolute","100","0.440672","0.432349","0.425528","0.456547","false"
"4x4","uct-1000","lead_engaged","mean_null_absolute","100","0.313551","0.315221","0.306268","0.321324","false"
"4x4","uct-1000","lead_engaged","mean_dependence_excess","100","0.127121","0.122745","0.114531","0.139817","false"
"4x4","uct-1000","supply_change","evaluable_fraction","100","0.844722","0.777778","0.815278","0.875833","true"
"4x4","uct-1000","supply_change","mean_observed_absolute","100","0.170311","0.170058","0.166368","0.174259","true"
"4x4","uct-1000","supply_change","mean_null_absolute","100","0.173364","0.175136","0.171257","0.175434","true"
"4x4","uct-1000","supply_change","mean_dependence_excess","100","-0.003053","-0.002726","-0.006766","0.000770","true"
"4x4","uct-1000","objective_change","evaluable_fraction","100","0.848611","0.777778","0.817778","0.878056","true"
"4x4","uct-1000","objective_change","mean_observed_absolute","100","0.164111","0.160867","0.160258","0.168148","true"
"4x4","uct-1000","objective_change","mean_null_absolute","100","0.174465","0.174578","0.172401","0.176437","true"
"4x4","uct-1000","objective_change","mean_dependence_excess","100","-0.010354","-0.014423","-0.013803","-0.006705","true"
"6x6","seeded-random","lead","evaluable_fraction","100","0.995556","1.000000","0.988889","1.000000","false"
"6x6","seeded-random","lead","mean_observed_absolute","100","0.419859","0.412301","0.403957","0.436772","false"
"6x6","seeded-random","lead","mean_null_absolute","100","0.315871","0.314816","0.306597","0.324848","false"
"6x6","seeded-random","lead","mean_dependence_excess","100","0.103988","0.091556","0.089697","0.118055","false"
"6x6","seeded-random","lead_engaged","evaluable_fraction","100","0.983333","1.000000","0.974722","0.991667","false"
"6x6","seeded-random","lead_engaged","mean_observed_absolute","100","0.410178","0.403338","0.394048","0.427057","false"
"6x6","seeded-random","lead_engaged","mean_null_absolute","100","0.308195","0.308970","0.299017","0.317395","false"
"6x6","seeded-random","lead_engaged","mean_dependence_excess","100","0.101982","0.090525","0.087885","0.116380","false"
"6x6","seeded-random","supply_change","evaluable_fraction","100","1.000000","1.000000","1.000000","1.000000","false"
"6x6","seeded-random","supply_change","mean_observed_absolute","100","0.119979","0.119718","0.117589","0.122529","false"
"6x6","seeded-random","supply_change","mean_null_absolute","100","0.121612","0.121583","0.121190","0.122023","false"
"6x6","seeded-random","supply_change","mean_dependence_excess","100","-0.001633","-0.001299","-0.004218","0.000832","false"
"6x6","seeded-random","objective_change","evaluable_fraction","100","0.995556","1.000000","0.988889","1.000000","false"
"6x6","seeded-random","objective_change","mean_observed_absolute","100","0.111777","0.112671","0.109832","0.113668","false"
"6x6","seeded-random","objective_change","mean_null_absolute","100","0.122238","0.123083","0.121260","0.123151","false"
"6x6","seeded-random","objective_change","mean_dependence_excess","100","-0.010461","-0.010413","-0.012231","-0.008713","false"
"6x6","uct-0100","lead","evaluable_fraction","50","0.995556","1.000000","0.986667","1.000000","false"
"6x6","uct-0100","lead","mean_observed_absolute","50","0.434752","0.438613","0.409074","0.461474","false"
"6x6","uct-0100","lead","mean_null_absolute","50","0.303734","0.301579","0.292990","0.314601","false"
"6x6","uct-0100","lead","mean_dependence_excess","50","0.131018","0.114289","0.107451","0.156045","false"
"6x6","uct-0100","lead_engaged","evaluable_fraction","50","0.980000","1.000000","0.967778","0.989444","false"
"6x6","uct-0100","lead_engaged","mean_observed_absolute","50","0.423113","0.435453","0.398989","0.449282","false"
"6x6","uct-0100","lead_engaged","mean_null_absolute","50","0.295512","0.292246","0.283939","0.306462","false"
"6x6","uct-0100","lead_engaged","mean_dependence_excess","50","0.127601","0.120110","0.104767","0.150842","false"
"6x6","uct-0100","supply_change","evaluable_fraction","50","1.000000","1.000000","1.000000","1.000000","false"
"6x6","uct-0100","supply_change","mean_observed_absolute","50","0.120287","0.117690","0.116876","0.124148","false"
"6x6","uct-0100","supply_change","mean_null_absolute","50","0.121996","0.122155","0.121152","0.122791","false"
"6x6","uct-0100","supply_change","mean_dependence_excess","50","-0.001709","-0.003899","-0.005345","0.002284","false"
"6x6","uct-0100","objective_change","evaluable_fraction","50","0.995556","1.000000","0.986667","1.000000","false"
"6x6","uct-0100","objective_change","mean_observed_absolute","50","0.114484","0.116235","0.111333","0.117812","false"
"6x6","uct-0100","objective_change","mean_null_absolute","50","0.122679","0.123976","0.121441","0.123850","false"
"6x6","uct-0100","objective_change","mean_dependence_excess","50","-0.008195","-0.007763","-0.011159","-0.005156","false"
"6x6","uct-0500","lead","evaluable_fraction","50","0.995556","1.000000","0.986667","1.000000","false"
"6x6","uct-0500","lead","mean_observed_absolute","50","0.444902","0.444956","0.425568","0.465731","false"
"6x6","uct-0500","lead","mean_null_absolute","50","0.302221","0.305054","0.291453","0.312606","false"
"6x6","uct-0500","lead","mean_dependence_excess","50","0.142681","0.143455","0.124371","0.161702","false"
"6x6","uct-0500","lead_engaged","evaluable_fraction","50","0.967778","1.000000","0.952778","0.980556","false"
"6x6","uct-0500","lead_engaged","mean_observed_absolute","50","0.434996","0.440835","0.416446","0.455001","false"
"6x6","uct-0500","lead_engaged","mean_null_absolute","50","0.292947","0.299679","0.281694","0.304001","false"
"6x6","uct-0500","lead_engaged","mean_dependence_excess","50","0.142049","0.145228","0.123815","0.160488","false"
"6x6","uct-0500","supply_change","evaluable_fraction","50","0.995556","1.000000","0.986667","1.000000","false"
"6x6","uct-0500","supply_change","mean_observed_absolute","50","0.117452","0.116431","0.114783","0.120175","false"
"6x6","uct-0500","supply_change","mean_null_absolute","50","0.122217","0.122216","0.121318","0.123074","false"
"6x6","uct-0500","supply_change","mean_dependence_excess","50","-0.004766","-0.006075","-0.007468","-0.002076","false"
"6x6","uct-0500","objective_change","evaluable_fraction","50","0.995556","1.000000","0.986667","1.000000","false"
"6x6","uct-0500","objective_change","mean_observed_absolute","50","0.123843","0.124019","0.120105","0.127488","false"
"6x6","uct-0500","objective_change","mean_null_absolute","50","0.123684","0.124433","0.122600","0.124705","false"
"6x6","uct-0500","objective_change","mean_dependence_excess","50","0.000159","0.001308","-0.003488","0.003793","false"
"6x6","uct-1000","lead","evaluable_fraction","50","0.986667","1.000000","0.968889","1.000000","true"
"6x6","uct-1000","lead","mean_observed_absolute","50","0.432132","0.420042","0.410280","0.453447","true"
"6x6","uct-1000","lead","mean_null_absolute","50","0.293832","0.284902","0.281552","0.307749","true"
"6x6","uct-1000","lead","mean_dependence_excess","50","0.138299","0.126513","0.114381","0.161805","true"
"6x6","uct-1000","lead_engaged","evaluable_fraction","50","0.968333","1.000000","0.950000","0.983333","false"
"6x6","uct-1000","lead_engaged","mean_observed_absolute","50","0.419325","0.402747","0.399930","0.441089","false"
"6x6","uct-1000","lead_engaged","mean_null_absolute","50","0.283173","0.273126","0.269710","0.297773","false"
"6x6","uct-1000","lead_engaged","mean_dependence_excess","50","0.136152","0.120037","0.115049","0.158803","false"
"6x6","uct-1000","supply_change","evaluable_fraction","50","0.977778","1.000000","0.955556","0.995556","true"
"6x6","uct-1000","supply_change","mean_observed_absolute","50","0.117155","0.116196","0.113241","0.121385","true"
"6x6","uct-1000","supply_change","mean_null_absolute","50","0.122446","0.122456","0.121226","0.123625","true"
"6x6","uct-1000","supply_change","mean_dependence_excess","50","-0.005291","-0.005919","-0.009540","-0.000946","true"
"6x6","uct-1000","objective_change","evaluable_fraction","50","0.986667","1.000000","0.968889","1.000000","true"
"6x6","uct-1000","objective_change","mean_observed_absolute","50","0.120388","0.120262","0.117345","0.123153","true"
"6x6","uct-1000","objective_change","mean_null_absolute","50","0.124091","0.123527","0.122712","0.125518","true"
"6x6","uct-1000","objective_change","mean_dependence_excess","50","-0.003703","-0.003385","-0.006386","-0.000851","true"
