"board","search_level","threshold","revisit_lag","count","fraction"
"4x4","uct-0100","3","5","114","0.139706"
"4x4","uct-0100","3","6","68","0.083333"
"4x4","uct-0100","3","7","60","0.073529"
"4x4","uct-0100","3","8","29","0.035539"
"4x4","uct-0100","3","9","18","0.022059"
"4x4","uct-0100","3","10","16","0.019608"
"4x4","uct-0100","3","11","16","0.019608"
"4x4","uct-0100","3","12","10","0.012255"
"4x4","uct-0100","3","13","1","0.001225"
"4x4","uct-0100","3","14","3","0.003676"
"4x4","uct-0100","3","15","1","0.001225"
"4x4","uct-0100","3","17","1","0.001225"
"4x4","uct-0500","1","1","894","0.478587"
"4x4","uct-0500","1","2","315","0.168630"
"4x4","uct-0500","1","3","215","0.115096"
"4x4","uct-0500","1","4","118","0.063169"
"4x4","uct-0500","1","5","101","0.054069"
"4x4","uct-0500","1","6","57","0.030514"
"4x4","uct-0500","1","7","51","0.027302"
"4x4","uct-0500","1","8","34","0.018201"
"4x4","uct-0500","1","9","25","0.013383"
"4x4","uct-0500","1","10","20","0.010707"
"4x4","uct-0500","1","11","8","0.004283"
"4x4","uct-0500","1","12","10","0.005353"
"4x4","uct-0500","1","13","7","0.003747"
"4x4","uct-0500","1","14","4","0.002141"
"4x4","uct-0500","1","15","4","0.002141"
"4x4","uct-0500","1","16","2","0.001071"
"4x4","uct-0500","1","18","3","0.001606"
"4x4","uct-0500","2","2","315","0.323409"
"4x4","uct-0500","2","3","215","0.220739"
"4x4","uct-0500","2","4","118","0.121150"
"4x4","uct-0500","2","5","101","0.103696"
"4x4","uct-0500","2","6","57","0.058522"
"4x4","uct-0500","2","7","51","0.052361"
"4x4","uct-0500","2","8","34","0.034908"
"4x4","uct-0500","2","9","25","0.025667"
"4x4","uct-0500","2","10","20","0.020534"
"4x4","uct-0500","2","11","8","0.008214"
"4x4","uct-0500","2","12","10","0.010267"
"4x4","uct-0500","2","13","7","0.007187"
"4x4","uct-0500","2","14","4","0.004107"
"4x4","uct-0500","2","15","4","0.004107"
"4x4","uct-0500","2","16","2","0.002053"
"4x4","uct-0500","2","18","3","0.003080"
"4x4","uct-0500","3","3","215","0.326252"
"4x4","uct-0500","3","4","118","0.179059"
"4x4","uct-0500","3","5","101","0.153263"
"4x4","uct-0500","3","6","57","0.086495"
"4x4","uct-0500","3","7","51","0.077390"
"4x4","uct-0500","3","8","34","0.051593"
"4x4","uct-0500","3","9","25","0.037936"
"4x4","uct-0500","3","10","20","0.030349"
"4x4","uct-0500","3","11","8","0.012140"
"4x4","uct-0500","3","12","10","0.015175"
"4x4","uct-0500","3","13","7","0.010622"
"4x4","uct-0500","3","14","4","0.006070"
"4x4","uct-0500","3","15","4","0.006070"
"4x4","uct-0500","3","16","2","0.003035"
"4x4","uct-0500","3","18","3","0.004552"
"4x4","uct-1000","1","1","859","0.508284"
"4x4","uct-1000","1","2","260","0.153846"
"4x4","uct-1000","1","3","176","0.104142"
"4x4","uct-1000","1","4","97","0.057396"
"4x4","uct-1000","1","5","81","0.047929"
"4x4","uct-1000","1","6","48","0.028402"
"4x4","uct-1000","1","7","38","0.022485"
"4x4","uct-1000","1","8","28","0.016568"
"4x4","uct-1000","1","9","35","0.020710"
"4x4","uct-1000","1","10","15","0.008876"
"4x4","uct-1000","1","11","16","0.009467"
"4x4","uct-1000","1","12","11","0.006509"
"4x4","uct-1000","1","13","8","0.004734"
"4x4","uct-1000","1","14","4","0.002367"
"4x4","uct-1000","1","15","5","0.002959"
"4x4","uct-1000","1","16","4","0.002367"
"4x4","uct-1000","1","17","5","0.002959"
"4x4","uct-1000","2","2","260","0.312876"
"4x4","uct-1000","2","3","176","0.211793"
"4x4","uct-1000","2","4","97","0.116727"
"4x4","uct-1000","2","5","81","0.097473"
"4x4","uct-1000","2","6","48","0.057762"
"4x4","uct-1000","2","7","38","0.045728"
"4x4","uct-1000","2","8","28","0.033694"
"4x4","uct-1000","2","9","35","0.042118"
"4x4","uct-1000","2","10","15","0.018051"
"4x4","uct-1000","2","11","16","0.019254"
"4x4","uct-1000","2","12","11","0.013237"
"4x4","uct-1000","2","13","8","0.009627"
"4x4","uct-1000","2","14","4","0.004813"
"4x4","uct-1000","2","15","5","0.006017"
"4x4","uct-1000","2","16","4","0.004813"
"4x4","uct-1000","2","17","5","0.006017"
"4x4","uct-1000","3","3","176","0.308231"
"4x4","uct-1000","3","4","97","0.169877"
"4x4","uct-1000","3","5","81","0.141856"
"4x4","uct-1000","3","6","48","0.084063"
"4x4","uct-1000","3","7","38","0.066550"
"4x4","uct-1000","3","8","28","0.049037"
"4x4","uct-1000","3","9","35","0.061296"
"4x4","uct-1000","3","10","15","0.026270"
"4x4","uct-1000","3","11","16","0.028021"
"4x4","uct-1000","3","12","11","0.019264"
"4x4","uct-1000","3","13","8","0.014011"
"4x4","uct-1000","3","14","4","0.007005"
"4x4","uct-1000","3","15","5","0.008757"
"4x4","uct-1000","3","16","4","0.007005"
"4x4","uct-1000","3","17","5","0.008757"
"6x6","seeded-random","1","1","2381","0.352793"
"6x6","seeded-random","1","2","1383","0.204919"
"6x6","seeded-random","1","3","1005","0.148911"
"6x6","seeded-random","1","4","592","0.087717"
"6x6","seeded-random","1","5","473","0.070084"
"6x6","seeded-random","1","6","272","0.040302"
"6x6","seeded-random","1","7","216","0.032005"
"6x6","seeded-random","1","8","118","0.017484"
"6x6","seeded-random","1","9","104","0.015410"
"6x6","seeded-random","1","10","48","0.007112"
"6x6","seeded-random","1","11","53","0.007853"
"6x6","seeded-random","1","12","26","0.003852"
"6x6","seeded-random","1","13","27","0.004001"
"6x6","seeded-random","1","14","13","0.001926"
"6x6","seeded-random","1","15","15","0.002223"
"6x6","seeded-random","1","16","6","0.000889"
"6x6","seeded-random","1","17","3","0.000445"
"6x6","seeded-random","1","18","3","0.000445"
"6x6","seeded-random","1","19","5","0.000741"
"6x6","seeded-random","1","20","3","0.000445"
"6x6","seeded-random","1","21","2","0.000296"
"6x6","seeded-random","1","25","1","0.000148"
"6x6","seeded-random","2","2","1383","0.316621"
"6x6","seeded-random","2","3","1005","0.230082"
"6x6","seeded-random","2","4","592","0.135531"
"6x6","seeded-random","2","5","473","0.108288"
"6x6","seeded-random","2","6","272","0.062271"
"6x6","seeded-random","2","7","216","0.049451"
"6x6","seeded-random","2","8","118","0.027015"
"6x6","seeded-random","2","9","104","0.023810"
"6x6","seeded-random","2","10","48","0.010989"
"6x6","seeded-random","2","11","53","0.012134"
"6x6","seeded-random","2","12","26","0.005952"
"6x6","seeded-random","2","13","27","0.006181"
"6x6","seeded-random","2","14","13","0.002976"
"6x6","seeded-random","2","15","15","0.003434"
"6x6","seeded-random","2","16","6","0.001374"
"6x6","seeded-random","2","17","3","0.000687"
"6x6","seeded-random","2","18","3","0.000687"
"6x6","seeded-random","2","19","5","0.001145"
"6x6","seeded-random","2","20","3","0.000687"
"6x6","seeded-random","2","21","2","0.000458"
"6x6","seeded-random","2","25","1","0.000229"
"6x6","seeded-random","3","3","1005","0.336683"
"6x6","seeded-random","3","4","592","0.198325"
"6x6","seeded-random","3","5","473","0.158459"
"6x6","seeded-random","3","6","272","0.091122"
"6x6","seeded-random","3","7","216","0.072362"
"6x6","seeded-random","3","8","118","0.039531"
"6x6","seeded-random","3","9","104","0.034841"
"6x6","seeded-random","3","10","48","0.016080"
"6x6","seeded-random","3","11","53","0.017755"
"6x6","seeded-random","3","12","26","0.008710"
"6x6","seeded-random","3","13","27","0.009045"
"6x6","seeded-random","3","14","13","0.004355"
"6x6","seeded-random","3","15","15","0.005025"
"6x6","seeded-random","3","16","6","0.002010"
"6x6","seeded-random","3","17","3","0.001005"
"6x6","seeded-random","3","18","3","0.001005"
"6x6","seeded-random","3","19","5","0.001675"
"6x6","seeded-random","3","20","3","0.001005"
"6x6","seeded-random","3","21","2","0.000670"
"6x6","seeded-random","3","25","1","0.000335"
"6x6","uct-0100","1","1","1238","0.366056"
"6x6","uct-0100","1","2","660","0.195151"
"6x6","uct-0100","1","3","528","0.156121"
"6x6","uct-0100","1","4","295","0.087226"
"6x6","uct-0100","1","5","240","0.070964"
"6x6","uct-0100","1","6","136","0.040213"
"6x6","uct-0100","1","7","81","0.023950"
"6x6","uct-0100","1","8","51","0.015080"
"6x6","uct-0100","1","9","40","0.011827"
"6x6","uct-0100","1","10","32","0.009462"
"6x6","uct-0100","1","11","17","0.005027"
"6x6","uct-0100","1","12","16","0.004731"
"6x6","uct-0100","1","13","19","0.005618"
"6x6","uct-0100","1","14","7","0.002070"
"6x6","uct-0100","1","15","6","0.001774"
"6x6","uct-0100","1","16","5","0.001478"
"6x6","uct-0100","1","17","3","0.000887"
"6x6","uct-0100","1","18","2","0.000591"
"6x6","uct-0100","1","19","3","0.000887"
"6x6","uct-0100","1","22","2","0.000591"
"6x6","uct-0100","1","25","1","0.000296"
"6x6","uct-0100","2","2","660","0.307836"
"6x6","uct-0100","2","3","528","0.246269"
"6x6","uct-0100","2","4","295","0.137593"
"6x6","uct-0100","2","5","240","0.111940"
"6x6","uct-0100","2","6","136","0.063433"
"6x6","uct-0100","2","7","81","0.037780"
"6x6","uct-0100","2","8","51","0.023787"
"6x6","uct-0100","2","9","40","0.018657"
"6x6","uct-0100","2","10","32","0.014925"
"6x6","uct-0100","2","11","17","0.007929"
"6x6","uct-0100","2","12","16","0.007463"
"6x6","uct-0100","2","13","19","0.008862"
"6x6","uct-0100","2","14","7","0.003265"
"6x6","uct-0100","2","15","6","0.002799"
"6x6","uct-0100","2","16","5","0.002332"
"6x6","uct-0100","2","17","3","0.001399"
"6x6","uct-0100","2","18","2","0.000933"
"6x6","uct-0100","2","19","3","0.001399"
"6x6","uct-0100","2","22","2","0.000933"
"6x6","uct-0100","2","25","1","0.000466"
"6x6","uct-0100","3","3","528","0.355795"
"6x6","uct-0100","3","4","295","0.198787"
"6x6","uct-0100","3","5","240","0.161725"
"6x6","uct-0100","3","6","136","0.091644"
"6x6","uct-0100","3","7","81","0.054582"
"6x6","uct-0100","3","8","51","0.034367"
"6x6","uct-0100","3","9","40","0.026954"
"6x6","uct-0100","3","10","32","0.021563"
"6x6","uct-0100","3","11","17","0.011456"
"6x6","uct-0100","3","12","16","0.010782"
"6x6","uct-0100","3","13","19","0.012803"
"6x6","uct-0100","3","14","7","0.004717"
"6x6","uct-0100","3","15","6","0.004043"
"6x6","uct-0100","3","16","5","0.003369"
"6x6","uct-0100","3","17","3","0.002022"
