"board","experiment_id","search_level","game_index","region","threshold","cycle_index","departure_turn","departure_progress","qualification_turn","endpoint_turn","outcome","revisit_turn","duration","normalized_duration","revisit_lag","normalized_revisit_lag","active_lapsed","right_censored"
"6x6","6x6-seeded-random","seeded-random","69","MM","2","3","31","0.645833","32","34","persistent_revisit","34","3","0.062500","3","0.062500","false","false"
"6x6","6x6-seeded-random","seeded-random","69","MM","2","4","38","0.791667","39","42","reactivation_revisit","42","4","0.083333","4","0.083333","true","false"
"6x6","6x6-seeded-random","seeded-random","69","MM","2","5","43","0.895833","44","48","right_censored","","5","0.104167","","","true","true"
"6x6","6x6-seeded-random","seeded-random","69","MH","2","1","5","0.104167","6","7","persistent_revisit","7","2","0.041667","2","0.041667","false","false"
"6x6","6x6-seeded-random","seeded-random","69","MH","2","2","8","0.166667","9","13","reactivation_revisit","13","5","0.104167","5","0.104167","true","false"
"6x6","6x6-seeded-random","seeded-random","69","MH","2","3","16","0.333333","17","19","persistent_revisit","19","3","0.062500","3","0.062500","false","false"
"6x6","6x6-seeded-random","seeded-random","69","MH","2","4","20","0.416667","21","27","reactivation_revisit","27","7","0.145833","7","0.145833","true","false"
"6x6","6x6-seeded-random","seeded-random","69","MH","2","5","30","0.625000","31","33","persistent_revisit","33","3","0.062500","3","0.062500","false","false"
"6x6","6x6-seeded-random","seeded-random","69","MH","2","6","40","0.833333","41","44","reactivation_revisit","44","4","0.083333","4","0.083333","true","false"
"6x6","6x6-seeded-random","seeded-random","69","MH","2","7","47","0.979167","48","48","right_censored","","1","0.020833","","","false","true"
"6x6","6x6-seeded-random","seeded-random","69","HL","2","1","29","0.604167","30","32","persistent_revisit","32","3","0.062500","3","0.062500","false","false"
"6x6","6x6-seeded-random","seeded-random","69","HL","2","2","34","0.708333","35","37","persistent_revisit","37","3","0.062500","3","0.062500","false","false"
"6x6","6x6-seeded-random","seeded-random","69","HL","2","3","44","0.916667","45","47","persistent_revisit","47","3","0.062500","3","0.062500","false","false"
"6x6","6x6-seeded-random","seeded-random","69","HM","2","1","7","0.145833","8","9","persistent_revisit","9","2","0.041667","2","0.041667","false","false"
"6x6","6x6-seeded-random","seeded-random","69","HM","2","2","12","0.250000","13","17","reactivation_revisit","17","5","0.104167","5","0.104167","true","false"
"6x6","6x6-seeded-random","seeded-random","69","HM","2","3","22","0.458333","23","25","persistent_revisit","25","3","0.062500","3","0.062500","false","false"
"6x6","6x6-seeded-random","seeded-random","69","HM","2","4","30","0.625000","31","34","reactivation_revisit","34","4","0.083333","4","0.083333","true","false"
"6x6","6x6-seeded-random","seeded-random","69","HM","2","5","36","0.750000","37","40","reactivation_revisit","40","4","0.083333","4","0.083333","true","false"
"6x6","6x6-seeded-random","seeded-random","69","HM","2","6","41","0.854167","42","44","persistent_revisit","44","3","0.062500","3","0.062500","false","false"
"6x6","6x6-seeded-random","seeded-random","69","HM","2","7","47","0.979167","48","48","right_censored","","1","0.020833","","","false","true"
"6x6","6x6-seeded-random","seeded-random","69","HH","2","1","16","0.333333","17","32","reactivation_revisit","32","16","0.333333","16","0.333333","true","false"
"6x6","6x6-seeded-random","seeded-random","69","HH","2","2","33","0.687500","34","38","reactivation_revisit","38","5","0.104167","5","0.104167","true","false"
"6x6","6x6-seeded-random","seeded-random","69","HH","2","3","39","0.812500","40","48","right_censored","","9","0.187500","","","true","true"
"6x6","6x6-seeded-random","seeded-random","69","LL","1","1","6","0.125000","6","7","persistent_revisit","7","1","0.020833","1","0.020833","false","false"
"6x6","6x6-seeded-random","seeded-random","69","LL","1","2","11","0.229167","11","13","persistent_revisit","13","2","0.041667","2","0.041667","false","false"
"6x6","6x6-seeded-random","seeded-random","69","LL","1","3","15","0.312500","15","16","persistent_revisit","16","1","0.020833","1","0.020833","false","false"
"6x6","6x6-seeded-random","seeded-random","69","LL","1","4","18","0.375000","18","19","persistent_revisit","19","1","0.020833","1","0.020833","false","false"
"6x6","6x6-seeded-random","seeded-random","69","LL","1","5","21","0.437500","21","22","persistent_revisit","22","1","0.020833","1","0.020833","false","false"
"6x6","6x6-seeded-random","seeded-random","69","LL","1","6","24","0.500000","24","31","reactivation_revisit","31","7","0.145833","7","0.145833","true","false"
"6x6","6x6-seeded-random","seeded-random","69","LL","1","7","32","0.666667","32","41","reactivation_revisit","41","9","0.187500","9","0.187500","true","false"
"6x6","6x6-seeded-random","seeded-random","69","LL","1","8","42","0.875000","42","45","persistent_revisit","45","3","0.062500","3","0.062500","false","false"
"6x6","6x6-seeded-random","seeded-random","69","LL","1","9","47","0.979167","47","48","persistent_revisit","48","1","0.020833","1","0.020833","false","false"
"6x6","6x6-seeded-random","seeded-random","69","LM","1","1","25","0.520833","25","33","reactivation_revisit","33","8","0.166667","8","0.166667","true","false"
"6x6","6x6-seeded-random","seeded-random","69","LM","1","2","34","0.708333","34","35","persistent_revisit","35","1","0.020833","1","0.020833","false","false"
"6x6","6x6-seeded-random","seeded-random","69","LM","1","3","36","0.750000","36","41","reactivation_revisit","41","5","0.104167","5","0.104167","true","false"
"6x6","6x6-seeded-random","seeded-random","69","LM","1","4","42","0.875000","42","43","persistent_revisit","43","1","0.020833","1","0.020833","false","false"
"6x6","6x6-seeded-random","seeded-random","69","LM","1","5","44","0.916667","44","47","persistent_revisit","47","3","0.062500","3","0.062500","false","false"
"6x6","6x6-seeded-random","seeded-random","69","LH","1","1","4","0.083333","4","5","persistent_revisit","5","1","0.020833","1","0.020833","false","false"
"6x6","6x6-seeded-random","seeded-random","69","LH","1","2","8","0.166667","8","10","persistent_revisit","10","2","0.041667","2","0.041667","false","false"
"6x6","6x6-seeded-random","seeded-random","69","LH","1","3","15","0.312500","15","17","persistent_revisit","17","2","0.041667","2","0.041667","false","false"
"6x6","6x6-seeded-random","seeded-random","69","LH","1","4","18","0.375000","18","20","persistent_revisit","20","2","0.041667","2","0.041667","false","false"
"6x6","6x6-seeded-random","seeded-random","69","LH","1","5","22","0.458333","22","25","persistent_revisit","25","3","0.062500","3","0.062500","false","false"
"6x6","6x6-seeded-random","seeded-random","69","LH","1","6","26","0.541667","26","32","reactivation_revisit","32","6","0.125000","6","0.125000","true","false"
"6x6","6x6-seeded-random","seeded-random","69","LH","1","7","33","0.687500","33","38","reactivation_revisit","38","5","0.104167","5","0.104167","true","false"
"6x6","6x6-seeded-random","seeded-random","69","LH","1","8","39","0.812500","39","48","right_censored","","9","0.187500","","","true","true"
"6x6","6x6-seeded-random","seeded-random","69","ML","1","1","25","0.520833","25","26","persistent_revisit","26","1","0.020833","1","0.020833","false","false"
"6x6","6x6-seeded-random","seeded-random","69","ML","1","2","27","0.562500","27","28","persistent_revisit","28","1","0.020833","1","0.020833","false","false"
"6x6","6x6-seeded-random","seeded-random","69","ML","1","3","29","0.604167","29","30","persistent_revisit","30","1","0.020833","1","0.020833","false","false"
"6x6","6x6-seeded-random","seeded-random","69","ML","1","4","32","0.666667","32","34","persistent_revisit","34","2","0.041667","2","0.041667","false","false"
"6x6","6x6-seeded-random","seeded-random","69","ML","1","5","35","0.729167","35","36","persistent_revisit","36","1","0.020833","1","0.020833","false","false"
"6x6","6x6-seeded-random","seeded-random","69","ML","1","6","37","0.770833","37","39","persistent_revisit","39","2","0.041667","2","0.041667","false","false"
"6x6","6x6-seeded-random","seeded-random","69","ML","1","7","41","0.854167","41","44","persistent_revisit","44","3","0.062500","3","0.062500","false","false"
"6x6","6x6-seeded-random","seeded-random","69","ML","1","8","45","0.937500","45","48","persistent_revisit","48","3","0.062500","3","0.062500","false","false"
"6x6","6x6-seeded-random","seeded-random","69","MM","1","1","13","0.270833","13","15","persistent_revisit","15","2","0.041667","2","0.041667","false","false"
"6x6","6x6-seeded-random","seeded-random","69","MM","1","2","17","0.354167","17","18","persistent_revisit","18","1","0.020833","1","0.020833","false","false"
"6x6","6x6-seeded-random","seeded-random","69","MM","1","3","19","0.395833","19","28","reactivation_revisit","28","9","0.187500","9","0.187500","true","false"
"6x6","6x6-seeded-random","seeded-random","69","MM","1","4","29","0.604167","29","30","persistent_revisit","30","1","0.020833","1","0.020833","false","false"
"6x6","6x6-seeded-random","seeded-random","69","MM","1","5","31","0.645833","31","34","persistent_revisit","34","3","0.062500","3","0.062500","false","false"
"6x6","6x6-seeded-random","seeded-random","69","MM","1","6","35","0.729167","35","36","persistent_revisit","36","1","0.020833","1","0.020833","false","false"
"6x6","6x6-seeded-random","seeded-random","69","MM","1","7","38","0.791667","38","42","reactivation_revisit","42","4","0.083333","4","0.083333","true","false"
"6x6","6x6-seeded-random","seeded-random","69","MM","1","8","43","0.895833","43","48","right_censored","","5","0.104167","","","true","true"
"6x6","6x6-seeded-random","seeded-random","69","MH","1","1","5","0.104167","5","7","persistent_revisit","7","2","0.041667","2","0.041667","false","false"
