"board","search_level","threshold","lag","normalized_lag","at_risk","persistent_revisits","reactivation_revisits","never_revisited_resolved","never_revisited_nonfront_return","right_censored"
"4x4","uct-0500","3","4","0.166667","597","0","118","0","3","34"
"4x4","uct-0500","3","5","0.208333","442","0","101","0","3","19"
"4x4","uct-0500","3","6","0.250000","319","0","57","0","1","22"
"4x4","uct-0500","3","7","0.291667","239","0","51","0","0","15"
"4x4","uct-0500","3","8","0.333333","173","0","34","0","0","8"
"4x4","uct-0500","3","9","0.375000","131","0","25","0","0","11"
"4x4","uct-0500","3","10","0.416667","95","0","20","0","0","13"
"4x4","uct-0500","3","11","0.458333","62","0","8","0","0","7"
"4x4","uct-0500","3","12","0.500000","47","0","10","0","1","7"
"4x4","uct-0500","3","13","0.541667","29","0","7","0","0","3"
"4x4","uct-0500","3","14","0.583333","19","0","4","0","0","3"
"4x4","uct-0500","3","15","0.625000","12","0","4","0","0","0"
"4x4","uct-0500","3","16","0.666667","8","0","2","0","0","1"
"4x4","uct-0500","3","17","0.708333","5","0","0","0","0","0"
"4x4","uct-0500","3","18","0.750000","5","0","3","0","0","0"
"4x4","uct-0500","3","19","0.791667","2","0","0","0","0","1"
"4x4","uct-0500","3","20","0.833333","1","0","0","0","0","0"
"4x4","uct-0500","3","21","0.875000","1","0","0","0","0","1"
"4x4","uct-1000","2","0","0.000000","1187","0","0","0","0","0"
"4x4","uct-1000","2","1","0.041667","1187","0","0","0","0","76"
"4x4","uct-1000","2","2","0.083333","1111","260","0","37","0","49"
"4x4","uct-1000","2","3","0.125000","765","176","0","0","2","38"
"4x4","uct-1000","2","4","0.166667","549","0","97","0","3","27"
"4x4","uct-1000","2","5","0.208333","422","0","81","0","1","28"
"4x4","uct-1000","2","6","0.250000","312","0","48","0","1","18"
"4x4","uct-1000","2","7","0.291667","245","0","38","0","0","17"
"4x4","uct-1000","2","8","0.333333","190","0","28","0","0","12"
"4x4","uct-1000","2","9","0.375000","150","0","35","0","2","9"
"4x4","uct-1000","2","10","0.416667","104","0","15","0","0","6"
"4x4","uct-1000","2","11","0.458333","83","0","16","0","0","9"
"4x4","uct-1000","2","12","0.500000","58","0","11","0","1","5"
"4x4","uct-1000","2","13","0.541667","41","0","8","0","0","4"
"4x4","uct-1000","2","14","0.583333","29","0","4","0","0","1"
"4x4","uct-1000","2","15","0.625000","24","0","5","0","0","1"
"4x4","uct-1000","2","16","0.666667","18","0","4","0","0","1"
"4x4","uct-1000","2","17","0.708333","13","0","5","0","0","1"
"4x4","uct-1000","2","18","0.750000","7","0","0","0","0","2"
"4x4","uct-1000","2","19","0.791667","5","0","0","0","0","2"
"4x4","uct-1000","2","20","0.833333","3","0","0","0","0","2"
"4x4","uct-1000","2","21","0.875000","1","0","0","0","0","1"
