"board","search_level","threshold","metric","games","value","median","ci_low","ci_high","primary"
"3x3","uct-0500","2","right_censored_rate","100","0.242434","0.226496","0.214048","0.273375","false"
"3x3","uct-0500","2","simple_end_revisit_rate","100","0.640829","0.666667","0.609359","0.668032","false"
"3x3","uct-0500","2","mean_revisit_lag","100","3.684730","3.414286","3.497639","3.888937","false"
"3x3","uct-0500","2","median_revisit_lag","100","3.235000","3.000000","3.015000","3.455000","false"
"3x3","uct-0500","2","mean_normalized_revisit_lag","100","0.204707","0.189683","0.193567","0.216054","false"
"3x3","uct-0500","2","distinct_revisited_regions","100","3.720000","4.000000","3.470000","3.980000","false"
"3x3","uct-0500","2","repeated_revisit_regions","100","1.310000","1.000000","1.130000","1.500000","false"
"3x3","uct-0500","2","revisit_within_four_turns_rate","100","0.555246","0.555556","0.511790","0.596575","false"
"3x3","uct-0500","2","early_revisit_within_quarter_rate","99","0.658899","0.666667","0.598653","0.716474","false"
"3x3","uct-0500","1","mean_dormant_active_fronts","100","1.531667","1.583333","1.456667","1.608333","false"
"3x3","uct-0500","1","dormant_ge1_turn_rate","100","0.793333","0.833333","0.776111","0.809444","false"
"3x3","uct-0500","1","dormant_ge2_turn_rate","100","0.502778","0.555556","0.467222","0.536111","false"
"3x3","uct-0500","1","longest_dormant_run_fraction","100","0.655556","0.722222","0.612778","0.697778","false"
"3x3","uct-0500","1","mean_backlog_size","100","1.531667","1.583333","1.456111","1.603333","false"
"3x3","uct-0500","1","max_backlog_size","100","3.370000","3.000000","3.220000","3.520000","false"
"3x3","uct-0500","1","backlog_ge1_turn_rate","100","0.793333","0.833333","0.775556","0.810000","false"
"3x3","uct-0500","1","backlog_ge2_turn_rate","100","0.502778","0.555556","0.467778","0.536111","false"
"3x3","uct-0500","1","longest_backlog_run_fraction","100","0.655556","0.722222","0.612222","0.698889","false"
"3x3","uct-0500","1","qualifying_departures","100","14.720000","15.000000","14.040000","15.370000","false"
"3x3","uct-0500","1","persistent_revisits","100","8.300000","8.000000","7.780000","8.860000","false"
"3x3","uct-0500","1","reactivation_revisits","100","1.860000","2.000000","1.660000","2.070000","false"
"3x3","uct-0500","1","never_revisited","100","1.360000","1.000000","1.130000","1.590000","false"
"3x3","uct-0500","1","right_censored","100","3.200000","3.000000","2.960000","3.450000","false"
"3x3","uct-0500","1","revisit_rate_observed","100","0.880674","0.888889","0.860528","0.900552","false"
"3x3","uct-0500","1","never_revisited_rate_observed","100","0.119326","0.111111","0.099747","0.140791","false"
"3x3","uct-0500","1","right_censored_rate","100","0.220493","0.218254","0.202184","0.237847","false"
"3x3","uct-0500","1","simple_end_revisit_rate","100","0.683713","0.692308","0.664990","0.701864","false"
"3x3","uct-0500","1","mean_revisit_lag","100","2.350756","2.211111","2.241890","2.464833","false"
"3x3","uct-0500","1","median_revisit_lag","100","1.665000","1.500000","1.535000","1.805000","false"
"3x3","uct-0500","1","mean_normalized_revisit_lag","100","0.130598","0.122839","0.124506","0.136831","false"
"3x3","uct-0500","1","distinct_revisited_regions","100","4.860000","5.000000","4.620000","5.110000","false"
"3x3","uct-0500","1","repeated_revisit_regions","100","3.060000","3.000000","2.840000","3.260000","false"
"3x3","uct-0500","1","revisit_within_four_turns_rate","100","0.708744","0.727273","0.683275","0.734932","false"
"3x3","uct-0500","1","early_revisit_within_quarter_rate","100","0.769408","0.777778","0.728186","0.809921","false"
"3x3","uct-0500","3","mean_dormant_active_fronts","100","0.264444","0.277778","0.245000","0.283889","false"
"3x3","uct-0500","3","dormant_ge1_turn_rate","100","0.241667","0.222222","0.223889","0.259444","false"
"3x3","uct-0500","3","dormant_ge2_turn_rate","100","0.022222","0.000000","0.016667","0.028334","false"
"3x3","uct-0500","3","longest_dormant_run_fraction","100","0.100000","0.111111","0.091667","0.108334","false"
"3x3","uct-0500","3","mean_backlog_size","100","1.531667","1.583333","1.460556","1.608333","false"
"3x3","uct-0500","3","max_backlog_size","100","3.370000","3.000000","3.230000","3.520000","false"
"3x3","uct-0500","3","backlog_ge1_turn_rate","100","0.793333","0.833333","0.776111","0.810556","false"
"3x3","uct-0500","3","backlog_ge2_turn_rate","100","0.502778","0.555556","0.469444","0.534445","false"
"3x3","uct-0500","3","longest_backlog_run_fraction","100","0.655556","0.722222","0.612222","0.696667","false"
"3x3","uct-0500","3","qualifying_departures","100","4.760000","5.000000","4.400000","5.120000","false"
"3x3","uct-0500","3","persistent_revisits","100","1.280000","1.000000","1.070000","1.500000","false"
"3x3","uct-0500","3","reactivation_revisits","100","1.860000","2.000000","1.660000","2.070000","false"
"3x3","uct-0500","3","never_revisited","100","0.260000","0.000000","0.160000","0.370000","false"
"3x3","uct-0500","3","right_censored","100","1.360000","1.000000","1.180000","1.550000","false"
"3x3","uct-0500","3","revisit_rate_observed","98","0.931778","1.000000","0.903231","0.960180","false"
"3x3","uct-0500","3","never_revisited_rate_observed","98","0.068222","0.000000","0.041521","0.097570","false"
"3x3","uct-0500","3","right_censored_rate","99","0.285217","0.250000","0.244136","0.326491","false"
"3x3","uct-0500","3","simple_end_revisit_rate","99","0.663961","0.666667","0.620972","0.706277","false"
"3x3","uct-0500","3","mean_revisit_lag","98","4.819558","4.416666","4.537415","5.119388","false"
"3x3","uct-0500","3","median_revisit_lag","98","4.551020","4.000000","4.239796","4.877551","false"
"3x3","uct-0500","3","mean_normalized_revisit_lag","98","0.267753","0.245370","0.252362","0.285129","false"
"3x3","uct-0500","3","distinct_revisited_regions","100","2.600000","3.000000","2.380000","2.830000","false"
"3x3","uct-0500","3","repeated_revisit_regions","100","0.500000","0.000000","0.390000","0.620000","false"
"3x3","uct-0500","3","revisit_within_four_turns_rate","98","0.445785","0.400000","0.392347","0.504689","false"
"3x3","uct-0500","3","early_revisit_within_quarter_rate","93","0.570251","0.500000","0.491577","0.647491","false"
"3x3","uct-1000","2","mean_dormant_active_fronts","100","0.569444","0.555556","0.527222","0.615000","true"
"3x3","uct-1000","2","dormant_ge1_turn_rate","100","0.445556","0.416666","0.417778","0.474444","true"
"3x3","uct-1000","2","dormant_ge2_turn_rate","100","0.111111","0.111111","0.093889","0.127778","true"
"3x3","uct-1000","2","longest_dormant_run_fraction","100","0.252222","0.222222","0.224445","0.282222","true"
"3x3","uct-1000","2","mean_backlog_size","100","1.286667","1.222222","1.213333","1.361111","true"
"3x3","uct-1000","2","max_backlog_size","100","3.050000","3.000000","2.900000","3.190000","true"
"3x3","uct-1000","2","backlog_ge1_turn_rate","100","0.746667","0.777778","0.725555","0.767222","true"
"3x3","uct-1000","2","backlog_ge2_turn_rate","100","0.390000","0.388889","0.355556","0.424444","true"
"3x3","uct-1000","2","longest_backlog_run_fraction","100","0.575000","0.555556","0.533889","0.616111","true"
"3x3","uct-1000","2","qualifying_departures","100","6.640000","7.000000","6.170000","7.110000","true"
"3x3","uct-1000","2","persistent_revisits","100","2.460000","2.000000","2.150000","2.780000","true"
"3x3","uct-1000","2","reactivation_revisits","100","1.450000","1.000000","1.250000","1.670000","true"
"3x3","uct-1000","2","never_revisited","100","1.150000","1.000000","0.940000","1.360000","true"
"3x3","uct-1000","2","right_censored","100","1.580000","1.000000","1.360000","1.800000","true"
"3x3","uct-1000","2","revisit_rate_observed","100","0.773782","0.788889","0.731607","0.814433","true"
"3x3","uct-1000","2","never_revisited_rate_observed","100","0.226218","0.211111","0.185087","0.269968","true"
"3x3","uct-1000","2","right_censored_rate","100","0.237209","0.222222","0.204092","0.274167","true"
"3x3","uct-1000","2","simple_end_revisit_rate","100","0.581745","0.600000","0.540577","0.619276","true"
"3x3","uct-1000","2","mean_revisit_lag","99","3.504898","3.500000","3.315320","3.701844","true"
"3x3","uct-1000","2","median_revisit_lag","99","3.111111","3.000000","2.919192","3.313131","true"
"3x3","uct-1000","2","mean_normalized_revisit_lag","99","0.194717","0.194444","0.184291","0.204964","true"
"3x3","uct-1000","2","distinct_revisited_regions","100","2.920000","3.000000","2.670000","3.160000","true"
"3x3","uct-1000","2","repeated_revisit_regions","100","0.870000","1.000000","0.710000","1.040000","true"
"3x3","uct-1000","2","revisit_within_four_turns_rate","100","0.515734","0.500000","0.463710","0.564937","true"
"3x3","uct-1000","2","early_revisit_within_quarter_rate","96","0.654613","0.666667","0.595015","0.718328","true"
"3x3","uct-1000","1","mean_dormant_active_fronts","100","1.286667","1.222222","1.211111","1.360000","false"
"3x3","uct-1000","1","dormant_ge1_turn_rate","100","0.746667","0.777778","0.724444","0.766667","false"
"3x3","uct-1000","1","dormant_ge2_turn_rate","100","0.390000","0.388889","0.355556","0.422222","false"
"3x3","uct-1000","1","longest_dormant_run_fraction","100","0.575000","0.555556","0.533889","0.616111","false"
"3x3","uct-1000","1","mean_backlog_size","100","1.286667","1.222222","1.212222","1.361111","false"
"3x3","uct-1000","1","max_backlog_size","100","3.050000","3.000000","2.890000","3.210000","false"
"3x3","uct-1000","1","backlog_ge1_turn_rate","100","0.746667","0.777778","0.725556","0.766667","false"
"3x3","uct-1000","1","backlog_ge2_turn_rate","100","0.390000","0.388889","0.357778","0.425000","false"
"3x3","uct-1000","1","longest_backlog_run_fraction","100","0.575000","0.555556","0.534444","0.617778","false"
"3x3","uct-1000","1","qualifying_departures","100","12.910000","13.000000","12.260000","13.590000","false"
"3x3","uct-1000","1","persistent_revisits","100","7.380000","7.000000","6.800000","7.950000","false"
"3x3","uct-1000","1","reactivation_revisits","100","1.450000","1.000000","1.240000","1.660000","false"
"3x3","uct-1000","1","never_revisited","100","1.530000","1.000000","1.310000","1.760000","false"
"3x3","uct-1000","1","right_censored","100","2.550000","3.000000","2.330000","2.750000","false"
"3x3","uct-1000","1","revisit_rate_observed","100","0.842061","0.857143","0.813492","0.868800","false"
"3x3","uct-1000","1","never_revisited_rate_observed","100","0.157939","0.142857","0.131380","0.185860","false"
"3x3","uct-1000","1","right_censored_rate","100","0.204613","0.200000","0.186473","0.222922","false"
"3x3","uct-1000","1","simple_end_revisit_rate","100","0.669744","0.687500","0.643669","0.693735","false"
"3x3","uct-1000","1","mean_revisit_lag","100","2.146050","2.080128","2.019009","2.277752","false"
"3x3","uct-1000","1","median_revisit_lag","100","1.510000","1.000000","1.370000","1.665000","false"
"3x3","uct-1000","1","mean_normalized_revisit_lag","100","0.119225","0.115563","0.112649","0.126769","false"
"3x3","uct-1000","1","distinct_revisited_regions","100","4.450000","4.000000","4.220000","4.690000","false"
"3x3","uct-1000","1","repeated_revisit_regions","100","2.520000","3.000000","2.270000","2.760000","false"
"3x3","uct-1000","1","revisit_within_four_turns_rate","100","0.690486","0.700000","0.654850","0.723646","false"
"3x3","uct-1000","1","early_revisit_within_quarter_rate","100","0.773671","0.833333","0.729298","0.817397","false"
"3x3","uct-1000","3","mean_dormant_active_fronts","100","0.200556","0.166667","0.180556","0.220000","false"
"3x3","uct-1000","3","dormant_ge1_turn_rate","100","0.187222","0.166667","0.168889","0.206111","false"
"3x3","uct-1000","3","dormant_ge2_turn_rate","100","0.012778","0.000000","0.007778","0.018333","false"
"3x3","uct-1000","3","longest_dormant_run_fraction","100","0.090000","0.055556","0.081111","0.099445","false"
"3x3","uct-1000","3","mean_backlog_size","100","1.286667","1.222222","1.215556","1.360000","false"
"3x3","uct-1000","3","max_backlog_size","100","3.050000","3.000000","2.890000","3.210000","false"
"3x3","uct-1000","3","backlog_ge1_turn_rate","100","0.746667","0.777778","0.725556","0.767222","false"
