"board","experiment_id","search_level","game_index","threshold","turns","mean_dormant_active_fronts","dormant_ge1_turn_rate","dormant_ge2_turn_rate","longest_dormant_run","longest_dormant_run_fraction","mean_backlog_size","max_backlog_size","backlog_ge1_turn_rate","backlog_ge2_turn_rate","longest_backlog_run","longest_backlog_run_fraction","qualifying_departures","persistent_revisits","reactivation_revisits","never_revisited","right_censored","revisit_rate_observed","never_revisited_rate_observed","right_censored_rate","simple_end_revisit_rate","mean_revisit_lag","median_revisit_lag","mean_normalized_revisit_lag","distinct_revisited_regions","repeated_revisit_regions","fixed_four_turn_eligible","revisit_within_four_turns_rate","early_departures","early_revisit_within_quarter_rate"
"3x3","3x3-uct-0100","uct-0100","37","2","18","0.666667","0.388889","0.222222","3","0.166667","1.333333","4","0.722222","0.388889","12","0.666667","7","3","1","1","2","0.800000","0.200000","0.285714","0.571429","3.750000","2.500000","0.208333","3","1","7","0.428571","3","0.333333"
"3x3","3x3-uct-0100","uct-0100","37","1","18","1.333333","0.722222","0.388889","12","0.666667","1.333333","4","0.722222","0.388889","12","0.666667","12","6","1","2","3","0.777778","0.222222","0.250000","0.583333","2.571429","2.000000","0.142857","4","2","11","0.545455","5","0.600000"
"3x3","3x3-uct-0100","uct-0100","37","3","18","0.277778","0.222222","0.055556","2","0.111111","1.333333","4","0.722222","0.388889","12","0.666667","5","1","1","1","2","0.666667","0.333333","0.400000","0.400000","5.500000","5.500000","0.305556","1","1","5","0.200000","3","0.333333"
"3x3","3x3-uct-0100","uct-0100","38","2","18","1.111111","0.611111","0.388889","6","0.333333","2.000000","5","0.833333","0.666667","15","0.833333","12","5","4","0","3","1.000000","0.000000","0.250000","0.750000","4.555556","3.000000","0.253086","5","4","7","0.571429","6","0.500000"
"3x3","3x3-uct-0100","uct-0100","38","1","18","2.000000","0.833333","0.666667","15","0.833333","2.000000","5","0.833333","0.666667","15","0.833333","16","9","4","0","3","1.000000","0.000000","0.187500","0.812500","3.461538","3.000000","0.192308","6","4","11","0.727273","7","0.571429"
"3x3","3x3-uct-0100","uct-0100","38","3","18","0.444444","0.333333","0.111111","3","0.166667","2.000000","5","0.833333","0.666667","15","0.833333","8","3","4","0","1","1.000000","0.000000","0.125000","0.875000","5.285714","4.000000","0.293651","5","2","6","0.500000","5","0.400000"
"3x3","3x3-uct-0100","uct-0100","39","2","18","1.111111","0.777778","0.333333","9","0.500000","2.111111","4","0.888889","0.722222","16","0.888889","12","5","3","1","3","0.888889","0.111111","0.250000","0.666667","4.375000","3.000000","0.243056","6","2","9","0.555556","6","0.666667"
"3x3","3x3-uct-0100","uct-0100","39","1","18","2.111111","0.888889","0.722222","16","0.888889","2.111111","4","0.888889","0.722222","16","0.888889","18","9","3","1","5","0.923077","0.076923","0.277778","0.666667","3.250000","2.500000","0.180556","6","4","12","0.666667","7","0.714286"
"3x3","3x3-uct-0100","uct-0100","39","3","18","0.444444","0.333333","0.111111","2","0.111111","2.111111","4","0.888889","0.722222","16","0.888889","8","3","3","0","2","1.000000","0.000000","0.250000","0.750000","5.166667","3.500000","0.287037","6","0","7","0.571429","4","0.750000"
"3x3","3x3-uct-0100","uct-0100","40","2","18","1.166667","0.777778","0.333333","8","0.444444","2.055556","4","0.888889","0.611111","16","0.888889","12","3","6","1","2","0.900000","0.100000","0.166667","0.750000","5.444444","4.000000","0.302469","7","2","8","0.500000","5","0.400000"
"3x3","3x3-uct-0100","uct-0100","40","1","18","2.055556","0.888889","0.611111","16","0.888889","2.055556","4","0.888889","0.611111","16","0.888889","16","5","6","1","4","0.916667","0.083333","0.250000","0.687500","4.636364","4.000000","0.257576","7","3","10","0.600000","6","0.500000"
"3x3","3x3-uct-0100","uct-0100","40","3","18","0.500000","0.500000","0.000000","4","0.222222","2.055556","4","0.888889","0.611111","16","0.888889","9","2","6","0","1","1.000000","0.000000","0.111111","0.888889","5.875000","4.500000","0.326389","6","2","8","0.500000","5","0.400000"
"3x3","3x3-uct-0100","uct-0100","41","2","18","1.333333","0.722222","0.500000","7","0.388889","2.500000","6","0.888889","0.722222","16","0.888889","13","3","5","0","5","1.000000","0.000000","0.384615","0.615385","4.750000","4.000000","0.263889","6","2","9","0.444444","5","0.600000"
"3x3","3x3-uct-0100","uct-0100","41","1","18","2.500000","0.888889","0.722222","16","0.888889","2.500000","6","0.888889","0.722222","16","0.888889","21","9","5","1","6","0.933333","0.066667","0.285714","0.666667","3.142857","2.500000","0.174603","9","4","15","0.600000","7","0.714286"
"3x3","3x3-uct-0100","uct-0100","41","3","18","0.611111","0.500000","0.111111","5","0.277778","2.500000","6","0.888889","0.722222","16","0.888889","11","2","5","0","4","1.000000","0.000000","0.363636","0.636364","5.142857","4.000000","0.285714","6","1","9","0.444444","5","0.600000"
"3x3","3x3-uct-0100","uct-0100","42","2","18","0.277778","0.222222","0.055556","3","0.166667","0.944444","3","0.611111","0.277778","6","0.333333","4","1","0","1","2","0.500000","0.500000","0.500000","0.250000","2.000000","2.000000","0.111111","1","0","3","0.333333","0",""
"3x3","3x3-uct-0100","uct-0100","42","1","18","0.944444","0.611111","0.277778","6","0.333333","0.944444","3","0.611111","0.277778","6","0.333333","12","7","0","2","3","0.777778","0.222222","0.250000","0.583333","1.142857","1.000000","0.063492","3","2","9","0.666667","3","1.000000"
"3x3","3x3-uct-0100","uct-0100","42","3","18","0.055556","0.055556","0.000000","1","0.055556","0.944444","3","0.611111","0.277778","6","0.333333","1","0","0","0","1","","","1.000000","0.000000","","","","0","0","1","0.000000","0",""
"3x3","3x3-uct-0100","uct-0100","43","2","18","0.277778","0.277778","0.000000","4","0.222222","1.055556","4","0.722222","0.222222","9","0.500000","3","1","0","0","2","1.000000","0.000000","0.666667","0.333333","2.000000","2.000000","0.111111","1","0","2","0.500000","1","1.000000"
"3x3","3x3-uct-0100","uct-0100","43","1","18","1.055556","0.722222","0.222222","9","0.500000","1.055556","4","0.722222","0.222222","9","0.500000","14","9","0","2","3","0.818182","0.181818","0.214286","0.642857","1.111111","1.000000","0.061728","5","2","9","0.777778","3","1.000000"
"3x3","3x3-uct-0100","uct-0100","43","3","18","0.111111","0.111111","0.000000","1","0.055556","1.055556","4","0.722222","0.222222","9","0.500000","2","0","0","0","2","","","1.000000","0.000000","","","","0","0","1","0.000000","0",""
"3x3","3x3-uct-0100","uct-0100","44","2","18","1.277778","0.666667","0.500000","12","0.666667","2.500000","4","0.833333","0.777778","15","0.833333","13","6","5","1","1","0.916667","0.083333","0.076923","0.846154","3.909091","3.000000","0.217172","7","4","11","0.727273","6","0.833333"
"3x3","3x3-uct-0100","uct-0100","44","1","18","2.500000","0.833333","0.777778","15","0.833333","2.500000","4","0.833333","0.777778","15","0.833333","22","11","5","2","4","0.888889","0.111111","0.181818","0.727273","3.000000","3.000000","0.166667","7","7","15","0.800000","8","0.875000"
"3x3","3x3-uct-0100","uct-0100","44","3","18","0.555556","0.500000","0.055556","5","0.277778","2.500000","4","0.833333","0.777778","15","0.833333","10","4","5","0","1","1.000000","0.000000","0.100000","0.900000","4.333333","4.000000","0.240741","6","3","9","0.666667","6","0.833333"
"3x3","3x3-uct-0100","uct-0100","45","2","18","0.555556","0.333333","0.222222","4","0.222222","1.611111","4","0.666667","0.500000","12","0.666667","7","3","1","0","3","1.000000","0.000000","0.428571","0.571429","3.750000","2.500000","0.208333","4","0","3","0.333333","1","0.000000"
"3x3","3x3-uct-0100","uct-0100","45","1","18","1.611111","0.666667","0.500000","12","0.666667","1.611111","4","0.666667","0.500000","12","0.666667","19","13","1","0","5","1.000000","0.000000","0.263158","0.736842","1.785714","1.000000","0.099206","5","4","12","0.833333","5","0.800000"
"3x3","3x3-uct-0100","uct-0100","45","3","18","0.166667","0.166667","0.000000","2","0.111111","1.611111","4","0.666667","0.500000","12","0.666667","3","1","1","0","1","1.000000","0.000000","0.333333","0.666667","5.500000","5.500000","0.305556","2","0","2","0.000000","1","0.000000"
