checkpoint_turn,feature,uct_10000_standardized_mean_difference,uct_3000_standardized_mean_difference,direction_agreement,uct_10000_direction,uct_3000_direction
12,leader_trend_2_usable_support_edges,-0.639713,-0.138361,1,lower_in_reversal,lower_in_reversal
12,leader_trend_4_advantage_objective_margin,0.086026,0.262598,1,higher_in_reversal,higher_in_reversal
12,leader_trend_4_important_control_margin,0.166963,0.112493,1,higher_in_reversal,higher_in_reversal
12,leader_trend_4_objective_piece_margin,-0.126865,-0.087226,1,lower_in_reversal,lower_in_reversal
12,leader_trend_4_secured_objective_margin,-0.261291,-0.137957,1,lower_in_reversal,lower_in_reversal
12,leader_trend_4_secured_supply_margin,0.289263,-0.043317,0,higher_in_reversal,lower_in_reversal
12,leader_trend_4_support_edge_margin,0.0257,0.01075,1,higher_in_reversal,higher_in_reversal
12,leader_trend_4_unsecured_control_margin,-0.143848,0.077937,0,lower_in_reversal,higher_in_reversal
12,leader_trend_4_usable_support_edges,-0.301623,0.020709,0,lower_in_reversal,higher_in_reversal
12,leader_unsecured_controlled_supply,0.348573,0.377991,1,higher_in_reversal,higher_in_reversal
12,leader_unsecured_controlled_supply_margin,0.363735,0.057616,1,higher_in_reversal,higher_in_reversal
12,leader_usable_supply_support_edge_margin,0.032903,-0.295939,0,higher_in_reversal,lower_in_reversal
12,leader_usable_supply_support_edges,-0.411241,-0.030575,1,lower_in_reversal,lower_in_reversal
12,live_objectives,-0.514772,-0.197761,1,lower_in_reversal,lower_in_reversal
12,opponent_advantage_objectives,-0.320253,-0.121546,1,lower_in_reversal,lower_in_reversal
12,opponent_cumulative_objective_placements,0.30109,0.189191,1,higher_in_reversal,higher_in_reversal
12,opponent_cumulative_objective_share,0.30109,0.189191,1,higher_in_reversal,higher_in_reversal
12,opponent_cumulative_supply_placements,-0.30109,-0.189191,1,lower_in_reversal,lower_in_reversal
12,opponent_cumulative_supply_source_usage,0.30109,0.189191,1,higher_in_reversal,higher_in_reversal
12,opponent_objective_pieces,0.30109,0.189191,1,higher_in_reversal,higher_in_reversal
12,opponent_primary_important_sites_controlled,-0.002926,0.177025,0,lower_in_reversal,higher_in_reversal
12,opponent_recent_2_important_site_usage,0.196757,0.085722,1,higher_in_reversal,higher_in_reversal
12,opponent_recent_2_objective_placements,0.256719,-0.031369,0,higher_in_reversal,lower_in_reversal
12,opponent_recent_2_supply_placements,-0.256719,0.031369,0,lower_in_reversal,higher_in_reversal
12,opponent_recent_4_important_site_usage,0.227761,0.133939,1,higher_in_reversal,higher_in_reversal
12,opponent_recent_4_objective_placements,0.374422,0.045645,1,higher_in_reversal,higher_in_reversal
12,opponent_recent_4_supply_allocation_change,0.037595,0.108574,1,higher_in_reversal,higher_in_reversal
12,opponent_recent_4_supply_placements,-0.374422,-0.045645,1,lower_in_reversal,lower_in_reversal
12,opponent_secured_objectives,0.51748,0.143004,1,higher_in_reversal,higher_in_reversal
12,opponent_secured_supply,-0.006168,0.002188,0,lower_in_reversal,higher_in_reversal
12,opponent_trend_2_usable_support_edges,-0.29548,-0.252716,1,lower_in_reversal,lower_in_reversal
