experiment_id,checkpoint_turn,feature,reversal_n,lead_preserved_n,reversal_mean,reversal_median,lead_preserved_mean,lead_preserved_median,standardized_mean_difference,effect_direction,absolute_standardized_difference
uct-10000-self-play,12,leader_primary_important_sites_controlled,37,35,1.405405,2.0,1.228571,1.0,0.206988,higher_in_reversal,0.206988
uct-10000-self-play,12,opponent_primary_important_sites_controlled,37,35,1.540541,2.0,1.542857,2.0,-0.002926,lower_in_reversal,0.002926
uct-10000-self-play,12,leader_primary_important_control_margin,37,35,-0.135135,0.0,-0.314286,0.0,0.141715,higher_in_reversal,0.141715
uct-10000-self-play,12,leader_cumulative_supply_source_usage,37,35,7.72973,7.0,7.2,7.0,0.31426,higher_in_reversal,0.31426
uct-10000-self-play,12,opponent_cumulative_supply_source_usage,37,35,7.378378,7.0,6.8,7.0,0.30109,higher_in_reversal,0.30109
uct-10000-self-play,12,leader_cumulative_supply_source_usage_margin,37,35,0.351351,0.0,0.4,1.0,-0.065316,lower_in_reversal,0.065316
uct-10000-self-play,12,leader_cumulative_objective_share,37,35,0.429429,0.388889,0.4,0.388889,0.31426,higher_in_reversal,0.31426
uct-10000-self-play,12,opponent_cumulative_objective_share,37,35,0.40991,0.388889,0.377778,0.388889,0.30109,higher_in_reversal,0.30109
uct-10000-self-play,12,leader_cumulative_objective_share_margin,37,35,0.01952,0.0,0.022222,0.055556,-0.065316,lower_in_reversal,0.065316
uct-10000-self-play,12,leader_cumulative_supply_placements,37,35,10.27027,11.0,10.8,11.0,-0.31426,lower_in_reversal,0.31426
uct-10000-self-play,12,opponent_cumulative_supply_placements,37,35,10.621622,11.0,11.2,11.0,-0.30109,lower_in_reversal,0.30109
uct-10000-self-play,12,leader_cumulative_objective_placements,37,35,7.72973,7.0,7.2,7.0,0.31426,higher_in_reversal,0.31426
uct-10000-self-play,12,opponent_cumulative_objective_placements,37,35,7.378378,7.0,6.8,7.0,0.30109,higher_in_reversal,0.30109
uct-10000-self-play,12,leader_recent_2_supply_placements,37,35,0.864865,1.0,1.142857,1.0,-0.384398,lower_in_reversal,0.384398
uct-10000-self-play,12,opponent_recent_2_supply_placements,37,35,1.027027,1.0,1.228571,1.0,-0.256719,lower_in_reversal,0.256719
uct-10000-self-play,12,leader_recent_2_objective_placements,37,35,2.135135,2.0,1.857143,2.0,0.384398,higher_in_reversal,0.384398
uct-10000-self-play,12,opponent_recent_2_objective_placements,37,35,1.972973,2.0,1.771429,2.0,0.256719,higher_in_reversal,0.256719
uct-10000-self-play,12,leader_recent_2_supply_source_usage_margin,37,35,0.162162,0.0,0.085714,0.0,0.113477,higher_in_reversal,0.113477
uct-10000-self-play,12,leader_recent_2_important_site_usage,37,35,1.297297,1.0,0.971429,1.0,0.382898,higher_in_reversal,0.382898
uct-10000-self-play,12,opponent_recent_2_important_site_usage,37,35,1.189189,1.0,1.028571,1.0,0.196757,higher_in_reversal,0.196757
uct-10000-self-play,12,leader_recent_2_important_site_usage_margin,37,35,0.108108,0.0,-0.057143,0.0,0.137265,higher_in_reversal,0.137265
uct-10000-self-play,12,leader_recent_2_objective_share_margin,37,35,0.054054,0.0,0.028571,0.0,0.113477,higher_in_reversal,0.113477
uct-10000-self-play,12,leader_recent_2_all_supply_turn_margin,37,35,0.0,0.0,0.0,0.0,0.0,no_difference,0.0
uct-10000-self-play,12,leader_recent_2_mixed_turn_margin,37,35,-0.054054,0.0,0.028571,0.0,-0.17931,lower_in_reversal,0.17931
uct-10000-self-play,12,leader_recent_2_all_objective_turn_margin,37,35,0.054054,0.0,-0.028571,0.0,0.192746,higher_in_reversal,0.192746
