experiment_id,iteration_limit,game_index,player,player_result_status,supply_point,spatial_category,first_piece_placement_turn,first_control_turn,first_unsecured_control_turn,first_securing_turn,unsecured_controlled_turns,secured_turns,controlled_or_secured_turns,unsecured_controlled_turn_share,secured_turn_share,controlled_or_secured_turn_share,neutral_turns,contested_turns,own_pieces_placed,opponent_pieces_placed,supply_usage_turns,objective_placements_supplied,objective_sites_supplied,objective_sites_supplied_count,adjacent_objective_count,objective_coverage,usage_after_first_control,usage_after_securing,adjacent_live_objectives_at_first_control,adjacent_live_objectives_at_securing,legal_securable_opportunities,ever_securable,securing_opportunities_taken,final_state,final_own_pieces,final_opponent_pieces,final_is_unsecured_controlled,final_is_secured,final_is_controlled_or_secured
uct-10000-self-play,10000,25,1,winner,S11,interior,1,1,1,,24,0,24,1.0,0.0,1.0,0,0,1,0,7,7,O00;O01;O10;O11,4,4,1.0,7,0,4,,11,true,0,1,1,0,true,false,true
uct-10000-self-play,10000,25,2,loser,S11,interior,,,,,0,0,0,0.0,0.0,0.0,0,0,0,1,0,0,,0,4,0.0,0,0,,,0,false,0,1,0,1,false,false,false
uct-10000-self-play,10000,25,1,winner,S12,interior,7,,,,0,0,0,0.0,0.0,0.0,23,18,1,1,0,0,,0,4,0.0,0,0,,,8,true,0,0,1,1,false,false,false
uct-10000-self-play,10000,25,2,loser,S12,interior,6,6,6,,1,0,1,0.041667,0.0,0.041667,23,18,1,1,0,0,,0,4,0.0,0,0,3,,9,true,0,0,1,1,false,false,false
uct-10000-self-play,10000,25,1,winner,S13,interior,5,,,,0,0,0,0.0,0.0,0.0,3,20,2,3,0,0,,0,4,0.0,0,0,,,1,true,0,4,2,3,false,false,false
uct-10000-self-play,10000,25,2,loser,S13,interior,2,2,2,8,4,17,21,0.166667,0.708333,0.875,3,20,3,2,6,6,O02;O12;O13,3,4,0.75,6,5,4,3,3,true,1,4,3,2,false,true,true
uct-10000-self-play,10000,25,1,winner,S14,edge,,,,,0,0,0,0.0,0.0,0.0,24,0,0,0,0,0,,0,2,0.0,0,0,,,0,false,0,0,0,0,false,false,false
uct-10000-self-play,10000,25,2,loser,S14,edge,,,,,0,0,0,0.0,0.0,0.0,24,0,0,0,0,0,,0,2,0.0,0,0,,,0,false,0,0,0,0,false,false,false
uct-10000-self-play,10000,25,1,winner,S20,edge,,,,,0,0,0,0.0,0.0,0.0,24,0,0,0,0,0,,0,2,0.0,0,0,,,0,false,0,0,0,0,false,false,false
uct-10000-self-play,10000,25,2,loser,S20,edge,,,,,0,0,0,0.0,0.0,0.0,24,0,0,0,0,0,,0,2,0.0,0,0,,,0,false,0,0,0,0,false,false,false
uct-10000-self-play,10000,25,1,winner,S21,interior,1,1,1,,2,0,2,0.083333,0.0,0.083333,22,23,2,2,0,0,,0,4,0.0,0,0,4,,11,true,0,0,2,2,false,false,false
uct-10000-self-play,10000,25,2,loser,S21,interior,2,,,,0,0,0,0.0,0.0,0.0,22,23,2,2,0,0,,0,4,0.0,0,0,,,11,true,0,0,2,2,false,false,false
uct-10000-self-play,10000,25,1,winner,S22,interior,1,1,1,,24,0,24,1.0,0.0,1.0,0,0,1,0,6,6,O11;O21;O22,3,4,0.75,6,0,4,,11,true,0,1,1,0,true,false,true
uct-10000-self-play,10000,25,2,loser,S22,interior,,,,,0,0,0,0.0,0.0,0.0,0,0,0,1,0,0,,0,4,0.0,0,0,,,0,false,0,1,0,1,false,false,false
uct-10000-self-play,10000,25,1,winner,S23,interior,5,,,,0,0,0,0.0,0.0,0.0,2,20,1,2,0,0,,0,4,0.0,0,0,,,9,true,0,2,1,2,false,false,false
uct-10000-self-play,10000,25,2,loser,S23,interior,2,2,2,,22,0,22,0.916667,0.0,0.916667,2,20,2,1,7,7,O12;O13;O22;O23,4,4,1.0,7,0,4,,11,true,0,2,2,1,true,false,true
uct-10000-self-play,10000,25,1,winner,S24,edge,,,,,0,0,0,0.0,0.0,0.0,24,0,0,0,0,0,,0,2,0.0,0,0,,,0,false,0,0,0,0,false,false,false
uct-10000-self-play,10000,25,2,loser,S24,edge,,,,,0,0,0,0.0,0.0,0.0,24,0,0,0,0,0,,0,2,0.0,0,0,,,0,false,0,0,0,0,false,false,false
uct-10000-self-play,10000,25,1,winner,S30,edge,,,,,0,0,0,0.0,0.0,0.0,24,0,0,0,0,0,,0,2,0.0,0,0,,,0,false,0,0,0,0,false,false,false
uct-10000-self-play,10000,25,2,loser,S30,edge,,,,,0,0,0,0.0,0.0,0.0,24,0,0,0,0,0,,0,2,0.0,0,0,,,0,false,0,0,0,0,false,false,false
uct-10000-self-play,10000,25,1,winner,S31,interior,15,15,15,,9,0,9,0.375,0.0,0.375,15,1,1,1,2,2,O20;O21,2,4,0.5,2,0,4,,4,true,0,0,1,1,false,false,false
uct-10000-self-play,10000,25,2,loser,S31,interior,24,,,,0,0,0,0.0,0.0,0.0,15,1,1,1,0,0,,0,4,0.0,0,0,,,0,false,0,0,1,1,false,false,false
uct-10000-self-play,10000,25,1,winner,S32,interior,13,,,,0,0,0,0.0,0.0,0.0,13,12,2,3,0,0,,0,4,0.0,0,0,,,3,true,0,4,2,3,false,false,false
uct-10000-self-play,10000,25,2,loser,S32,interior,8,8,8,20,6,5,11,0.25,0.208333,0.458333,13,12,3,2,3,3,O22;O31;O32,3,4,0.75,3,1,4,3,6,true,1,4,3,2,false,true,true
uct-10000-self-play,10000,25,1,winner,S33,interior,9,9,9,,16,0,16,0.666667,0.0,0.666667,8,0,1,0,4,4,O23;O33,2,4,0.5,4,0,4,,7,true,0,1,1,0,true,false,true
