"board","search_level","censor_mode","metric","games","value","ci_low","ci_high","primary"
"6x6","seeded-random","0.1","mechanically_closed_rate","100","0.000000","0.000000","0.000000","false"
"6x6","seeded-random","0.1","resolved_or_settled_rate","100","0.447976","0.425555","0.471786","false"
"6x6","seeded-random","0.1","end_censored_rate","100","0.386290","0.359940","0.412242","false"
"6x6","seeded-random","0.1","selectively_abandoned_rate","100","0.165734","0.145417","0.187678","false"
"6x6","seeded-random","0.2","final_band_survival_rate","100","0.983194","0.973333","0.991944","false"
"6x6","seeded-random","0.2","mechanically_closed_rate","100","0.000000","0.000000","0.000000","false"
"6x6","seeded-random","0.2","resolved_or_settled_rate","100","0.447976","0.425039","0.470298","false"
"6x6","seeded-random","0.2","end_censored_rate","100","0.514940","0.488929","0.541825","false"
"6x6","seeded-random","0.2","selectively_abandoned_rate","100","0.037083","0.025694","0.048611","false"
"6x6","uct-0100","turns4","final_band_survival_rate","50","0.979444","0.963889","0.992778","false"
"6x6","uct-0100","turns4","mechanically_closed_rate","50","0.000000","0.000000","0.000000","false"
"6x6","uct-0100","turns4","resolved_or_settled_rate","50","0.562500","0.524444","0.599722","false"
"6x6","uct-0100","turns4","end_censored_rate","50","0.220555","0.185000","0.255000","false"
"6x6","uct-0100","turns4","selectively_abandoned_rate","50","0.216944","0.186111","0.252778","false"
"6x6","uct-0100","0.1","final_band_survival_rate","50","0.979444","0.965556","0.993056","false"
"6x6","uct-0100","0.1","mechanically_closed_rate","50","0.000000","0.000000","0.000000","false"
"6x6","uct-0100","0.1","resolved_or_settled_rate","50","0.562500","0.525833","0.599722","false"
"6x6","uct-0100","0.1","end_censored_rate","50","0.288611","0.254722","0.324722","false"
"6x6","uct-0100","0.1","selectively_abandoned_rate","50","0.148889","0.121111","0.177778","false"
"6x6","uct-0100","0.2","final_band_survival_rate","50","0.979444","0.964722","0.991111","false"
"6x6","uct-0100","0.2","mechanically_closed_rate","50","0.000000","0.000000","0.000000","false"
"6x6","uct-0100","0.2","resolved_or_settled_rate","50","0.562500","0.526111","0.599445","false"
"6x6","uct-0100","0.2","end_censored_rate","50","0.411944","0.372222","0.450000","false"
