"board","experiment_id","search_level","game_index","censor_mode","cohort_regions","final_band_survival_rate","mechanically_closed_rate","resolved_or_settled_rate","end_censored_rate","selectively_abandoned_rate"
"3x3","3x3-seeded-random","seeded-random","44","0.2","8","0.875000","0.000000","0.625000","0.250000","0.125000"
"3x3","3x3-seeded-random","seeded-random","45","turns4","6","0.666667","0.000000","0.666667","0.333333","0.000000"
"3x3","3x3-seeded-random","seeded-random","45","0.1","6","0.666667","0.000000","0.666667","0.333333","0.000000"
"3x3","3x3-seeded-random","seeded-random","45","0.2","6","0.666667","0.000000","0.666667","0.333333","0.000000"
"3x3","3x3-seeded-random","seeded-random","46","turns4","6","1.000000","0.000000","0.666667","0.166667","0.166667"
"3x3","3x3-seeded-random","seeded-random","46","0.1","6","1.000000","0.000000","0.666667","0.166667","0.166667"
"3x3","3x3-seeded-random","seeded-random","46","0.2","6","1.000000","0.000000","0.666667","0.166667","0.166667"
"3x3","3x3-seeded-random","seeded-random","47","turns4","6","0.833333","0.000000","0.833333","0.000000","0.166667"
"3x3","3x3-seeded-random","seeded-random","47","0.1","6","0.833333","0.000000","0.833333","0.000000","0.166667"
"3x3","3x3-seeded-random","seeded-random","47","0.2","6","0.833333","0.000000","0.833333","0.000000","0.166667"
"3x3","3x3-seeded-random","seeded-random","48","turns4","5","0.800000","0.000000","0.800000","0.200000","0.000000"
"3x3","3x3-seeded-random","seeded-random","48","0.1","5","0.800000","0.000000","0.800000","0.000000","0.200000"
"3x3","3x3-seeded-random","seeded-random","48","0.2","5","0.800000","0.000000","0.800000","0.200000","0.000000"
"3x3","3x3-seeded-random","seeded-random","49","turns4","7","1.000000","0.000000","0.428571","0.571429","0.000000"
"3x3","3x3-seeded-random","seeded-random","49","0.1","7","1.000000","0.000000","0.428571","0.285714","0.285714"
"3x3","3x3-seeded-random","seeded-random","49","0.2","7","1.000000","0.000000","0.428571","0.571429","0.000000"
"3x3","3x3-seeded-random","seeded-random","50","turns4","7","0.857143","0.000000","0.571429","0.142857","0.285714"
"3x3","3x3-seeded-random","seeded-random","50","0.1","7","0.857143","0.000000","0.571429","0.142857","0.285714"
"3x3","3x3-seeded-random","seeded-random","50","0.2","7","0.857143","0.000000","0.571429","0.142857","0.285714"
"3x3","3x3-seeded-random","seeded-random","51","turns4","7","0.714286","0.142857","0.285714","0.285714","0.285714"
"3x3","3x3-seeded-random","seeded-random","51","0.1","7","0.714286","0.142857","0.285714","0.142857","0.428571"
"3x3","3x3-seeded-random","seeded-random","51","0.2","7","0.714286","0.142857","0.285714","0.285714","0.285714"
"3x3","3x3-seeded-random","seeded-random","52","turns4","6","0.666667","0.000000","0.333333","0.333333","0.333333"
"3x3","3x3-seeded-random","seeded-random","52","0.1","6","0.666667","0.000000","0.333333","0.000000","0.666667"
"3x3","3x3-seeded-random","seeded-random","52","0.2","6","0.666667","0.000000","0.333333","0.333333","0.333333"
"3x3","3x3-seeded-random","seeded-random","53","turns4","8","1.000000","0.000000","0.500000","0.375000","0.125000"
"3x3","3x3-seeded-random","seeded-random","53","0.1","8","1.000000","0.000000","0.500000","0.125000","0.375000"
"3x3","3x3-seeded-random","seeded-random","53","0.2","8","1.000000","0.000000","0.500000","0.375000","0.125000"
"3x3","3x3-seeded-random","seeded-random","54","turns4","5","0.800000","0.000000","0.600000","0.200000","0.200000"
"3x3","3x3-seeded-random","seeded-random","54","0.1","5","0.800000","0.000000","0.600000","0.000000","0.400000"
"3x3","3x3-seeded-random","seeded-random","54","0.2","5","0.800000","0.000000","0.600000","0.200000","0.200000"
"3x3","3x3-seeded-random","seeded-random","55","turns4","7","0.857143","0.000000","0.571429","0.285714","0.142857"
"3x3","3x3-seeded-random","seeded-random","55","0.1","7","0.857143","0.000000","0.571429","0.142857","0.285714"
"3x3","3x3-seeded-random","seeded-random","55","0.2","7","0.857143","0.000000","0.571429","0.285714","0.142857"
"3x3","3x3-seeded-random","seeded-random","56","turns4","7","0.857143","0.000000","0.428571","0.428571","0.142857"
"3x3","3x3-seeded-random","seeded-random","56","0.1","7","0.857143","0.000000","0.428571","0.000000","0.571429"
"3x3","3x3-seeded-random","seeded-random","56","0.2","7","0.857143","0.000000","0.428571","0.428571","0.142857"
"3x3","3x3-seeded-random","seeded-random","57","turns4","7","0.857143","0.000000","0.571429","0.285714","0.142857"
"3x3","3x3-seeded-random","seeded-random","57","0.1","7","0.857143","0.000000","0.571429","0.142857","0.285714"
"3x3","3x3-seeded-random","seeded-random","57","0.2","7","0.857143","0.000000","0.571429","0.285714","0.142857"
"3x3","3x3-seeded-random","seeded-random","58","turns4","5","0.600000","0.000000","0.400000","0.200000","0.400000"
"3x3","3x3-seeded-random","seeded-random","58","0.1","5","0.600000","0.000000","0.400000","0.200000","0.400000"
"3x3","3x3-seeded-random","seeded-random","58","0.2","5","0.600000","0.000000","0.400000","0.200000","0.400000"
"3x3","3x3-seeded-random","seeded-random","59","turns4","6","0.833333","0.166667","0.166667","0.333333","0.333333"
"3x3","3x3-seeded-random","seeded-random","59","0.1","6","0.833333","0.166667","0.166667","0.166667","0.500000"
"3x3","3x3-seeded-random","seeded-random","59","0.2","6","0.833333","0.166667","0.166667","0.333333","0.333333"
