"board","experiment_id","search_level","game_index","band","mean_active_fronts","mean_dormant_fronts","mean_backlog","multi_active_turn_rate","multi_unattended_turn_rate","decline_from_game_peak","placement_entropy","opportunity_entropy","entropy_gap","placement_hhi","opportunity_hhi","hhi_gap","placement_largest_share","opportunity_largest_share","largest_share_gap","placement_top_two_share","opportunity_top_two_share","top_two_share_gap","placement_regions","opportunity_regions"
"3x3","3x3-seeded-random","seeded-random","12","3","4.750000","1.500000","2.750000","1.000000","1.000000","2.250000","0.743042","0.963564","-0.220521","0.222222","0.130073","0.092149","0.333333","0.215054","0.118280","0.583333","0.344086","0.239247","6","9"
"3x3","3x3-seeded-random","seeded-random","12","4","5.600000","1.400000","2.800000","1.000000","1.000000","1.400000","0.906301","0.962635","-0.056335","0.146667","0.130104","0.016562","0.200000","0.213675","-0.013675","0.400000","0.341880","0.058120","8","9"
"3x3","3x3-seeded-random","seeded-random","13","1","0.750000","0.000000","0.250000","0.250000","0.000000","5.250000","0.900775","0.949220","-0.048445","0.152778","0.137549","0.015229","0.250000","0.232877","0.017123","0.416667","0.369863","0.046804","8","9"
"3x3","3x3-seeded-random","seeded-random","13","2","3.800000","0.600000","1.400000","1.000000","0.200000","2.200000","0.764239","0.965408","-0.201169","0.200000","0.129767","0.070233","0.266667","0.221239","0.045428","0.466667","0.353982","0.112684","6","9"
"3x3","3x3-seeded-random","seeded-random","13","3","4.000000","2.000000","3.000000","1.000000","1.000000","2.000000","0.848197","0.964891","-0.116694","0.166667","0.130665","0.036002","0.250000","0.229885","0.020115","0.416667","0.344828","0.071839","7","9"
"3x3","3x3-seeded-random","seeded-random","13","4","5.200000","1.400000","2.800000","1.000000","1.000000","0.800000","0.848363","0.948604","-0.100242","0.164444","0.140625","0.023819","0.200000","0.260417","-0.060417","0.400000","0.385417","0.014583","7","9"
"3x3","3x3-seeded-random","seeded-random","14","1","1.500000","0.000000","0.500000","0.750000","0.250000","5.500000","0.828352","0.962513","-0.134161","0.180556","0.131173","0.049383","0.250000","0.222222","0.027778","0.500000","0.347222","0.152778","7","9"
"3x3","3x3-seeded-random","seeded-random","14","2","3.800000","1.400000","2.400000","1.000000","0.800000","3.200000","0.964239","0.970342","-0.006103","0.128889","0.126193","0.002696","0.200000","0.201754","-0.001754","0.333333","0.333333","0.000000","9","9"
"3x3","3x3-seeded-random","seeded-random","14","3","6.250000","2.000000","3.750000","1.000000","1.000000","0.750000","0.720572","0.971272","-0.250700","0.250000","0.125448","0.124552","0.416667","0.193548","0.223118","0.583333","0.322581","0.260753","6","9"
"3x3","3x3-seeded-random","seeded-random","14","4","6.000000","2.200000","3.800000","1.000000","1.000000","1.000000","0.822177","0.962795","-0.140618","0.182222","0.130673","0.051549","0.266667","0.217822","0.048845","0.466667","0.366337","0.100330","7","9"
"3x3","3x3-seeded-random","seeded-random","15","1","0.750000","0.000000","0.250000","0.000000","0.000000","4.250000","0.815465","0.962405","-0.146940","0.194444","0.131837","0.062608","0.333333","0.228571","0.104762","0.500000","0.357143","0.142857","7","9"
"3x3","3x3-seeded-random","seeded-random","15","2","3.000000","1.000000","1.800000","1.000000","0.600000","2.000000","0.906301","0.968319","-0.062018","0.146667","0.127774","0.018893","0.200000","0.211538","-0.011538","0.400000","0.336538","0.063462","8","9"
"3x3","3x3-seeded-random","seeded-random","15","3","4.750000","1.250000","2.750000","1.000000","1.000000","0.250000","0.900775","0.951177","-0.050403","0.152778","0.136036","0.016742","0.250000","0.227848","0.022152","0.416667","0.379747","0.036920","8","9"
"3x3","3x3-seeded-random","seeded-random","15","4","4.600000","0.800000","2.200000","1.000000","0.800000","0.400000","0.746263","0.914583","-0.168320","0.217778","0.145558","0.072220","0.333333","0.250000","0.083333","0.533333","0.391304","0.142029","6","8"
"3x3","3x3-seeded-random","seeded-random","16","1","0.500000","0.000000","0.000000","0.250000","0.000000","5.500000","0.900775","0.963616","-0.062841","0.152778","0.130886","0.021891","0.250000","0.223684","0.026316","0.416667","0.355263","0.061404","8","9"
"3x3","3x3-seeded-random","seeded-random","16","2","4.600000","1.000000","2.600000","1.000000","1.000000","1.400000","0.890425","0.974083","-0.083658","0.155556","0.125721","0.029834","0.200000","0.213675","-0.013675","0.400000","0.341880","0.058120","8","9"
"3x3","3x3-seeded-random","seeded-random","16","3","5.000000","1.750000","3.250000","1.000000","1.000000","1.000000","0.795620","0.967771","-0.172151","0.180556","0.129136","0.051420","0.250000","0.222222","0.027778","0.416667","0.355556","0.061111","6","9"
"3x3","3x3-seeded-random","seeded-random","16","4","4.800000","1.200000","2.400000","1.000000","0.800000","1.200000","0.746263","0.952423","-0.206160","0.217778","0.137639","0.080138","0.333333","0.245098","0.088235","0.533333","0.392157","0.141176","6","9"
"3x3","3x3-seeded-random","seeded-random","17","1","1.250000","0.000000","0.000000","0.500000","0.000000","4.750000","0.375000","0.944932","-0.569932","0.513889","0.140408","0.373481","0.666667","0.242857","0.423810","0.916667","0.385714","0.530952","3","9"
"3x3","3x3-seeded-random","seeded-random","17","2","2.400000","0.400000","1.200000","1.000000","0.200000","3.600000","0.922177","0.962654","-0.040477","0.137778","0.130316","0.007462","0.200000","0.212963","-0.012963","0.333333","0.351852","-0.018519","8","9"
"3x3","3x3-seeded-random","seeded-random","17","3","5.250000","1.500000","3.250000","1.000000","1.000000","0.750000","0.773149","0.956226","-0.183076","0.236111","0.133982","0.102129","0.416667","0.228916","0.187751","0.583333","0.361446","0.221888","7","9"
"3x3","3x3-seeded-random","seeded-random","17","4","5.200000","1.800000","3.200000","1.000000","1.000000","0.800000","0.838053","0.977760","-0.139707","0.173333","0.122296","0.051037","0.266667","0.183486","0.083180","0.466667","0.321101","0.145566","7","9"
"3x3","3x3-seeded-random","seeded-random","18","1","1.750000","0.000000","0.500000","0.500000","0.000000","5.250000","0.775775","0.968026","-0.192252","0.194444","0.128858","0.065586","0.250000","0.222222","0.027778","0.500000","0.347222","0.152778","6","9"
"3x3","3x3-seeded-random","seeded-random","18","2","5.800000","1.200000","3.200000","1.000000","1.000000","1.200000","0.864239","0.979234","-0.114995","0.155556","0.121995","0.033560","0.200000","0.190476","0.009524","0.400000","0.323810","0.076190","7","9"
"3x3","3x3-seeded-random","seeded-random","18","3","5.750000","1.750000","3.500000","1.000000","1.000000","1.250000","0.868042","0.964167","-0.096125","0.180556","0.129401","0.051155","0.333333","0.209877","0.123457","0.500000","0.358025","0.141975","8","9"
"3x3","3x3-seeded-random","seeded-random","18","4","4.600000","1.000000","2.200000","1.000000","1.000000","2.400000","0.822177","0.958388","-0.136211","0.182222","0.133600","0.048622","0.266667","0.230000","0.036667","0.466667","0.380000","0.086667","7","9"
"3x3","3x3-seeded-random","seeded-random","19","1","1.750000","0.250000","0.750000","0.750000","0.250000","4.250000","0.848197","0.964026","-0.115828","0.166667","0.130418","0.036248","0.250000","0.219178","0.030822","0.416667","0.356164","0.060502","7","9"
"3x3","3x3-seeded-random","seeded-random","19","2","3.800000","1.000000","1.800000","1.000000","0.600000","2.200000","0.853929","0.967089","-0.113161","0.164444","0.127870","0.036575","0.266667","0.205357","0.061310","0.400000","0.339286","0.060714","7","9"
"3x3","3x3-seeded-random","seeded-random","19","3","5.500000","1.250000","3.000000","1.000000","1.000000","0.500000","0.848197","0.968170","-0.119973","0.166667","0.128118","0.038549","0.250000","0.214286","0.035714","0.416667","0.345238","0.071429","7","9"
"3x3","3x3-seeded-random","seeded-random","19","4","5.800000","2.000000","3.600000","1.000000","1.000000","0.200000","0.948363","0.971224","-0.022861","0.137778","0.126418","0.011360","0.200000","0.206522","-0.006522","0.400000","0.347826","0.052174","9","9"
"3x3","3x3-seeded-random","seeded-random","20","1","1.250000","0.000000","0.250000","0.500000","0.000000","4.750000","0.700727","0.953907","-0.253180","0.263889","0.137156","0.126733","0.416667","0.246377","0.170290","0.666667","0.376812","0.289855","6","9"
"3x3","3x3-seeded-random","seeded-random","20","2","4.000000","1.000000","2.200000","1.000000","0.800000","2.000000","0.895991","0.980111","-0.084120","0.155556","0.121488","0.034068","0.266667","0.190909","0.075758","0.400000","0.318182","0.081818","8","9"
"3x3","3x3-seeded-random","seeded-random","20","3","5.250000","2.250000","3.750000","1.000000","1.000000","0.750000","0.848197","0.989564","-0.141366","0.166667","0.116198","0.050468","0.250000","0.150538","0.099462","0.416667","0.279570","0.137097","7","9"
"3x3","3x3-seeded-random","seeded-random","20","4","5.000000","1.400000","2.800000","1.000000","1.000000","1.000000","0.922177","0.985346","-0.063170","0.137778","0.118192","0.019586","0.200000","0.141509","0.058491","0.333333","0.283019","0.050314","8","9"
"3x3","3x3-seeded-random","seeded-random","21","1","0.750000","0.000000","0.000000","0.250000","0.000000","5.250000","0.828352","0.963995","-0.135643","0.180556","0.131544","0.049011","0.250000","0.232877","0.017123","0.500000","0.356164","0.143836","7","9"
"3x3","3x3-seeded-random","seeded-random","21","2","3.600000","0.600000","1.800000","1.000000","0.600000","2.400000","0.906301","0.972162","-0.065861","0.146667","0.127105","0.019562","0.200000","0.221239","-0.021239","0.400000","0.353982","0.046018","8","9"
"3x3","3x3-seeded-random","seeded-random","21","3","5.000000","1.500000","3.250000","1.000000","1.000000","1.000000","0.720572","0.966925","-0.246353","0.250000","0.129535","0.120465","0.416667","0.226190","0.190476","0.583333","0.345238","0.238095","6","9"
"3x3","3x3-seeded-random","seeded-random","21","4","5.000000","1.600000","3.000000","1.000000","1.000000","1.000000","0.880115","0.938538","-0.058423","0.164444","0.129307","0.035137","0.266667","0.157895","0.108772","0.466667","0.305263","0.161404","8","8"
"3x3","3x3-seeded-random","seeded-random","22","1","1.750000","0.250000","0.500000","0.500000","0.000000","3.250000","0.848197","0.965210","-0.117013","0.166667","0.130331","0.036335","0.250000","0.225352","0.024648","0.416667","0.352113","0.064554","7","9"
"3x3","3x3-seeded-random","seeded-random","22","2","4.400000","1.400000","2.800000","1.000000","1.000000","0.600000","0.906301","0.984157","-0.077856","0.146667","0.119260","0.027406","0.200000","0.178571","0.021429","0.400000","0.312500","0.087500","8","9"
"3x3","3x3-seeded-random","seeded-random","22","3","4.000000","1.500000","3.000000","1.000000","1.000000","1.000000","0.815465","0.974777","-0.159313","0.194444","0.124742","0.069703","0.333333","0.204545","0.128788","0.500000","0.340909","0.159091","7","9"
"3x3","3x3-seeded-random","seeded-random","22","4","4.600000","1.200000","2.400000","1.000000","0.800000","0.400000","0.880115","0.961158","-0.081043","0.164444","0.131681","0.032764","0.266667","0.223301","0.043366","0.466667","0.368932","0.097735","8","9"
"3x3","3x3-seeded-random","seeded-random","23","1","1.750000","0.250000","0.500000","0.750000","0.000000","4.250000","0.648149","0.956771","-0.308622","0.277778","0.136048","0.141730","0.416667","0.246575","0.170091","0.666667","0.369863","0.296804","5","9"
"3x3","3x3-seeded-random","seeded-random","23","2","2.800000","0.400000","1.200000","1.000000","0.400000","3.200000","0.880115","0.967768","-0.087654","0.164444","0.128883","0.035561","0.266667","0.221154","0.045513","0.466667","0.355769","0.110897","8","9"
"3x3","3x3-seeded-random","seeded-random","23","3","4.000000","0.500000","1.750000","1.000000","0.750000","2.000000","0.648149","0.973071","-0.324922","0.277778","0.124401","0.153377","0.416667","0.192771","0.223896","0.666667","0.337349","0.329317","5","9"
"3x3","3x3-seeded-random","seeded-random","23","4","5.200000","2.000000","3.400000","1.000000","1.000000","0.800000","0.890425","0.971301","-0.080877","0.155556","0.124400","0.031156","0.200000","0.170000","0.030000","0.400000","0.320000","0.080000","8","9"
"3x3","3x3-seeded-random","seeded-random","24","1","0.250000","0.000000","0.000000","0.000000","0.000000","6.750000","0.920620","0.962415","-0.041795","0.138889","0.131522","0.007367","0.166667","0.225352","-0.058685","0.333333","0.352113","-0.018779","8","9"
"3x3","3x3-seeded-random","seeded-random","24","2","3.800000","0.800000","2.000000","0.800000","0.600000","3.200000","0.948363","0.974579","-0.026216","0.137778","0.125000","0.012778","0.200000","0.208333","-0.008333","0.400000","0.333333","0.066667","9","9"
"3x3","3x3-seeded-random","seeded-random","24","3","6.000000","2.000000","3.250000","1.000000","1.000000","1.000000","0.828352","0.974850","-0.146497","0.180556","0.125000","0.055556","0.250000","0.208333","0.041667","0.500000","0.333333","0.166667","7","9"
