"board","experiment_id","search_level","game_index","late_objective_placements","target_state_changed_rate","local_lead_changed_rate","contributes_to_securing_rate","global_comparison_changed_rate","global_outcome_still_mutable_rate","region_outcome_fixed_before_rate"
"3x3","3x3-uct-0500","uct-0500","25","5","0.600000","0.000000","0.200000","0.400000","1.000000","0.000000"
"3x3","3x3-uct-0500","uct-0500","26","8","0.750000","0.125000","0.625000","0.375000","1.000000","0.000000"
"3x3","3x3-uct-0500","uct-0500","27","8","1.000000","0.250000","0.500000","0.125000","1.000000","0.000000"
"3x3","3x3-uct-0500","uct-0500","28","5","0.800000","0.200000","0.600000","0.000000","1.000000","0.400000"
"3x3","3x3-uct-0500","uct-0500","29","8","0.875000","0.250000","0.500000","0.125000","1.000000","0.125000"
"3x3","3x3-uct-0500","uct-0500","30","4","1.000000","0.250000","0.500000","0.000000","1.000000","0.000000"
"3x3","3x3-uct-0500","uct-0500","31","10","0.900000","0.700000","0.300000","0.200000","1.000000","0.000000"
"3x3","3x3-uct-0500","uct-0500","32","8","0.875000","0.500000","0.375000","0.000000","1.000000","0.000000"
"3x3","3x3-uct-0500","uct-0500","33","10","0.900000","0.200000","0.600000","0.000000","1.000000","0.000000"
"3x3","3x3-uct-0500","uct-0500","34","4","0.750000","0.500000","0.250000","0.000000","0.250000","0.000000"
"3x3","3x3-uct-0500","uct-0500","35","8","0.875000","0.500000","0.250000","0.000000","1.000000","0.250000"
"3x3","3x3-uct-0500","uct-0500","36","7","0.857143","0.428571","0.285714","0.000000","1.000000","0.000000"
"3x3","3x3-uct-0500","uct-0500","37","3","0.333333","0.000000","0.333333","0.000000","1.000000","0.000000"
"3x3","3x3-uct-0500","uct-0500","38","11","1.000000","0.272727","0.545455","0.181818","0.909091","0.000000"
"3x3","3x3-uct-0500","uct-0500","39","4","0.500000","0.250000","0.250000","0.000000","1.000000","0.000000"
"3x3","3x3-uct-0500","uct-0500","40","7","1.000000","0.571429","0.142857","0.000000","1.000000","0.000000"
"3x3","3x3-uct-0500","uct-0500","41","10","0.800000","0.200000","0.600000","0.300000","1.000000","0.000000"
"3x3","3x3-uct-0500","uct-0500","42","8","0.875000","0.375000","0.500000","0.000000","1.000000","0.125000"
