"board","search_level","band","metric","games","value","ci_low","ci_high","primary"
"3x3","uct-0100","4","multi_unattended_turn_rate","100","0.830000","0.784000","0.874000","false"
"3x3","uct-0100","4","decline_from_game_peak","100","1.224000","1.094000","1.360000","false"
"3x3","uct-0100","4","placement_entropy","100","0.825666","0.811673","0.838685","false"
"3x3","uct-0100","4","opportunity_entropy","100","0.951813","0.947536","0.955909","false"
"3x3","uct-0100","4","entropy_gap","100","-0.126147","-0.140396","-0.112637","false"
"3x3","uct-0100","4","placement_hhi","100","0.184267","0.177422","0.190933","false"
"3x3","uct-0100","4","opportunity_hhi","100","0.134966","0.133141","0.136790","false"
"3x3","uct-0100","4","hhi_gap","100","0.049301","0.042509","0.056698","false"
"3x3","uct-0100","4","placement_largest_share","100","0.272667","0.260000","0.286000","false"
"3x3","uct-0100","4","opportunity_largest_share","100","0.220943","0.214005","0.227209","false"
"3x3","uct-0100","4","largest_share_gap","100","0.051724","0.038003","0.067099","false"
"3x3","uct-0100","4","placement_top_two_share","100","0.472667","0.458667","0.488000","false"
"3x3","uct-0100","4","opportunity_top_two_share","100","0.368353","0.361592","0.374609","false"
"3x3","uct-0100","4","top_two_share_gap","100","0.104314","0.088988","0.120301","false"
"3x3","uct-0100","4","placement_regions","100","7.040000","6.870000","7.220000","false"
"3x3","uct-0100","4","opportunity_regions","100","8.880000","8.810000","8.940000","false"
"3x3","uct-0500","1","mean_active_fronts","100","1.345000","1.240000","1.445000","false"
"3x3","uct-0500","1","mean_dormant_fronts","100","0.120000","0.095000","0.147500","false"
"3x3","uct-0500","1","mean_backlog","100","0.415000","0.365000","0.467500","false"
"3x3","uct-0500","1","multi_active_turn_rate","100","0.442500","0.392500","0.495000","false"
"3x3","uct-0500","1","multi_unattended_turn_rate","100","0.072500","0.050000","0.097500","false"
"3x3","uct-0500","1","decline_from_game_peak","100","3.765000","3.560000","3.977500","false"
"3x3","uct-0500","1","placement_entropy","100","0.734067","0.715641","0.751923","false"
"3x3","uct-0500","1","opportunity_entropy","100","0.957984","0.956431","0.959521","false"
"3x3","uct-0500","1","entropy_gap","100","-0.223917","-0.240446","-0.206265","false"
"3x3","uct-0500","1","placement_hhi","100","0.227917","0.217917","0.239028","false"
"3x3","uct-0500","1","opportunity_hhi","100","0.133966","0.133176","0.134825","false"
"3x3","uct-0500","1","hhi_gap","100","0.093951","0.084450","0.104609","false"
"3x3","uct-0500","1","placement_largest_share","100","0.327500","0.312500","0.344167","false"
"3x3","uct-0500","1","opportunity_largest_share","100","0.231887","0.229901","0.233929","false"
"3x3","uct-0500","1","largest_share_gap","100","0.095613","0.080344","0.112942","false"
"3x3","uct-0500","1","placement_top_two_share","100","0.555000","0.535000","0.575000","false"
"3x3","uct-0500","1","opportunity_top_two_share","100","0.362727","0.360216","0.365513","false"
