"board","search_level","turn_number","metric","games","value","ci_low","ci_high","primary"
"3x3","uct-1000","5","backlog","100","1.380000","1.220000","1.540000","true"
"3x3","uct-1000","5","decline_from_game_peak","100","1.960000","1.700000","2.220000","true"
"3x3","uct-1000","6","active_fronts","100","3.080000","2.870000","3.300000","true"
"3x3","uct-1000","6","dormant_fronts","100","0.620000","0.490000","0.760000","true"
"3x3","uct-1000","6","backlog","100","1.420000","1.250000","1.620000","true"
"3x3","uct-1000","6","decline_from_game_peak","100","1.540000","1.290000","1.810000","true"
"3x3","uct-1000","7","active_fronts","100","3.230000","3.010000","3.440000","true"
"3x3","uct-1000","7","dormant_fronts","100","0.720000","0.580000","0.870000","true"
"3x3","uct-1000","7","backlog","100","1.640000","1.470000","1.820000","true"
"3x3","uct-1000","7","decline_from_game_peak","100","1.390000","1.170000","1.620000","true"
"3x3","uct-1000","8","active_fronts","100","3.170000","2.960000","3.380000","true"
"3x3","uct-1000","8","dormant_fronts","100","0.690000","0.540000","0.850000","true"
"3x3","uct-1000","8","backlog","100","1.490000","1.290000","1.680000","true"
"3x3","uct-1000","8","decline_from_game_peak","100","1.450000","1.240000","1.670000","true"
"3x3","uct-1000","9","active_fronts","100","3.110000","2.900000","3.340000","true"
"3x3","uct-1000","9","dormant_fronts","100","0.730000","0.590000","0.880000","true"
"3x3","uct-1000","9","backlog","100","1.650000","1.440000","1.850000","true"
"3x3","uct-1000","9","decline_from_game_peak","100","1.510000","1.310000","1.720000","true"
"3x3","uct-1000","10","active_fronts","100","3.110000","2.910000","3.320000","true"
"3x3","uct-1000","10","dormant_fronts","100","0.790000","0.630000","0.970000","true"
"3x3","uct-1000","10","backlog","100","1.530000","1.340000","1.720000","true"
"3x3","uct-1000","10","decline_from_game_peak","100","1.510000","1.300000","1.720000","true"
"3x3","uct-1000","11","active_fronts","100","3.000000","2.790000","3.220000","true"
"3x3","uct-1000","11","dormant_fronts","100","0.660000","0.530000","0.800000","true"
"3x3","uct-1000","11","backlog","100","1.430000","1.240000","1.610000","true"
"3x3","uct-1000","11","decline_from_game_peak","100","1.620000","1.420000","1.830000","true"
"3x3","uct-1000","12","active_fronts","100","3.090000","2.870000","3.310000","true"
"3x3","uct-1000","12","dormant_fronts","100","0.650000","0.520000","0.790000","true"
"3x3","uct-1000","12","backlog","100","1.550000","1.360000","1.720000","true"
"3x3","uct-1000","12","decline_from_game_peak","100","1.530000","1.330000","1.740000","true"
"3x3","uct-1000","13","active_fronts","100","3.080000","2.840000","3.330000","true"
"3x3","uct-1000","13","dormant_fronts","100","0.740000","0.610000","0.890000","true"
"3x3","uct-1000","13","backlog","100","1.620000","1.430000","1.810000","true"
"3x3","uct-1000","13","decline_from_game_peak","100","1.540000","1.320000","1.770000","true"
"3x3","uct-1000","14","active_fronts","100","3.240000","3.020000","3.470000","true"
"3x3","uct-1000","14","dormant_fronts","100","0.860000","0.710000","1.000000","true"
"3x3","uct-1000","14","backlog","100","1.540000","1.360000","1.730000","true"
"3x3","uct-1000","14","decline_from_game_peak","100","1.380000","1.160000","1.600000","true"
"3x3","uct-1000","15","active_fronts","100","3.190000","2.940000","3.420000","true"
"3x3","uct-1000","15","dormant_fronts","100","0.670000","0.530000","0.820000","true"
"3x3","uct-1000","15","backlog","100","1.450000","1.240000","1.650000","true"
"3x3","uct-1000","15","decline_from_game_peak","100","1.430000","1.220000","1.640000","true"
"3x3","uct-1000","16","active_fronts","100","3.340000","3.120000","3.570000","true"
"3x3","uct-1000","16","dormant_fronts","100","0.760000","0.590000","0.940000","true"
"3x3","uct-1000","16","backlog","100","1.600000","1.380000","1.840000","true"
"3x3","uct-1000","16","decline_from_game_peak","100","1.280000","1.090000","1.480000","true"
"3x3","uct-1000","17","active_fronts","100","3.370000","3.150000","3.590000","true"
"3x3","uct-1000","17","dormant_fronts","100","0.700000","0.550000","0.850000","true"
"3x3","uct-1000","17","backlog","100","1.580000","1.380000","1.780000","true"
"3x3","uct-1000","17","decline_from_game_peak","100","1.250000","1.070000","1.440000","true"
"3x3","uct-1000","18","active_fronts","100","3.780000","3.570000","4.000000","true"
"3x3","uct-1000","18","dormant_fronts","100","0.810000","0.650000","0.970000","true"
"3x3","uct-1000","18","backlog","100","1.780000","1.610000","1.970000","true"
"3x3","uct-1000","18","decline_from_game_peak","100","0.840000","0.660000","1.050000","true"
"4x4","seeded-random","1","active_fronts","100","0.000000","0.000000","0.000000","false"
"4x4","seeded-random","1","dormant_fronts","100","0.000000","0.000000","0.000000","false"
"4x4","seeded-random","1","backlog","100","0.000000","0.000000","0.000000","false"
"4x4","seeded-random","1","decline_from_game_peak","100","7.110000","6.940000","7.270000","false"
"4x4","seeded-random","2","active_fronts","100","0.940000","0.810000","1.070000","false"
"4x4","seeded-random","2","dormant_fronts","100","0.000000","0.000000","0.000000","false"
"4x4","seeded-random","2","backlog","100","0.000000","0.000000","0.000000","false"
"4x4","seeded-random","2","decline_from_game_peak","100","6.170000","5.980000","6.370000","false"
"4x4","seeded-random","3","active_fronts","100","1.440000","1.290000","1.600000","false"
"4x4","seeded-random","3","dormant_fronts","100","0.000000","0.000000","0.000000","false"
"4x4","seeded-random","3","backlog","100","0.550000","0.440000","0.670000","false"
"4x4","seeded-random","3","decline_from_game_peak","100","5.670000","5.460000","5.880000","false"
