"board","experiment_id","game_index","turn_number","progress","mover","allocation_pattern","regions_used","supply_placements","objective_placements","mixed_layers"
"4x4","seeded-random-self-play","48","15","0.625000","1","2+1","2","1","2","true"
"4x4","seeded-random-self-play","48","16","0.666667","2","1+1+1","3","1","2","true"
"4x4","seeded-random-self-play","48","17","0.708333","1","1+1+1","3","0","3","false"
"4x4","seeded-random-self-play","48","18","0.750000","2","1+1+1","3","3","0","false"
"4x4","seeded-random-self-play","48","19","0.791667","1","1+1+1","3","0","3","false"
"4x4","seeded-random-self-play","48","20","0.833333","2","1+1+1","3","1","2","true"
"4x4","seeded-random-self-play","48","21","0.875000","1","1+1+1","3","0","3","false"
"4x4","seeded-random-self-play","48","22","0.916667","2","1+1+1","3","3","0","false"
"4x4","seeded-random-self-play","48","23","0.958333","1","2+1","2","2","1","true"
"4x4","seeded-random-self-play","48","24","1.000000","2","1+1+1","3","1","2","true"
"4x4","seeded-random-self-play","49","1","0.041667","1","1+1+1","3","3","0","false"
"4x4","seeded-random-self-play","49","2","0.083333","2","2+1","2","3","0","false"
"4x4","seeded-random-self-play","49","3","0.125000","1","1+1+1","3","2","1","true"
"4x4","seeded-random-self-play","49","4","0.166667","2","1+1+1","3","3","0","false"
"4x4","seeded-random-self-play","49","5","0.208333","1","1+1+1","3","2","1","true"
"4x4","seeded-random-self-play","49","6","0.250000","2","1+1+1","3","2","1","true"
"4x4","seeded-random-self-play","49","7","0.291667","1","1+1+1","3","1","2","true"
"4x4","seeded-random-self-play","49","8","0.333333","2","1+1+1","3","2","1","true"
"4x4","seeded-random-self-play","49","9","0.375000","1","2+1","2","3","0","false"
"4x4","seeded-random-self-play","49","10","0.416667","2","1+1+1","3","2","1","true"
"4x4","seeded-random-self-play","49","11","0.458333","1","1+1+1","3","3","0","false"
"4x4","seeded-random-self-play","49","12","0.500000","2","1+1+1","3","2","1","true"
"4x4","seeded-random-self-play","49","13","0.541667","1","1+1+1","3","2","1","true"
"4x4","seeded-random-self-play","49","14","0.583333","2","1+1+1","3","2","1","true"
"4x4","seeded-random-self-play","49","15","0.625000","1","1+1+1","3","1","2","true"
"4x4","seeded-random-self-play","49","16","0.666667","2","2+1","2","2","1","true"
"4x4","seeded-random-self-play","49","17","0.708333","1","2+1","2","2","1","true"
"4x4","seeded-random-self-play","49","18","0.750000","2","1+1+1","3","2","1","true"
"4x4","seeded-random-self-play","49","19","0.791667","1","1+1+1","3","1","2","true"
"4x4","seeded-random-self-play","49","20","0.833333","2","1+1+1","3","1","2","true"
"4x4","seeded-random-self-play","49","21","0.875000","1","1+1+1","3","3","0","false"
"4x4","seeded-random-self-play","49","22","0.916667","2","1+1+1","3","1","2","true"
"4x4","seeded-random-self-play","49","23","0.958333","1","2+1","2","2","1","true"
"4x4","seeded-random-self-play","49","24","1.000000","2","1+1+1","3","2","1","true"
"4x4","seeded-random-self-play","50","1","0.041667","1","1+1+1","3","3","0","false"
"4x4","seeded-random-self-play","50","2","0.083333","2","3","1","3","0","false"
"4x4","seeded-random-self-play","50","3","0.125000","1","2+1","2","3","0","false"
"4x4","seeded-random-self-play","50","4","0.166667","2","1+1+1","3","3","0","false"
"4x4","seeded-random-self-play","50","5","0.208333","1","1+1+1","3","2","1","true"
"4x4","seeded-random-self-play","50","6","0.250000","2","1+1+1","3","2","1","true"
"4x4","seeded-random-self-play","50","7","0.291667","1","1+1+1","3","2","1","true"
"4x4","seeded-random-self-play","50","8","0.333333","2","2+1","2","0","3","false"
"4x4","seeded-random-self-play","50","9","0.375000","1","2+1","2","2","1","true"
"4x4","seeded-random-self-play","50","10","0.416667","2","2+1","2","3","0","false"
"4x4","seeded-random-self-play","50","11","0.458333","1","2+1","2","2","1","true"
"4x4","seeded-random-self-play","50","12","0.500000","2","1+1+1","3","1","2","true"
"4x4","seeded-random-self-play","50","13","0.541667","1","1+1+1","3","1","2","true"
"4x4","seeded-random-self-play","50","14","0.583333","2","2+1","2","1","2","true"
"4x4","seeded-random-self-play","50","15","0.625000","1","1+1+1","3","1","2","true"
"4x4","seeded-random-self-play","50","16","0.666667","2","1+1+1","3","2","1","true"
"4x4","seeded-random-self-play","50","17","0.708333","1","1+1+1","3","1","2","true"
"4x4","seeded-random-self-play","50","18","0.750000","2","1+1+1","3","0","3","false"
"4x4","seeded-random-self-play","50","19","0.791667","1","2+1","2","2","1","true"
"4x4","seeded-random-self-play","50","20","0.833333","2","2+1","2","3","0","false"
"4x4","seeded-random-self-play","50","21","0.875000","1","1+1+1","3","1","2","true"
"4x4","seeded-random-self-play","50","22","0.916667","2","1+1+1","3","0","3","false"
"4x4","seeded-random-self-play","50","23","0.958333","1","1+1+1","3","3","0","false"
"4x4","seeded-random-self-play","50","24","1.000000","2","1+1+1","3","3","0","false"
"4x4","seeded-random-self-play","51","1","0.041667","1","1+1+1","3","3","0","false"
"4x4","seeded-random-self-play","51","2","0.083333","2","1+1+1","3","3","0","false"
"4x4","seeded-random-self-play","51","3","0.125000","1","1+1+1","3","3","0","false"
"4x4","seeded-random-self-play","51","4","0.166667","2","1+1+1","3","3","0","false"
"4x4","seeded-random-self-play","51","5","0.208333","1","1+1+1","3","2","1","true"
"4x4","seeded-random-self-play","51","6","0.250000","2","2+1","2","2","1","true"
"4x4","seeded-random-self-play","51","7","0.291667","1","2+1","2","2","1","true"
"4x4","seeded-random-self-play","51","8","0.333333","2","1+1+1","3","2","1","true"
"4x4","seeded-random-self-play","51","9","0.375000","1","1+1+1","3","1","2","true"
"4x4","seeded-random-self-play","51","10","0.416667","2","2+1","2","2","1","true"
"4x4","seeded-random-self-play","51","11","0.458333","1","1+1+1","3","2","1","true"
"4x4","seeded-random-self-play","51","12","0.500000","2","1+1+1","3","2","1","true"
"4x4","seeded-random-self-play","51","13","0.541667","1","2+1","2","2","1","true"
"4x4","seeded-random-self-play","51","14","0.583333","2","1+1+1","3","1","2","true"
"4x4","seeded-random-self-play","51","15","0.625000","1","1+1+1","3","2","1","true"
"4x4","seeded-random-self-play","51","16","0.666667","2","1+1+1","3","2","1","true"
"4x4","seeded-random-self-play","51","17","0.708333","1","2+1","2","0","3","false"
"4x4","seeded-random-self-play","51","18","0.750000","2","2+1","2","2","1","true"
"4x4","seeded-random-self-play","51","19","0.791667","1","1+1+1","3","1","2","true"
"4x4","seeded-random-self-play","51","20","0.833333","2","2+1","2","0","3","false"
"4x4","seeded-random-self-play","51","21","0.875000","1","1+1+1","3","2","1","true"
"4x4","seeded-random-self-play","51","22","0.916667","2","1+1+1","3","1","2","true"
"4x4","seeded-random-self-play","51","23","0.958333","1","2+1","2","2","1","true"
"4x4","seeded-random-self-play","51","24","1.000000","2","1+1+1","3","2","1","true"
"4x4","seeded-random-self-play","52","1","0.041667","1","2+1","2","3","0","false"
"4x4","seeded-random-self-play","52","2","0.083333","2","1+1+1","3","3","0","false"
"4x4","seeded-random-self-play","52","3","0.125000","1","1+1+1","3","2","1","true"
"4x4","seeded-random-self-play","52","4","0.166667","2","1+1+1","3","2","1","true"
