"board","experiment_id","game_index","checkpoint","turn_number","cumulative_placements","supply_share","secured_supply","secured_objectives","recent_normalized_entropy","recent_largest_region_share","recent_hhi","recent_region_coverage"
"6x6","6x6-seeded-random","37","0.75","36","108","0.629630","6","1","0.848197","0.250000","0.166667","0.777778"
"6x6","6x6-seeded-random","37","0.9","44","132","0.613636","8","2","0.900775","0.250000","0.152778","0.888889"
"6x6","6x6-seeded-random","38","0.25","12","36","0.722222","0","0","0.700727","0.416667","0.263889","0.666667"
"6x6","6x6-seeded-random","38","0.5","24","72","0.652778","2","1","0.900775","0.250000","0.152778","0.888889"
"6x6","6x6-seeded-random","38","0.75","36","108","0.611111","3","2","0.720572","0.416667","0.250000","0.666667"
"6x6","6x6-seeded-random","38","0.9","44","132","0.583333","7","5","0.900775","0.250000","0.152778","0.888889"
"6x6","6x6-seeded-random","39","0.25","12","36","0.861111","1","0","0.743042","0.333333","0.222222","0.666667"
"6x6","6x6-seeded-random","39","0.5","24","72","0.652778","2","1","0.773149","0.416667","0.236111","0.777778"
"6x6","6x6-seeded-random","39","0.75","36","108","0.620370","2","1","0.868042","0.333333","0.180556","0.888889"
"6x6","6x6-seeded-random","39","0.9","44","132","0.598485","3","4","0.900775","0.250000","0.152778","0.888889"
"6x6","6x6-seeded-random","40","0.25","12","36","0.777778","1","0","0.762887","0.333333","0.208333","0.666667"
"6x6","6x6-seeded-random","40","0.5","24","72","0.638889","3","2","0.848197","0.250000","0.166667","0.777778"
"6x6","6x6-seeded-random","40","0.75","36","108","0.648148","4","3","0.775775","0.250000","0.194444","0.666667"
"6x6","6x6-seeded-random","40","0.9","44","132","0.628788","4","5","0.795620","0.250000","0.180556","0.666667"
"6x6","6x6-seeded-random","41","0.25","12","36","0.722222","1","0","0.880930","0.250000","0.166667","0.888889"
"6x6","6x6-seeded-random","41","0.5","24","72","0.680556","1","0","0.762887","0.333333","0.208333","0.666667"
"6x6","6x6-seeded-random","41","0.75","36","108","0.666667","2","3","0.670620","0.333333","0.250000","0.555556"
"6x6","6x6-seeded-random","41","0.9","44","132","0.651515","4","6","0.848197","0.250000","0.166667","0.777778"
"6x6","6x6-seeded-random","42","0.25","12","36","0.638889","0","0","0.775775","0.250000","0.194444","0.666667"
"6x6","6x6-seeded-random","42","0.5","24","72","0.611111","1","0","0.900775","0.250000","0.152778","0.888889"
"6x6","6x6-seeded-random","42","0.75","36","108","0.583333","5","0","0.920620","0.166667","0.138889","0.888889"
"6x6","6x6-seeded-random","42","0.9","44","132","0.575758","7","4","0.848197","0.250000","0.166667","0.777778"
"6x6","6x6-seeded-random","43","0.25","12","36","0.861111","0","0","0.618042","0.333333","0.263889","0.444444"
"6x6","6x6-seeded-random","43","0.5","24","72","0.791667","2","0","0.775775","0.250000","0.194444","0.666667"
"6x6","6x6-seeded-random","43","0.75","36","108","0.685185","4","0","0.775775","0.250000","0.194444","0.666667"
"6x6","6x6-seeded-random","43","0.9","44","132","0.666667","6","1","0.900775","0.250000","0.152778","0.888889"
"6x6","6x6-seeded-random","44","0.25","12","36","0.777778","0","0","0.795620","0.333333","0.208333","0.777778"
"6x6","6x6-seeded-random","44","0.5","24","72","0.680556","0","0","0.795620","0.250000","0.180556","0.666667"
"6x6","6x6-seeded-random","44","0.75","36","108","0.638889","1","1","0.900775","0.250000","0.152778","0.888889"
"6x6","6x6-seeded-random","44","0.9","44","132","0.613636","3","2","0.815465","0.166667","0.166667","0.666667"
"6x6","6x6-seeded-random","45","0.25","12","36","0.833333","0","0","0.743042","0.333333","0.222222","0.666667"
"6x6","6x6-seeded-random","45","0.5","24","72","0.736111","1","1","0.762887","0.333333","0.208333","0.666667"
"6x6","6x6-seeded-random","45","0.75","36","108","0.620370","3","3","0.848197","0.250000","0.166667","0.777778"
"6x6","6x6-seeded-random","45","0.9","44","132","0.583333","5","3","0.703352","0.250000","0.222222","0.555556"
"6x6","6x6-seeded-random","46","0.25","12","36","0.722222","0","0","0.900775","0.250000","0.152778","0.888889"
"6x6","6x6-seeded-random","46","0.5","24","72","0.652778","0","1","0.848197","0.250000","0.166667","0.777778"
"6x6","6x6-seeded-random","46","0.75","36","108","0.583333","1","2","0.720572","0.416667","0.250000","0.666667"
