"board","experiment_id","game_index","window_first_turn","window_last_turn","window_turns","placements","normalized_entropy","largest_region_share","hhi","region_coverage"
"6x6","6x6-seeded-random","4","44","47","4","12","0.795620","0.250000","0.180556","0.666667"
"6x6","6x6-seeded-random","4","45","48","4","12","0.848197","0.250000","0.166667","0.777778"
"6x6","6x6-seeded-random","5","1","4","4","12","0.795620","0.333333","0.208333","0.777778"
"6x6","6x6-seeded-random","5","2","5","4","12","0.828352","0.250000","0.180556","0.777778"
"6x6","6x6-seeded-random","5","3","6","4","12","0.795620","0.250000","0.180556","0.666667"
"6x6","6x6-seeded-random","5","4","7","4","12","0.815465","0.333333","0.194444","0.777778"
"6x6","6x6-seeded-random","5","5","8","4","12","0.815465","0.333333","0.194444","0.777778"
"6x6","6x6-seeded-random","5","6","9","4","12","0.973197","0.166667","0.125000","1.000000"
"6x6","6x6-seeded-random","5","7","10","4","12","0.953352","0.250000","0.138889","1.000000"
"6x6","6x6-seeded-random","5","8","11","4","12","0.848197","0.250000","0.166667","0.777778"
"6x6","6x6-seeded-random","5","9","12","4","12","0.690465","0.333333","0.236111","0.555556"
"6x6","6x6-seeded-random","5","10","13","4","12","0.762887","0.333333","0.208333","0.666667"
"6x6","6x6-seeded-random","5","11","14","4","12","0.775775","0.250000","0.194444","0.666667"
"6x6","6x6-seeded-random","5","12","15","4","12","0.795620","0.250000","0.180556","0.666667"
"6x6","6x6-seeded-random","5","13","16","4","12","0.920620","0.166667","0.138889","0.888889"
"6x6","6x6-seeded-random","5","14","17","4","12","0.900775","0.250000","0.152778","0.888889"
"6x6","6x6-seeded-random","5","15","18","4","12","0.848197","0.250000","0.166667","0.777778"
"6x6","6x6-seeded-random","5","16","19","4","12","0.848197","0.250000","0.166667","0.777778"
"6x6","6x6-seeded-random","5","17","20","4","12","0.900775","0.250000","0.152778","0.888889"
"6x6","6x6-seeded-random","5","18","21","4","12","0.900775","0.250000","0.152778","0.888889"
"6x6","6x6-seeded-random","5","19","22","4","12","0.848197","0.250000","0.166667","0.777778"
