"board","experiment_id","search_level","game_index","window_first_turn","window_last_turn","normalized_entropy","largest_region_share","hhi","region_coverage"
"7x7","7x7-seeded-random","seeded-random","35","12","15","0.8283522741071693","0.25","0.18055555555555558","0.7777777777777778"
"7x7","7x7-seeded-random","seeded-random","35","13","16","0.7430423562500169","0.3333333333333333","0.22222222222222224","0.6666666666666666"
"7x7","7x7-seeded-random","seeded-random","35","14","17","0.8283522741071693","0.25","0.18055555555555555","0.7777777777777778"
"7x7","7x7-seeded-random","seeded-random","35","15","18","0.8154648767857287","0.3333333333333333","0.19444444444444445","0.7777777777777778"
"7x7","7x7-seeded-random","seeded-random","35","16","19","0.8283522741071693","0.25","0.18055555555555558","0.7777777777777778"
"7x7","7x7-seeded-random","seeded-random","35","17","20","0.7033522741071694","0.25","0.2222222222222222","0.5555555555555556"
"7x7","7x7-seeded-random","seeded-random","35","18","21","0.7757747946428812","0.25","0.19444444444444448","0.6666666666666666"
"7x7","7x7-seeded-random","seeded-random","35","19","22","0.8680423562500167","0.16666666666666666","0.1527777777777778","0.7777777777777778"
"7x7","7x7-seeded-random","seeded-random","35","20","23","0.7628873973214405","0.3333333333333333","0.20833333333333337","0.6666666666666666"
"7x7","7x7-seeded-random","seeded-random","35","21","24","0.7757747946428812","0.25","0.19444444444444448","0.6666666666666666"
"7x7","7x7-seeded-random","seeded-random","35","22","25","0.7628873973214406","0.3333333333333333","0.20833333333333337","0.6666666666666666"
"7x7","7x7-seeded-random","seeded-random","35","23","26","0.8283522741071693","0.25","0.18055555555555558","0.7777777777777778"
"7x7","7x7-seeded-random","seeded-random","35","24","27","0.8283522741071693","0.25","0.18055555555555555","0.7777777777777778"
"7x7","7x7-seeded-random","seeded-random","35","25","28","0.920619835714305","0.16666666666666666","0.1388888888888889","0.8888888888888888"
"7x7","7x7-seeded-random","seeded-random","35","26","29","0.8680423562500167","0.16666666666666666","0.1527777777777778","0.7777777777777778"
"7x7","7x7-seeded-random","seeded-random","35","27","30","0.8680423562500167","0.16666666666666666","0.15277777777777776","0.7777777777777778"
"7x7","7x7-seeded-random","seeded-random","35","28","31","0.7757747946428812","0.25","0.19444444444444445","0.6666666666666666"
"7x7","7x7-seeded-random","seeded-random","35","29","32","0.8154648767857287","0.3333333333333333","0.19444444444444442","0.7777777777777778"
"7x7","7x7-seeded-random","seeded-random","35","30","33","0.9533522741071694","0.25","0.1388888888888889","1"
"7x7","7x7-seeded-random","seeded-random","35","31","34","0.920619835714305","0.16666666666666666","0.1388888888888889","0.8888888888888888"
"7x7","7x7-seeded-random","seeded-random","35","32","35","0.9007747946428811","0.25","0.1527777777777778","0.8888888888888888"
"7x7","7x7-seeded-random","seeded-random","35","33","36","0.7757747946428812","0.25","0.19444444444444445","0.6666666666666666"
"7x7","7x7-seeded-random","seeded-random","35","34","37","0.7956198357143048","0.25","0.18055555555555555","0.6666666666666666"
"7x7","7x7-seeded-random","seeded-random","35","35","38","0.8481973151785931","0.25","0.16666666666666669","0.7777777777777778"
"7x7","7x7-seeded-random","seeded-random","35","36","39","0.9007747946428813","0.25","0.1527777777777778","0.8888888888888888"
"7x7","7x7-seeded-random","seeded-random","35","37","40","0.8481973151785931","0.25","0.16666666666666666","0.7777777777777778"
"7x7","7x7-seeded-random","seeded-random","35","38","41","0.8481973151785929","0.25","0.16666666666666666","0.7777777777777778"
