"board","experiment_id","search_level","game_index","supply_share","objective_share","secured_supply","secured_objectives","secured_supply_events","secured_supply_later_use_rate","mean_regions_used"
"7x7","7x7-uct-0100","uct-0100","23","0.5833333333333334","0.4166666666666667","7","15","7","0.2857142857142857","2.6041666666666665"
"7x7","7x7-uct-0100","uct-0100","24","0.6041666666666666","0.3958333333333333","2","9","2","0.5","2.7083333333333335"
"7x7","7x7-uct-0100","uct-0100","25","0.5972222222222222","0.4027777777777778","3","12","3","0.6666666666666666","2.6875"
"7x7","7x7-uct-0100","uct-0100","26","0.5694444444444444","0.4305555555555556","4","14","4","0","2.75"
"7x7","7x7-uct-0100","uct-0100","27","0.5902777777777778","0.4097222222222222","4","9","4","0.5","2.6458333333333335"
"7x7","7x7-uct-0100","uct-0100","28","0.5625","0.4375","4","15","4","0.5","2.7291666666666665"
"7x7","7x7-uct-0100","uct-0100","29","0.5763888888888888","0.4236111111111111","1","15","1","1","2.7291666666666665"
"7x7","7x7-uct-0100","uct-0100","30","0.6458333333333334","0.3541666666666667","9","9","9","0.2222222222222222","2.5625"
"7x7","7x7-uct-0100","uct-0100","31","0.5833333333333334","0.4166666666666667","2","13","2","0.5","2.6666666666666665"
"7x7","7x7-uct-0100","uct-0100","32","0.6458333333333334","0.3541666666666667","5","7","5","0.6","2.6041666666666665"
"7x7","7x7-uct-0100","uct-0100","33","0.5625","0.4375","6","14","6","0.6666666666666666","2.6666666666666665"
"7x7","7x7-uct-0100","uct-0100","34","0.5694444444444444","0.4305555555555556","2","8","2","0","2.7083333333333335"
"7x7","7x7-uct-0100","uct-0100","35","0.5416666666666666","0.4583333333333333","1","13","1","1","2.75"
"7x7","7x7-uct-0100","uct-0100","36","0.4930555555555556","0.5069444444444444","2","15","2","0.5","2.75"
"7x7","7x7-uct-0100","uct-0100","37","0.5833333333333334","0.4166666666666667","5","9","5","0.4","2.7708333333333335"
"7x7","7x7-uct-0100","uct-0100","38","0.5833333333333334","0.4166666666666667","4","11","4","0.25","2.7708333333333335"
"7x7","7x7-uct-0100","uct-0100","39","0.5833333333333334","0.4166666666666667","2","12","2","0.5","2.7291666666666665"
"7x7","7x7-uct-0100","uct-0100","40","0.5208333333333334","0.4791666666666667","2","10","2","0","2.7083333333333335"
"7x7","7x7-uct-0100","uct-0100","41","0.5416666666666666","0.4583333333333333","5","8","5","0","2.75"
"7x7","7x7-uct-0100","uct-0100","42","0.5486111111111112","0.4513888888888889","3","12","3","0.3333333333333333","2.7291666666666665"
"7x7","7x7-uct-0100","uct-0100","43","0.5763888888888888","0.4236111111111111","1","10","1","1","2.7708333333333335"
"7x7","7x7-uct-0100","uct-0100","44","0.5486111111111112","0.4513888888888889","1","13","1","1","2.7916666666666665"
"7x7","7x7-uct-0100","uct-0100","45","0.5277777777777778","0.4722222222222222","2","12","2","0.5","2.6875"
"7x7","7x7-uct-0100","uct-0100","46","0.5833333333333334","0.4166666666666667","2","12","2","0","2.7083333333333335"
"7x7","7x7-uct-0100","uct-0100","47","0.5277777777777778","0.4722222222222222","2","9","2","0.5","2.7291666666666665"
"7x7","7x7-uct-0100","uct-0100","48","0.5486111111111112","0.4513888888888889","3","13","3","0","2.6666666666666665"
"7x7","7x7-uct-0100","uct-0100","49","0.5138888888888888","0.4861111111111111","3","12","3","0.6666666666666666","2.75"
"7x7","7x7-uct-0100","uct-0100","50","0.5486111111111112","0.4513888888888889","3","13","3","0.3333333333333333","2.7291666666666665"
"7x7","7x7-uct-0500","uct-0500","1","0.4513888888888889","0.5486111111111112","2","22","2","1","2.5416666666666665"
"7x7","7x7-uct-0500","uct-0500","2","0.4722222222222222","0.5277777777777778","2","18","2","0.5","2.5625"
"7x7","7x7-uct-0500","uct-0500","3","0.4375","0.5625","1","21","1","1","2.5208333333333335"
"7x7","7x7-uct-0500","uct-0500","4","0.4861111111111111","0.5138888888888888","1","15","1","0","2.7291666666666665"
"7x7","7x7-uct-0500","uct-0500","5","0.4583333333333333","0.5416666666666666","3","19","3","0.6666666666666666","2.6875"
"7x7","7x7-uct-0500","uct-0500","6","0.5277777777777778","0.4722222222222222","1","17","1","0","2.5833333333333335"
