"board","experiment_id","search_level","game_index","turn_number","progress","active_fronts","backlog_size","dormant_k2","dominant_focus"
"7x7","7x7-uct-1000","uct-1000","10","27","0.5625","5","3","1",""
"7x7","7x7-uct-1000","uct-1000","10","28","0.5833333333333334","5","3","2","ML"
"7x7","7x7-uct-1000","uct-1000","10","29","0.6041666666666666","6","3","1",""
"7x7","7x7-uct-1000","uct-1000","10","30","0.625","6","3","1",""
"7x7","7x7-uct-1000","uct-1000","10","31","0.6458333333333334","7","5","2","MH"
"7x7","7x7-uct-1000","uct-1000","10","32","0.6666666666666666","6","5","3","MM"
"7x7","7x7-uct-1000","uct-1000","10","33","0.6875","7","4","3",""
"7x7","7x7-uct-1000","uct-1000","10","34","0.7083333333333334","6","3","2",""
"7x7","7x7-uct-1000","uct-1000","10","35","0.7291666666666666","5","3","2","LM"
"7x7","7x7-uct-1000","uct-1000","10","36","0.75","5","3","1","MM"
"7x7","7x7-uct-1000","uct-1000","10","37","0.7708333333333334","6","3","1",""
"7x7","7x7-uct-1000","uct-1000","10","38","0.7916666666666666","7","4","2",""
"7x7","7x7-uct-1000","uct-1000","10","39","0.8125","6","3","1",""
"7x7","7x7-uct-1000","uct-1000","10","40","0.8333333333333334","6","4","2","LM"
"7x7","7x7-uct-1000","uct-1000","10","41","0.8541666666666666","6","3","2",""
"7x7","7x7-uct-1000","uct-1000","10","42","0.875","7","4","1",""
"7x7","7x7-uct-1000","uct-1000","10","43","0.8958333333333334","6","3","1",""
"7x7","7x7-uct-1000","uct-1000","10","44","0.9166666666666666","6","4","1","LM"
"7x7","7x7-uct-1000","uct-1000","10","45","0.9375","6","3","1",""
"7x7","7x7-uct-1000","uct-1000","10","46","0.9583333333333334","6","3","1",""
"7x7","7x7-uct-1000","uct-1000","10","47","0.9791666666666666","5","3","1","LL"
"7x7","7x7-uct-1000","uct-1000","10","48","1","7","5","3","HM"
"7x7","7x7-uct-1000","uct-1000","11","1","0.020833333333333332","0","0","0",""
"7x7","7x7-uct-1000","uct-1000","11","2","0.041666666666666664","1","0","0",""
"7x7","7x7-uct-1000","uct-1000","11","3","0.0625","2","1","0","LH"
"7x7","7x7-uct-1000","uct-1000","11","4","0.08333333333333333","2","0","0",""
"7x7","7x7-uct-1000","uct-1000","11","5","0.10416666666666667","3","2","0",""
"7x7","7x7-uct-1000","uct-1000","11","6","0.125","3","0","0",""
"7x7","7x7-uct-1000","uct-1000","11","7","0.14583333333333334","3","2","0","HL"
"7x7","7x7-uct-1000","uct-1000","11","8","0.16666666666666666","3","1","1","LL"
"7x7","7x7-uct-1000","uct-1000","11","9","0.1875","3","2","0",""
"7x7","7x7-uct-1000","uct-1000","11","10","0.20833333333333334","3","1","1",""
"7x7","7x7-uct-1000","uct-1000","11","11","0.22916666666666666","3","2","1",""
"7x7","7x7-uct-1000","uct-1000","11","12","0.25","3","2","1","MM"
"7x7","7x7-uct-1000","uct-1000","11","13","0.2708333333333333","3","2","2",""
"7x7","7x7-uct-1000","uct-1000","11","14","0.2916666666666667","3","1","0","HL"
"7x7","7x7-uct-1000","uct-1000","11","15","0.3125","3","2","0","HH"
"7x7","7x7-uct-1000","uct-1000","11","16","0.3333333333333333","4","2","1",""
"7x7","7x7-uct-1000","uct-1000","11","17","0.3541666666666667","5","2","0",""
"7x7","7x7-uct-1000","uct-1000","11","18","0.375","5","2","1",""
"7x7","7x7-uct-1000","uct-1000","11","19","0.3958333333333333","5","5","2","HH"
"7x7","7x7-uct-1000","uct-1000","11","20","0.4166666666666667","6","3","3",""
"7x7","7x7-uct-1000","uct-1000","11","21","0.4375","5","3","1","LM"
"7x7","7x7-uct-1000","uct-1000","11","22","0.4583333333333333","5","4","2","HL"
"7x7","7x7-uct-1000","uct-1000","11","23","0.4791666666666667","5","2","1",""
"7x7","7x7-uct-1000","uct-1000","11","24","0.5","7","4","1",""
"7x7","7x7-uct-1000","uct-1000","11","25","0.5208333333333334","7","4","2",""
"7x7","7x7-uct-1000","uct-1000","11","26","0.5416666666666666","7","4","3",""
"7x7","7x7-uct-1000","uct-1000","11","27","0.5625","6","3","1",""
"7x7","7x7-uct-1000","uct-1000","11","28","0.5833333333333334","7","4","2",""
"7x7","7x7-uct-1000","uct-1000","11","29","0.6041666666666666","7","5","3",""
"7x7","7x7-uct-1000","uct-1000","11","30","0.625","7","4","2",""
