"source_issue","board","experiment_id","search_level","iteration_limit","game_index","seed","trial_file","trial_sha256"
"73","7x7","7x7-seeded-random","seeded-random","-1","97","730096","experiments/issue-73/results/trials/7x7-seeded-random/7x7-seeded-random-0097.trl","96a6a8ea511cf5830a7a38bd10245890c832319f0c18a98e03dfb9e19b8019e7"
"73","7x7","7x7-seeded-random","seeded-random","-1","98","730097","experiments/issue-73/results/trials/7x7-seeded-random/7x7-seeded-random-0098.trl","6b58823d4bd6d6494805fb0b3953ffa031f9029cd0bd5dadf9f1c140b002f030"
"73","7x7","7x7-seeded-random","seeded-random","-1","99","730098","experiments/issue-73/results/trials/7x7-seeded-random/7x7-seeded-random-0099.trl","8ef8ded13bbb7aa1067de8a66f172fb08ea243589b22ad54de64ce907e09d3fb"
"73","7x7","7x7-seeded-random","seeded-random","-1","100","730099","experiments/issue-73/results/trials/7x7-seeded-random/7x7-seeded-random-0100.trl","77c0934812919ee6a23785c086c83dae139bdf3fe2a39325a606e8a9eca0dae1"
"73","7x7","7x7-uct-0100","uct-0100","100","1","730100","experiments/issue-73/results/trials/7x7-uct-0100/7x7-uct-0100-0001.trl","d589334cc7448cb7c37a569a38fed47286a7ec9b496fb2c76676846729bd3505"
"73","7x7","7x7-uct-0100","uct-0100","100","2","730101","experiments/issue-73/results/trials/7x7-uct-0100/7x7-uct-0100-0002.trl","0e80b28cd5227115c257ceba8c37f8f307c94e83a1bba7940eea5c7317a0d3e0"
"73","7x7","7x7-uct-0100","uct-0100","100","3","730102","experiments/issue-73/results/trials/7x7-uct-0100/7x7-uct-0100-0003.trl","3e85a451767dc4bf7f46447cfd833085fb5131d2511b52c225be0e3814ba5158"
"73","7x7","7x7-uct-0100","uct-0100","100","4","730103","experiments/issue-73/results/trials/7x7-uct-0100/7x7-uct-0100-0004.trl","b6e231c4981b353b3e34fd293211b8daa7ee8fbaa90193de22451f3c56c5b4a9"
"73","7x7","7x7-uct-0100","uct-0100","100","5","730104","experiments/issue-73/results/trials/7x7-uct-0100/7x7-uct-0100-0005.trl","4f0e13ea4434d5b5d74e0384ee4b8ac7918dd5e74e1134328b0d7c17460ebf5d"
"73","7x7","7x7-uct-0100","uct-0100","100","6","730105","experiments/issue-73/results/trials/7x7-uct-0100/7x7-uct-0100-0006.trl","dfb4d1e950e3faf8a614f7ce135a4c278fa8b4bc8cf0ee65f253688c9afec208"
"73","7x7","7x7-uct-0100","uct-0100","100","7","730106","experiments/issue-73/results/trials/7x7-uct-0100/7x7-uct-0100-0007.trl","bb781379d8d6aa8f72ef70d1b0653b581f5b88cee65d3ee7cac2babbee3fe7d2"
"73","7x7","7x7-uct-0100","uct-0100","100","8","730107","experiments/issue-73/results/trials/7x7-uct-0100/7x7-uct-0100-0008.trl","81c3ac695969d0ef42356c4f48b468db74c7a5dba733c011e221851326a934d2"
"73","7x7","7x7-uct-0100","uct-0100","100","9","730108","experiments/issue-73/results/trials/7x7-uct-0100/7x7-uct-0100-0009.trl","5261826ce54d5ae8137c0c58edd1292a9c44616b54a65e34bd24dea3c38a9eea"
