"domain","scope","board","search_level","metric","games","mean"
"dormant-revisit","k-2","6x6","uct-0500","mean_dormant_active_fronts","50","1.486250"
"dormant-revisit","k-2","6x6","uct-0500","mean_backlog_size","50","2.909167"
"dormant-revisit","k-2","6x6","uct-0500","revisit_rate_observed","50","0.991367"
"dormant-revisit","k-2","6x6","uct-0500","mean_normalized_revisit_lag","50","0.089908"
"dormant-revisit","k-2","6x6","uct-1000","mean_dormant_active_fronts","50","1.399583"
"dormant-revisit","k-2","6x6","uct-1000","mean_backlog_size","50","2.769583"
"dormant-revisit","k-2","6x6","uct-1000","revisit_rate_observed","50","0.990229"
"dormant-revisit","k-2","6x6","uct-1000","mean_normalized_revisit_lag","50","0.093443"
"dormant-revisit","k-2","7x7","seeded-random","mean_dormant_active_fronts","100","1.734792"
"dormant-revisit","k-2","7x7","seeded-random","mean_backlog_size","100","3.305208"
"dormant-revisit","k-2","7x7","seeded-random","revisit_rate_observed","100","0.997760"
"dormant-revisit","k-2","7x7","seeded-random","mean_normalized_revisit_lag","100","0.086985"
"dormant-revisit","k-2","7x7","uct-0100","mean_dormant_active_fronts","50","1.713333"
"dormant-revisit","k-2","7x7","uct-0100","mean_backlog_size","50","3.277500"
"dormant-revisit","k-2","7x7","uct-0100","revisit_rate_observed","50","0.997542"
"dormant-revisit","k-2","7x7","uct-0100","mean_normalized_revisit_lag","50","0.087566"
"dormant-revisit","k-2","7x7","uct-0500","mean_dormant_active_fronts","50","1.515417"
"dormant-revisit","k-2","7x7","uct-0500","mean_backlog_size","50","2.993750"
"dormant-revisit","k-2","7x7","uct-0500","revisit_rate_observed","50","0.992821"
"dormant-revisit","k-2","7x7","uct-0500","mean_normalized_revisit_lag","50","0.089281"
"dormant-revisit","k-2","7x7","uct-1000","mean_dormant_active_fronts","50","1.491667"
"dormant-revisit","k-2","7x7","uct-1000","mean_backlog_size","50","2.948333"
"dormant-revisit","k-2","7x7","uct-1000","revisit_rate_observed","50","0.991124"
"dormant-revisit","k-2","7x7","uct-1000","mean_normalized_revisit_lag","50","0.095030"
"late-game","band-4","3x3","seeded-random","mean_active_fronts","100","5.016000"
"late-game","band-4","3x3","seeded-random","mean_backlog","100","2.880000"
"late-game","band-4","3x3","seeded-random","entropy_gap","100","-0.109219"
"late-game","band-4","3x3","seeded-random","hhi_gap","100","0.044158"
"late-game","band-4","3x3","uct-0100","mean_active_fronts","100","4.556000"
