"board","experiment_id","search_level","game_index","threshold","turns","mean_dormant_active_fronts","dormant_ge2_turn_rate","mean_backlog_size","backlog_ge2_turn_rate","qualifying_departures","revisit_rate_observed","right_censored_rate","mean_revisit_lag","mean_normalized_revisit_lag","revisit_within_four_turns_rate"
"7x7","7x7-seeded-random","seeded-random","70","1","48","3.5625","0.9375","3.5625","0.9375","79","1","0.0759493670886076","3.1780821917808217","0.06621004566210048","0.7837837837837838"
"7x7","7x7-seeded-random","seeded-random","70","3","48","0.8125","0.14583333333333334","3.5625","0.9375","39","1","0.10256410256410256","5.171428571428572","0.10773809523809526","0.5555555555555556"
"7x7","7x7-seeded-random","seeded-random","71","2","48","1.6041666666666667","0.5833333333333334","3.1666666666666665","0.8333333333333334","50","1","0.08","3.652173913043478","0.07608695652173911","0.7021276595744681"
"7x7","7x7-seeded-random","seeded-random","71","1","48","3.1666666666666665","0.8333333333333334","3.1666666666666665","0.8333333333333334","75","1","0.08","2.7681159420289854","0.05766908212560388","0.7941176470588235"
"7x7","7x7-seeded-random","seeded-random","71","3","48","0.5625","0.10416666666666667","3.1666666666666665","0.8333333333333334","27","1","0.07407407407407407","5.04","0.105","0.46153846153846156"
"7x7","7x7-seeded-random","seeded-random","72","2","48","1.6041666666666667","0.5","3.125","0.8541666666666666","47","1","0.10638297872340426","3.8333333333333335","0.07986111111111112","0.6363636363636364"
"7x7","7x7-seeded-random","seeded-random","72","1","48","3.125","0.8541666666666666","3.125","0.8541666666666666","73","1","0.0958904109589041","2.803030303030303","0.05839646464646465","0.7611940298507462"
"7x7","7x7-seeded-random","seeded-random","72","3","48","0.625","0.10416666666666667","3.125","0.8541666666666666","30","1","0.13333333333333333","4.961538461538462","0.10336538461538461","0.42857142857142855"
"7x7","7x7-seeded-random","seeded-random","73","2","48","1.7291666666666667","0.6041666666666666","3.4791666666666665","0.9375","47","1","0.10638297872340426","4.238095238095238","0.08829365079365079","0.627906976744186"
"7x7","7x7-seeded-random","seeded-random","73","1","48","3.4791666666666665","0.9375","3.4791666666666665","0.9375","84","1","0.08333333333333333","2.7662337662337664","0.05762987012987013","0.7894736842105263"
"7x7","7x7-seeded-random","seeded-random","73","3","48","0.75","0.1875","3.4791666666666665","0.9375","36","1","0.08333333333333333","4.848484848484849","0.10101010101010101","0.5294117647058824"
"7x7","7x7-seeded-random","seeded-random","74","2","48","1.8541666666666667","0.6458333333333334","3.4583333333333335","0.8958333333333334","55","1","0.07272727272727272","3.9411764705882355","0.08210784313725489","0.7346938775510204"
"7x7","7x7-seeded-random","seeded-random","74","1","48","3.4583333333333335","0.8958333333333334","3.4583333333333335","0.8958333333333334","77","1","0.07792207792207792","3.112676056338028","0.06484741784037557","0.8088235294117647"
"7x7","7x7-seeded-random","seeded-random","74","3","48","0.7083333333333334","0.16666666666666666","3.4583333333333335","0.8958333333333334","34","1","0.058823529411764705","5.09375","0.10611979166666667","0.5806451612903226"
"7x7","7x7-seeded-random","seeded-random","75","2","48","1.6041666666666667","0.5208333333333334","3.0208333333333335","0.8541666666666666","47","1","0.10638297872340426","3.6904761904761907","0.07688492063492063","0.7619047619047619"
"7x7","7x7-seeded-random","seeded-random","75","1","48","3.0208333333333335","0.8541666666666666","3.0208333333333335","0.8541666666666666","68","1","0.07352941176470588","2.7936507936507935","0.05820105820105822","0.8387096774193549"
"7x7","7x7-seeded-random","seeded-random","75","3","48","0.625","0.08333333333333333","3.0208333333333335","0.8541666666666666","30","1","0.06666666666666667","4.535714285714286","0.09449404761904763","0.6666666666666666"
