"board","experiment_id","iteration_limit","game_index","turn_number","progress","placement_number","mover","target","target_type","supply_source","region"
"7x7-p84","7x7-p84-uct-0100","100","1","4","0.071429","3","2","O05","objective","S05","LH"
"7x7-p84","7x7-p84-uct-0100","100","1","5","0.089286","1","1","S56","supply","","HH"
"7x7-p84","7x7-p84-uct-0100","100","1","5","0.089286","2","1","S77","supply","","HH"
"7x7-p84","7x7-p84-uct-0100","100","1","5","0.089286","3","1","S04","supply","","LM"
"7x7-p84","7x7-p84-uct-0100","100","1","6","0.107143","1","2","S43","supply","","MM"
"7x7-p84","7x7-p84-uct-0100","100","1","6","0.107143","2","2","S67","supply","","HH"
"7x7-p84","7x7-p84-uct-0100","100","1","6","0.107143","3","2","S50","supply","","HL"
"7x7-p84","7x7-p84-uct-0100","100","1","7","0.125000","1","1","S77","supply","","HH"
"7x7-p84","7x7-p84-uct-0100","100","1","7","0.125000","2","1","S00","supply","","LL"
"7x7-p84","7x7-p84-uct-0100","100","1","7","0.125000","3","1","S24","supply","","LM"
"7x7-p84","7x7-p84-uct-0100","100","1","8","0.142857","1","2","S01","supply","","LL"
"7x7-p84","7x7-p84-uct-0100","100","1","8","0.142857","2","2","O65","objective","S66","HH"
"7x7-p84","7x7-p84-uct-0100","100","1","8","0.142857","3","2","S12","supply","","LL"
"7x7-p84","7x7-p84-uct-0100","100","1","9","0.160714","1","1","S51","supply","","HL"
"7x7-p84","7x7-p84-uct-0100","100","1","9","0.160714","2","1","S05","supply","","LH"
"7x7-p84","7x7-p84-uct-0100","100","1","9","0.160714","3","1","O55","objective","S56","HH"
"7x7-p84","7x7-p84-uct-0100","100","1","10","0.178571","1","2","S41","supply","","ML"
"7x7-p84","7x7-p84-uct-0100","100","1","10","0.178571","2","2","S71","supply","","HL"
"7x7-p84","7x7-p84-uct-0100","100","1","10","0.178571","3","2","S15","supply","","LH"
"7x7-p84","7x7-p84-uct-0100","100","1","11","0.196429","1","1","S65","supply","","HH"
"7x7-p84","7x7-p84-uct-0100","100","1","11","0.196429","2","1","O04","objective","S04","LM"
"7x7-p84","7x7-p84-uct-0100","100","1","11","0.196429","3","1","O23","objective","S24","MM"
"7x7-p84","7x7-p84-uct-0100","100","1","12","0.214286","1","2","O66","objective","S67","HH"
"7x7-p84","7x7-p84-uct-0100","100","1","12","0.214286","2","2","S44","supply","","MM"
"7x7-p84","7x7-p84-uct-0100","100","1","12","0.214286","3","2","S64","supply","","HM"
"7x7-p84","7x7-p84-uct-0100","100","1","13","0.232143","1","1","S74","supply","","HM"
"7x7-p84","7x7-p84-uct-0100","100","1","13","0.232143","2","1","O04","objective","S04","LM"
