"board","experiment_id","iteration_limit","game_index","turn_number","progress","mover","region","legal_target_count","total_legal_target_count","regional_opportunity_share"
"7x7-p84","7x7-p84-seeded-random","-1","1","27","0.482143","1","HL","11","99","0.111111"
"7x7-p84","7x7-p84-seeded-random","-1","1","27","0.482143","1","HM","12","99","0.121212"
"7x7-p84","7x7-p84-seeded-random","-1","1","27","0.482143","1","HH","12","99","0.121212"
"7x7-p84","7x7-p84-seeded-random","-1","1","28","0.500000","2","LL","11","95","0.115789"
"7x7-p84","7x7-p84-seeded-random","-1","1","28","0.500000","2","LM","11","95","0.115789"
"7x7-p84","7x7-p84-seeded-random","-1","1","28","0.500000","2","LH","12","95","0.126316"
"7x7-p84","7x7-p84-seeded-random","-1","1","28","0.500000","2","ML","12","95","0.126316"
"7x7-p84","7x7-p84-seeded-random","-1","1","28","0.500000","2","MM","9","95","0.094737"
"7x7-p84","7x7-p84-seeded-random","-1","1","28","0.500000","2","MH","9","95","0.094737"
"7x7-p84","7x7-p84-seeded-random","-1","1","28","0.500000","2","HL","13","95","0.136842"
"7x7-p84","7x7-p84-seeded-random","-1","1","28","0.500000","2","HM","6","95","0.063158"
"7x7-p84","7x7-p84-seeded-random","-1","1","28","0.500000","2","HH","12","95","0.126316"
"7x7-p84","7x7-p84-seeded-random","-1","1","29","0.517857","1","LL","13","99","0.131313"
"7x7-p84","7x7-p84-seeded-random","-1","1","29","0.517857","1","LM","10","99","0.101010"
"7x7-p84","7x7-p84-seeded-random","-1","1","29","0.517857","1","LH","9","99","0.090909"
"7x7-p84","7x7-p84-seeded-random","-1","1","29","0.517857","1","ML","10","99","0.101010"
"7x7-p84","7x7-p84-seeded-random","-1","1","29","0.517857","1","MM","12","99","0.121212"
"7x7-p84","7x7-p84-seeded-random","-1","1","29","0.517857","1","MH","10","99","0.101010"
"7x7-p84","7x7-p84-seeded-random","-1","1","29","0.517857","1","HL","11","99","0.111111"
"7x7-p84","7x7-p84-seeded-random","-1","1","29","0.517857","1","HM","12","99","0.121212"
"7x7-p84","7x7-p84-seeded-random","-1","1","29","0.517857","1","HH","12","99","0.121212"
"7x7-p84","7x7-p84-seeded-random","-1","1","30","0.535714","2","LL","11","96","0.114583"
"7x7-p84","7x7-p84-seeded-random","-1","1","30","0.535714","2","LM","11","96","0.114583"
"7x7-p84","7x7-p84-seeded-random","-1","1","30","0.535714","2","LH","12","96","0.125000"
"7x7-p84","7x7-p84-seeded-random","-1","1","30","0.535714","2","ML","12","96","0.125000"
"7x7-p84","7x7-p84-seeded-random","-1","1","30","0.535714","2","MM","9","96","0.093750"
"7x7-p84","7x7-p84-seeded-random","-1","1","30","0.535714","2","MH","10","96","0.104167"
"7x7-p84","7x7-p84-seeded-random","-1","1","30","0.535714","2","HL","13","96","0.135417"
"7x7-p84","7x7-p84-seeded-random","-1","1","30","0.535714","2","HM","6","96","0.062500"
"7x7-p84","7x7-p84-seeded-random","-1","1","30","0.535714","2","HH","12","96","0.125000"
"7x7-p84","7x7-p84-seeded-random","-1","1","31","0.553571","1","LL","13","96","0.135417"
"7x7-p84","7x7-p84-seeded-random","-1","1","31","0.553571","1","LM","7","96","0.072917"
"7x7-p84","7x7-p84-seeded-random","-1","1","31","0.553571","1","LH","9","96","0.093750"
"7x7-p84","7x7-p84-seeded-random","-1","1","31","0.553571","1","ML","10","96","0.104167"
"7x7-p84","7x7-p84-seeded-random","-1","1","31","0.553571","1","MM","12","96","0.125000"
"7x7-p84","7x7-p84-seeded-random","-1","1","31","0.553571","1","MH","10","96","0.104167"
"7x7-p84","7x7-p84-seeded-random","-1","1","31","0.553571","1","HL","11","96","0.114583"
"7x7-p84","7x7-p84-seeded-random","-1","1","31","0.553571","1","HM","12","96","0.125000"
"7x7-p84","7x7-p84-seeded-random","-1","1","31","0.553571","1","HH","12","96","0.125000"
"7x7-p84","7x7-p84-seeded-random","-1","1","32","0.571429","2","LL","11","96","0.114583"
"7x7-p84","7x7-p84-seeded-random","-1","1","32","0.571429","2","LM","11","96","0.114583"
"7x7-p84","7x7-p84-seeded-random","-1","1","32","0.571429","2","LH","12","96","0.125000"
"7x7-p84","7x7-p84-seeded-random","-1","1","32","0.571429","2","ML","12","96","0.125000"
"7x7-p84","7x7-p84-seeded-random","-1","1","32","0.571429","2","MM","9","96","0.093750"
"7x7-p84","7x7-p84-seeded-random","-1","1","32","0.571429","2","MH","10","96","0.104167"
"7x7-p84","7x7-p84-seeded-random","-1","1","32","0.571429","2","HL","13","96","0.135417"
"7x7-p84","7x7-p84-seeded-random","-1","1","32","0.571429","2","HM","6","96","0.062500"
"7x7-p84","7x7-p84-seeded-random","-1","1","32","0.571429","2","HH","12","96","0.125000"
"7x7-p84","7x7-p84-seeded-random","-1","1","33","0.589286","1","LL","13","97","0.134021"
"7x7-p84","7x7-p84-seeded-random","-1","1","33","0.589286","1","LM","7","97","0.072165"
"7x7-p84","7x7-p84-seeded-random","-1","1","33","0.589286","1","LH","9","97","0.092784"
"7x7-p84","7x7-p84-seeded-random","-1","1","33","0.589286","1","ML","10","97","0.103093"
"7x7-p84","7x7-p84-seeded-random","-1","1","33","0.589286","1","MM","12","97","0.123711"
"7x7-p84","7x7-p84-seeded-random","-1","1","33","0.589286","1","MH","10","97","0.103093"
"7x7-p84","7x7-p84-seeded-random","-1","1","33","0.589286","1","HL","12","97","0.123711"
"7x7-p84","7x7-p84-seeded-random","-1","1","33","0.589286","1","HM","12","97","0.123711"
"7x7-p84","7x7-p84-seeded-random","-1","1","33","0.589286","1","HH","12","97","0.123711"
"7x7-p84","7x7-p84-seeded-random","-1","1","34","0.607143","2","LL","11","96","0.114583"
"7x7-p84","7x7-p84-seeded-random","-1","1","34","0.607143","2","LM","11","96","0.114583"
"7x7-p84","7x7-p84-seeded-random","-1","1","34","0.607143","2","LH","12","96","0.125000"
"7x7-p84","7x7-p84-seeded-random","-1","1","34","0.607143","2","ML","12","96","0.125000"
"7x7-p84","7x7-p84-seeded-random","-1","1","34","0.607143","2","MM","9","96","0.093750"
"7x7-p84","7x7-p84-seeded-random","-1","1","34","0.607143","2","MH","10","96","0.104167"
"7x7-p84","7x7-p84-seeded-random","-1","1","34","0.607143","2","HL","13","96","0.135417"
"7x7-p84","7x7-p84-seeded-random","-1","1","34","0.607143","2","HM","6","96","0.062500"
"7x7-p84","7x7-p84-seeded-random","-1","1","34","0.607143","2","HH","12","96","0.125000"
"7x7-p84","7x7-p84-seeded-random","-1","1","35","0.625000","1","LL","13","97","0.134021"
"7x7-p84","7x7-p84-seeded-random","-1","1","35","0.625000","1","LM","7","97","0.072165"
"7x7-p84","7x7-p84-seeded-random","-1","1","35","0.625000","1","LH","9","97","0.092784"
"7x7-p84","7x7-p84-seeded-random","-1","1","35","0.625000","1","ML","10","97","0.103093"
"7x7-p84","7x7-p84-seeded-random","-1","1","35","0.625000","1","MM","13","97","0.134021"
"7x7-p84","7x7-p84-seeded-random","-1","1","35","0.625000","1","MH","9","97","0.092784"
"7x7-p84","7x7-p84-seeded-random","-1","1","35","0.625000","1","HL","12","97","0.123711"
"7x7-p84","7x7-p84-seeded-random","-1","1","35","0.625000","1","HM","12","97","0.123711"
"7x7-p84","7x7-p84-seeded-random","-1","1","35","0.625000","1","HH","12","97","0.123711"
"7x7-p84","7x7-p84-seeded-random","-1","1","36","0.642857","2","LL","11","96","0.114583"
"7x7-p84","7x7-p84-seeded-random","-1","1","36","0.642857","2","LM","11","96","0.114583"
"7x7-p84","7x7-p84-seeded-random","-1","1","36","0.642857","2","LH","12","96","0.125000"
"7x7-p84","7x7-p84-seeded-random","-1","1","36","0.642857","2","ML","12","96","0.125000"
"7x7-p84","7x7-p84-seeded-random","-1","1","36","0.642857","2","MM","9","96","0.093750"
"7x7-p84","7x7-p84-seeded-random","-1","1","36","0.642857","2","MH","10","96","0.104167"
"7x7-p84","7x7-p84-seeded-random","-1","1","36","0.642857","2","HL","13","96","0.135417"
"7x7-p84","7x7-p84-seeded-random","-1","1","36","0.642857","2","HM","6","96","0.062500"
"7x7-p84","7x7-p84-seeded-random","-1","1","36","0.642857","2","HH","12","96","0.125000"
"7x7-p84","7x7-p84-seeded-random","-1","1","37","0.660714","1","LL","13","97","0.134021"
"7x7-p84","7x7-p84-seeded-random","-1","1","37","0.660714","1","LM","7","97","0.072165"
"7x7-p84","7x7-p84-seeded-random","-1","1","37","0.660714","1","LH","9","97","0.092784"
"7x7-p84","7x7-p84-seeded-random","-1","1","37","0.660714","1","ML","11","97","0.113402"
"7x7-p84","7x7-p84-seeded-random","-1","1","37","0.660714","1","MM","13","97","0.134021"
"7x7-p84","7x7-p84-seeded-random","-1","1","37","0.660714","1","MH","9","97","0.092784"
"7x7-p84","7x7-p84-seeded-random","-1","1","37","0.660714","1","HL","11","97","0.113402"
"7x7-p84","7x7-p84-seeded-random","-1","1","37","0.660714","1","HM","12","97","0.123711"
"7x7-p84","7x7-p84-seeded-random","-1","1","37","0.660714","1","HH","12","97","0.123711"
