"board","experiment_id","iteration_limit","game_index","turn_number","progress","mover","p1_placements_so_far","p2_placements_so_far","objective_snapshot"
"7x7-p84","7x7-p84-seeded-random","-1","1","31","0.553571","1","48","45","2:0:1|0:0:0|0:0:0|0:0:0|2:0:1|0:0:0|0:0:0|1:1:0|0:0:0|0:0:0|2:0:1|0:1:1|0:0:0|2:0:1|0:0:0|0:0:0|0:0:0|0:0:0|2:0:1|2:0:1|0:0:0|0:0:0|0:0:0|1:1:0|1:2:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|1:1:0|1:1:0|0:0:0|2:1:2|0:0:0|0:0:0|0:0:0|0:0:0|1:1:0|1:2:0|0:0:0|2:0:2|0:0:0|0:0:0|1:2:0|0:0:0|1:1:0"
"7x7-p84","7x7-p84-seeded-random","-1","1","32","0.571429","2","48","48","2:0:1|0:0:0|0:0:0|0:0:0|2:0:1|0:0:0|0:0:0|1:1:0|0:0:0|0:0:0|2:0:1|0:1:1|0:0:0|2:0:1|0:0:0|0:0:0|0:0:0|0:0:0|2:0:1|2:0:2|0:0:0|0:0:0|0:0:0|1:1:0|1:2:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|1:1:0|1:1:0|0:0:0|2:1:2|0:0:0|0:0:0|0:0:0|0:0:0|1:1:0|1:2:0|0:0:0|2:0:2|0:0:0|0:0:0|1:2:0|0:0:0|1:1:0"
"7x7-p84","7x7-p84-seeded-random","-1","1","33","0.589286","1","51","48","2:0:1|0:0:0|0:0:0|0:0:0|2:0:1|0:0:0|0:0:0|1:1:0|0:0:0|0:0:0|2:0:1|0:1:1|0:0:0|2:0:1|0:0:0|0:0:0|0:0:0|0:0:0|2:0:1|2:0:2|0:0:0|0:0:0|0:0:0|1:1:0|1:2:0|1:1:0|0:0:0|0:0:0|0:0:0|1:1:0|0:0:0|0:0:0|1:1:0|1:1:0|0:0:0|2:1:2|0:0:0|0:0:0|0:0:0|0:0:0|1:1:0|1:2:0|0:0:0|2:0:2|0:0:0|0:0:0|1:2:0|0:0:0|1:1:0"
"7x7-p84","7x7-p84-seeded-random","-1","1","34","0.607143","2","51","51","2:0:1|0:0:0|0:0:0|0:0:0|2:0:1|0:0:0|0:0:0|1:1:0|0:0:0|0:0:0|2:0:1|0:1:1|0:0:0|2:0:1|0:0:0|0:0:0|0:0:0|0:0:0|2:0:1|2:0:2|2:0:1|0:0:0|0:0:0|1:1:0|1:2:0|1:1:0|0:0:0|0:0:0|0:0:0|1:1:0|0:0:0|0:0:0|0:1:1|1:1:0|0:0:0|2:1:2|0:0:0|0:0:0|0:0:0|0:0:0|1:1:0|1:2:0|0:0:0|2:0:2|0:0:0|0:0:0|1:2:0|0:0:0|1:1:0"
"7x7-p84","7x7-p84-seeded-random","-1","1","35","0.625000","1","54","51","2:0:1|0:0:0|1:1:0|0:0:0|2:0:1|0:0:0|0:0:0|1:1:0|0:0:0|0:0:0|2:0:1|0:1:1|0:0:0|2:0:1|0:0:0|0:0:0|0:0:0|0:0:0|2:0:1|2:0:2|2:0:1|0:0:0|0:0:0|1:2:0|1:2:0|1:1:0|0:0:0|0:0:0|0:0:0|1:1:0|0:0:0|0:0:0|0:1:1|1:1:0|0:0:0|2:1:2|0:0:0|0:0:0|0:0:0|0:0:0|1:1:0|1:2:0|0:0:0|2:0:2|0:0:0|0:0:0|1:2:0|0:0:0|1:1:0"
"7x7-p84","7x7-p84-seeded-random","-1","1","36","0.642857","2","54","54","2:0:1|0:0:0|1:1:0|0:0:0|2:0:1|0:0:0|0:0:0|1:1:0|0:0:0|0:0:0|2:0:2|0:1:1|0:0:0|2:0:1|0:0:0|0:0:0|0:0:0|0:0:0|2:0:1|2:0:2|2:0:1|0:0:0|0:0:0|1:2:0|1:2:0|1:1:0|2:0:1|0:0:0|0:0:0|1:1:0|0:0:0|0:0:0|0:1:1|1:1:0|0:0:0|2:1:2|0:0:0|0:0:0|0:0:0|0:0:0|1:1:0|1:2:0|0:0:0|2:0:2|0:0:0|0:0:0|1:2:0|0:0:0|1:1:0"
"7x7-p84","7x7-p84-seeded-random","-1","1","37","0.660714","1","57","54","2:0:1|0:0:0|1:1:0|0:0:0|2:0:1|0:0:0|0:0:0|1:1:0|0:0:0|0:0:0|2:0:2|0:1:1|0:0:0|2:0:1|0:0:0|0:0:0|0:0:0|0:0:0|2:0:1|2:0:2|2:0:1|0:0:0|0:0:0|1:2:0|1:2:0|1:1:0|2:0:1|0:0:0|0:0:0|1:1:0|0:0:0|0:0:0|0:1:1|1:1:0|0:0:0|2:1:2|0:0:0|0:0:0|0:0:0|0:0:0|1:1:0|1:2:0|0:0:0|2:0:2|0:0:0|0:0:0|1:2:0|0:0:0|1:1:0"
"7x7-p84","7x7-p84-seeded-random","-1","1","38","0.678571","2","57","57","2:0:1|0:0:0|1:1:0|0:0:0|2:0:1|0:0:0|0:0:0|1:1:0|0:0:0|0:0:0|2:0:2|0:1:1|0:0:0|2:0:1|0:0:0|0:0:0|0:0:0|0:0:0|2:0:1|2:0:2|2:0:1|0:0:0|0:0:0|1:2:0|1:2:0|1:1:0|2:0:1|0:0:0|0:0:0|1:1:0|0:0:0|0:0:0|0:1:1|1:1:0|0:0:0|2:1:2|0:0:0|0:0:0|0:0:0|0:0:0|1:1:0|1:2:0|0:0:0|2:0:2|0:0:0|0:0:0|1:2:0|0:0:0|1:1:0"
"7x7-p84","7x7-p84-seeded-random","-1","1","39","0.696429","1","60","57","2:0:1|0:0:0|1:1:0|0:0:0|2:0:1|0:0:0|0:0:0|1:1:0|0:0:0|0:0:0|2:0:2|0:1:1|0:0:0|2:0:1|0:0:0|0:0:0|0:0:0|0:0:0|2:0:1|2:0:2|2:0:1|0:0:0|0:0:0|1:2:0|1:2:0|1:1:0|2:0:1|0:0:0|0:0:0|1:1:0|0:0:0|0:0:0|0:1:1|1:1:0|0:0:0|0:2:2|0:0:0|0:0:0|0:0:0|0:0:0|1:1:0|1:2:0|0:0:0|2:0:2|0:0:0|0:0:0|1:2:0|0:0:0|1:1:0"
"7x7-p84","7x7-p84-seeded-random","-1","1","40","0.714286","2","60","60","2:0:1|0:0:0|1:1:0|0:0:0|2:0:1|0:0:0|0:0:0|1:1:0|0:0:0|0:0:0|2:0:2|0:1:1|0:0:0|2:0:1|0:0:0|0:0:0|0:0:0|0:0:0|2:0:1|2:0:2|2:0:1|0:0:0|0:0:0|1:2:0|1:2:0|1:1:0|2:0:1|0:0:0|0:0:0|1:1:0|0:0:0|0:0:0|2:1:2|1:1:0|0:0:0|0:2:2|0:0:0|0:0:0|0:0:0|0:0:0|1:1:0|1:2:0|2:0:1|2:0:2|0:0:0|0:0:0|1:2:0|2:0:1|1:1:0"
"7x7-p84","7x7-p84-seeded-random","-1","1","41","0.732143","1","63","60","2:0:1|0:0:0|1:1:0|0:0:0|2:0:1|0:0:0|0:0:0|1:1:0|0:0:0|0:0:0|2:0:2|0:1:1|0:0:0|2:0:1|0:0:0|0:0:0|0:0:0|0:0:0|2:0:1|2:0:2|2:0:1|0:0:0|0:0:0|1:2:0|1:2:0|1:1:0|2:0:1|0:0:0|0:0:0|1:1:0|0:0:0|0:0:0|2:1:2|1:2:0|0:0:0|0:2:2|0:0:0|0:0:0|0:0:0|0:0:0|1:1:0|1:2:0|2:0:1|2:0:2|0:0:0|0:0:0|3:3:0|0:1:1|1:1:0"
