"board","experiment_id","search_level","game_index","window_turns","mean_active_regions","multi_active_turn_rate","longest_multi_active_run","longest_multi_active_run_fraction","mean_both_invested_regions","multi_both_invested_turn_rate","mixed_leadership_turn_rate","mean_opportunity_adjusted_activity","focus_switch_rate","focus_eligible_fraction","no_dominant_turn_rate"
"7x7-p84","7x7-p84-seeded-random","seeded-random","86","2","4.035714285714286","0.9285714285714286","52","0.9285714285714286","0.75","0.125","0.9285714285714286","4.063094415841228","1","0.09090909090909091","0.7142857142857143"
"7x7-p84","7x7-p84-seeded-random","seeded-random","87","2","3.8392857142857144","0.9464285714285714","53","0.9464285714285714","0.9464285714285714","0.17857142857142858","0.875","3.7806135728577672","1","0.07272727272727272","0.75"
"7x7-p84","7x7-p84-seeded-random","seeded-random","88","2","4.089285714285714","0.9642857142857143","54","0.9642857142857143","0.9821428571428571","0.2857142857142857","0.8035714285714286","4.106198872492865","0.8","0.09090909090909091","0.7321428571428571"
"7x7-p84","7x7-p84-seeded-random","seeded-random","89","2","3.857142857142857","0.9464285714285714","53","0.9464285714285714","0.875","0.17857142857142858","0.8392857142857143","3.792581032027771","1","0.07272727272727272","0.6964285714285714"
"7x7-p84","7x7-p84-seeded-random","seeded-random","90","2","3.75","0.9464285714285714","53","0.9464285714285714","0.875","0.19642857142857142","0.8571428571428571","3.767369525063591","1","0.09090909090909091","0.7142857142857143"
"7x7-p84","7x7-p84-seeded-random","seeded-random","91","2","4.375","0.9821428571428571","55","0.9821428571428571","0.75","0.125","0.8392857142857143","4.337506685585875","1","0.05454545454545454","0.7321428571428571"
"7x7-p84","7x7-p84-seeded-random","seeded-random","92","2","4.053571428571429","0.9642857142857143","54","0.9642857142857143","0.75","0.10714285714285714","0.8928571428571429","4.075045388811422","1","0.18181818181818182","0.6071428571428571"
"7x7-p84","7x7-p84-seeded-random","seeded-random","93","2","3.9642857142857144","0.9821428571428571","55","0.9821428571428571","0.8214285714285714","0.10714285714285714","0.7678571428571429","4.017632969302515","0.625","0.14545454545454545","0.6071428571428571"
"7x7-p84","7x7-p84-seeded-random","seeded-random","94","2","4.053571428571429","0.9285714285714286","48","0.8571428571428571","0.875","0.19642857142857142","0.8928571428571429","4.058869701445871","0.75","0.07272727272727272","0.6964285714285714"
"7x7-p84","7x7-p84-seeded-random","seeded-random","95","2","3.9285714285714284","0.8928571428571429","50","0.8928571428571429","0.7857142857142857","0.14285714285714285","0.875","3.988385798804381","1","0.14545454545454545","0.625"
"7x7-p84","7x7-p84-seeded-random","seeded-random","96","2","4.017857142857143","0.9285714285714286","52","0.9285714285714286","0.8571428571428571","0.17857142857142858","0.9285714285714286","4.00693286442632","0.6666666666666666","0.05454545454545454","0.7142857142857143"
"7x7-p84","7x7-p84-seeded-random","seeded-random","97","2","3.982142857142857","0.875","47","0.8392857142857143","0.6071428571428571","0.08928571428571429","0.875","3.9332795392286446","0.8571428571428571","0.12727272727272726","0.6607142857142857"
