"board","experiment_id","search_level","game_index","threshold","region","cycle_index","departure_turn","departure_progress","qualification_turn","endpoint_turn","outcome","revisit_turn","revisit_lag","normalized_revisit_lag","right_censored"
"7x7-p72","7x7-seeded-random","seeded-random","1","3","MM","4","41","0.8541666666666666","43","46","reactivation_revisit","46","5","0.10416666666666667","false"
"7x7-p72","7x7-seeded-random","seeded-random","1","3","MH","1","7","0.14583333333333334","9","11","reactivation_revisit","11","4","0.08333333333333333","false"
"7x7-p72","7x7-seeded-random","seeded-random","1","3","MH","2","17","0.3541666666666667","19","20","persistent_revisit","20","3","0.0625","false"
"7x7-p72","7x7-seeded-random","seeded-random","1","3","MH","3","21","0.4375","23","27","reactivation_revisit","27","6","0.125","false"
"7x7-p72","7x7-seeded-random","seeded-random","1","3","MH","4","28","0.5833333333333334","30","33","reactivation_revisit","33","5","0.10416666666666667","false"
"7x7-p72","7x7-seeded-random","seeded-random","1","3","MH","5","38","0.7916666666666666","40","43","reactivation_revisit","43","5","0.10416666666666667","false"
"7x7-p72","7x7-seeded-random","seeded-random","1","3","MH","6","44","0.9166666666666666","46","47","persistent_revisit","47","3","0.0625","false"
"7x7-p72","7x7-seeded-random","seeded-random","1","3","HL","1","15","0.3125","17","22","reactivation_revisit","22","7","0.14583333333333334","false"
"7x7-p72","7x7-seeded-random","seeded-random","1","3","HL","2","23","0.4791666666666667","25","26","persistent_revisit","26","3","0.0625","false"
"7x7-p72","7x7-seeded-random","seeded-random","1","3","HL","3","31","0.6458333333333334","33","34","persistent_revisit","34","3","0.0625","false"
"7x7-p72","7x7-seeded-random","seeded-random","1","3","HL","4","35","0.7291666666666666","37","38","persistent_revisit","38","3","0.0625","false"
"7x7-p72","7x7-seeded-random","seeded-random","1","3","HL","5","45","0.9375","47","48","right_censored","","","","true"
"7x7-p72","7x7-seeded-random","seeded-random","1","3","HM","1","6","0.125","8","17","reactivation_revisit","17","11","0.22916666666666666","false"
"7x7-p72","7x7-seeded-random","seeded-random","1","3","HM","2","33","0.6875","35","42","reactivation_revisit","42","9","0.1875","false"
"7x7-p72","7x7-seeded-random","seeded-random","1","3","HM","3","44","0.9166666666666666","46","48","reactivation_revisit","48","4","0.08333333333333333","false"
