"board","experiment_id","search_level","game_index","checkpoint","turn_number","supply_share","secured_supply","secured_objectives","recent_normalized_entropy","recent_largest_region_share","recent_hhi","recent_region_coverage"
"7x7-p72","7x7-seeded-random","seeded-random","14","0.75","36","0.6203703703703703","1","1","0.8680423562500167","0.16666666666666666","0.15277777777777776","0.7777777777777778"
"7x7-p72","7x7-seeded-random","seeded-random","14","0.9","44","0.6060606060606061","2","2","0.8283522741071695","0.25","0.18055555555555558","0.7777777777777778"
"7x7-p72","7x7-seeded-random","seeded-random","15","0.25","12","0.6388888888888888","0","0","0.8680423562500167","0.16666666666666666","0.1527777777777778","0.7777777777777778"
"7x7-p72","7x7-seeded-random","seeded-random","15","0.5","24","0.6805555555555556","0","0","0.8154648767857287","0.3333333333333333","0.19444444444444448","0.7777777777777778"
"7x7-p72","7x7-seeded-random","seeded-random","15","0.75","36","0.6203703703703703","0","0","0.7757747946428812","0.25","0.19444444444444448","0.6666666666666666"
"7x7-p72","7x7-seeded-random","seeded-random","15","0.9","44","0.6439393939393939","2","1","0.8680423562500167","0.16666666666666666","0.1527777777777778","0.7777777777777778"
"7x7-p72","7x7-seeded-random","seeded-random","16","0.25","12","0.7777777777777778","1","1","0.7628873973214406","0.3333333333333333","0.20833333333333337","0.6666666666666666"
"7x7-p72","7x7-seeded-random","seeded-random","16","0.5","24","0.6388888888888888","1","2","0.8481973151785931","0.25","0.16666666666666669","0.7777777777777778"
"7x7-p72","7x7-seeded-random","seeded-random","16","0.75","36","0.6111111111111112","1","3","0.9533522741071696","0.25","0.1388888888888889","1"
"7x7-p72","7x7-seeded-random","seeded-random","16","0.9","44","0.5833333333333334","3","5","0.7430423562500168","0.3333333333333333","0.22222222222222224","0.6666666666666666"
"7x7-p72","7x7-seeded-random","seeded-random","17","0.25","12","0.7777777777777778","1","0","0.7430423562500168","0.3333333333333333","0.2222222222222222","0.6666666666666666"
"7x7-p72","7x7-seeded-random","seeded-random","17","0.5","24","0.7361111111111112","1","1","0.775774794642881","0.25","0.19444444444444445","0.6666666666666666"
"7x7-p72","7x7-seeded-random","seeded-random","17","0.75","36","0.6851851851851852","1","2","0.8283522741071693","0.25","0.18055555555555555","0.7777777777777778"
"7x7-p72","7x7-seeded-random","seeded-random","17","0.9","44","0.6439393939393939","3","3","0.8154648767857289","0.3333333333333333","0.19444444444444445","0.7777777777777778"
"7x7-p72","7x7-seeded-random","seeded-random","18","0.25","12","0.8055555555555556","0","0","0.920619835714305","0.16666666666666666","0.1388888888888889","0.8888888888888888"
"7x7-p72","7x7-seeded-random","seeded-random","18","0.5","24","0.6944444444444444","0","1","0.973197315178593","0.16666666666666666","0.125","1"
"7x7-p72","7x7-seeded-random","seeded-random","18","0.75","36","0.6388888888888888","2","3","0.8481973151785931","0.25","0.16666666666666669","0.7777777777777778"
"7x7-p72","7x7-seeded-random","seeded-random","18","0.9","44","0.6136363636363636","3","6","0.8680423562500167","0.16666666666666666","0.1527777777777778","0.7777777777777778"
"7x7-p72","7x7-seeded-random","seeded-random","19","0.25","12","0.7777777777777778","0","0","0.8154648767857287","0.3333333333333333","0.19444444444444445","0.7777777777777778"
"7x7-p72","7x7-seeded-random","seeded-random","19","0.5","24","0.7638888888888888","1","0","0.7757747946428812","0.25","0.19444444444444448","0.6666666666666666"
"7x7-p72","7x7-seeded-random","seeded-random","19","0.75","36","0.6759259259259259","4","0","0.8283522741071693","0.25","0.18055555555555555","0.7777777777777778"
"7x7-p72","7x7-seeded-random","seeded-random","19","0.9","44","0.6439393939393939","4","1","0.7757747946428812","0.25","0.19444444444444448","0.6666666666666666"
"7x7-p72","7x7-seeded-random","seeded-random","20","0.25","12","0.8333333333333334","0","0","0.7956198357143048","0.25","0.18055555555555555","0.6666666666666666"
"7x7-p72","7x7-seeded-random","seeded-random","20","0.5","24","0.75","3","1","0.920619835714305","0.16666666666666666","0.1388888888888889","0.8888888888888888"
