"board","experiment_id","search_level","game_index","late_objective_placements","late_objective_placements_per_total","target_state_changed_rate","local_lead_changed_rate","contributes_to_securing_rate","global_comparison_changed_rate","global_outcome_still_mutable_rate","region_outcome_fixed_before_rate"
"7x7-p72","7x7-uct-0100","uct-0100","23","17","0.11805555555555555","0.8823529411764706","0.23529411764705882","0.7058823529411765","0.058823529411764705","1","0.058823529411764705"
"7x7-p72","7x7-uct-0100","uct-0100","24","17","0.11805555555555555","0.8823529411764706","0.11764705882352941","0.29411764705882354","0","1","0.058823529411764705"
"7x7-p72","7x7-uct-0100","uct-0100","25","24","0.16666666666666666","0.7916666666666666","0.16666666666666666","0.4583333333333333","0.25","1","0.16666666666666666"
"7x7-p72","7x7-uct-0100","uct-0100","26","21","0.14583333333333334","0.9047619047619048","0.3333333333333333","0.47619047619047616","0.14285714285714285","0.9047619047619048","0.047619047619047616"
"7x7-p72","7x7-uct-0100","uct-0100","27","19","0.13194444444444445","0.6842105263157895","0.21052631578947367","0.3157894736842105","0","1","0.10526315789473684"
"7x7-p72","7x7-uct-0100","uct-0100","28","22","0.1527777777777778","0.8636363636363636","0.09090909090909091","0.6363636363636364","0.3181818181818182","1","0.2727272727272727"
"7x7-p72","7x7-uct-0100","uct-0100","29","18","0.125","0.7777777777777778","0.1111111111111111","0.6111111111111112","0.16666666666666666","1","0.2777777777777778"
"7x7-p72","7x7-uct-0100","uct-0100","30","21","0.14583333333333334","0.7619047619047619","0.14285714285714285","0.2857142857142857","0.09523809523809523","1","0.09523809523809523"
"7x7-p72","7x7-uct-0100","uct-0100","31","23","0.1597222222222222","0.8260869565217391","0.17391304347826086","0.43478260869565216","0.13043478260869565","1","0.043478260869565216"
"7x7-p72","7x7-uct-0100","uct-0100","32","16","0.1111111111111111","0.8125","0.1875","0.25","0.0625","0.8125","0.125"
"7x7-p72","7x7-uct-0100","uct-0100","33","24","0.16666666666666666","0.75","0.08333333333333333","0.4583333333333333","0.3333333333333333","1","0.125"
"7x7-p72","7x7-uct-0100","uct-0100","34","25","0.1736111111111111","0.76","0.08","0.16","0.04","1","0.04"
"7x7-p72","7x7-uct-0100","uct-0100","35","22","0.1527777777777778","0.9090909090909091","0.22727272727272727","0.3181818181818182","0.22727272727272727","1","0.13636363636363635"
"7x7-p72","7x7-uct-0100","uct-0100","36","21","0.14583333333333334","0.8571428571428571","0","0.42857142857142855","0.09523809523809523","0.9047619047619048","0.23809523809523808"
"7x7-p72","7x7-uct-0100","uct-0100","37","19","0.13194444444444445","0.6842105263157895","0.15789473684210525","0.3157894736842105","0.05263157894736842","0.9473684210526315","0.05263157894736842"
"7x7-p72","7x7-uct-0100","uct-0100","38","25","0.1736111111111111","0.72","0.08","0.28","0.12","1","0.2"
"7x7-p72","7x7-uct-0100","uct-0100","39","23","0.1597222222222222","0.8695652173913043","0.13043478260869565","0.43478260869565216","0.17391304347826086","1","0.2608695652173913"
"7x7-p72","7x7-uct-0100","uct-0100","40","22","0.1527777777777778","0.9090909090909091","0.13636363636363635","0.3181818181818182","0.36363636363636365","1","0.13636363636363635"
"7x7-p72","7x7-uct-0100","uct-0100","41","22","0.1527777777777778","0.9090909090909091","0.09090909090909091","0.2727272727272727","0.18181818181818182","1","0.18181818181818182"
"7x7-p72","7x7-uct-0100","uct-0100","42","29","0.2013888888888889","0.8620689655172413","0.06896551724137931","0.3793103448275862","0.2413793103448276","1","0.06896551724137931"
"7x7-p72","7x7-uct-0100","uct-0100","43","18","0.125","0.8888888888888888","0.2777777777777778","0.2777777777777778","0.05555555555555555","1","0.2222222222222222"
"7x7-p72","7x7-uct-0100","uct-0100","44","19","0.13194444444444445","0.8421052631578947","0.15789473684210525","0.42105263157894735","0.10526315789473684","1","0"
"7x7-p72","7x7-uct-0100","uct-0100","45","23","0.1597222222222222","0.6521739130434783","0.13043478260869565","0.21739130434782608","0.043478260869565216","1","0.08695652173913043"
"7x7-p72","7x7-uct-0100","uct-0100","46","21","0.14583333333333334","0.6666666666666666","0.2857142857142857","0.47619047619047616","0.2857142857142857","1","0.09523809523809523"
"7x7-p72","7x7-uct-0100","uct-0100","47","26","0.18055555555555555","0.9230769230769231","0.15384615384615385","0.19230769230769232","0.38461538461538464","1","0.038461538461538464"
"7x7-p72","7x7-uct-0100","uct-0100","48","25","0.1736111111111111","0.8","0.08","0.44","0.28","1","0.12"
"7x7-p72","7x7-uct-0100","uct-0100","49","21","0.14583333333333334","0.8571428571428571","0.2857142857142857","0.3333333333333333","0.047619047619047616","0.9523809523809523","0.047619047619047616"
"7x7-p72","7x7-uct-0100","uct-0100","50","20","0.1388888888888889","0.95","0.2","0.6","0.2","0.95","0.05"
"7x7-p72","7x7-uct-0500","uct-0500","1","28","0.19444444444444445","0.7857142857142857","0","0.6428571428571429","0.21428571428571427","1","0.17857142857142858"
