"board","experiment_id","search_level","game_index","focus_switches","unresolved_carryover_switches","unresolved_carryover_rate","mean_carryover_duration","carryover_later_revisited","carryover_later_revisit_rate"
"7x7-p72","7x7-uct-0500","uct-0500","6","8","4","0.5","5.75","2","0.5"
"7x7-p72","7x7-uct-0500","uct-0500","7","4","3","0.75","12.666666666666666","3","1"
"7x7-p72","7x7-uct-0500","uct-0500","8","6","6","1","6.166666666666667","5","0.8333333333333334"
"7x7-p72","7x7-uct-0500","uct-0500","9","3","3","1","5.666666666666667","2","0.6666666666666666"
"7x7-p72","7x7-uct-0500","uct-0500","10","4","4","1","8.5","4","1"
"7x7-p72","7x7-uct-0500","uct-0500","11","5","3","0.6","2","1","0.3333333333333333"
"7x7-p72","7x7-uct-0500","uct-0500","12","8","8","1","5.875","7","0.875"
"7x7-p72","7x7-uct-0500","uct-0500","13","9","5","0.5555555555555556","5.2","4","0.8"
"7x7-p72","7x7-uct-0500","uct-0500","14","8","8","1","7.125","7","0.875"
"7x7-p72","7x7-uct-0500","uct-0500","15","6","4","0.6666666666666666","10","4","1"
"7x7-p72","7x7-uct-0500","uct-0500","16","5","4","0.8","5","4","1"
"7x7-p72","7x7-uct-0500","uct-0500","17","8","8","1","10.625","7","0.875"
"7x7-p72","7x7-uct-0500","uct-0500","18","4","3","0.75","15.333333333333334","3","1"
"7x7-p72","7x7-uct-0500","uct-0500","19","9","8","0.8888888888888888","6.75","6","0.75"
"7x7-p72","7x7-uct-0500","uct-0500","20","4","4","1","3.75","4","1"
"7x7-p72","7x7-uct-0500","uct-0500","21","4","3","0.75","7.666666666666667","3","1"
"7x7-p72","7x7-uct-0500","uct-0500","22","8","8","1","7.875","7","0.875"
"7x7-p72","7x7-uct-0500","uct-0500","23","3","3","1","3","3","1"
"7x7-p72","7x7-uct-0500","uct-0500","24","2","2","1","3","2","1"
"7x7-p72","7x7-uct-0500","uct-0500","25","7","4","0.5714285714285714","2.25","0","0"
