"contrast_id","minuend_budget","subtrahend_budget","domain","scope","metric","games_minuend","games_subtrahend","mean_minuend","mean_subtrahend","difference_minuend_minus_subtrahend","ci_low","ci_high"
"96-minus-72","96","72","progress","0.75","recent_hhi","50","50","0.203056","0.206667","-0.003611","-0.023889","0.015833"
"96-minus-72","96","72","progress","0.75","recent_region_coverage","50","50","0.717778","0.697778","0.020000","-0.026667","0.064444"
"96-minus-84","96","84","progress","0.75","supply_share","50","50","0.479028","0.473333","0.005694","-0.010198","0.021131"
"96-minus-84","96","84","progress","0.75","secured_supply","50","50","1.700000","1.360000","0.340000","-0.140000","0.820000"
"96-minus-84","96","84","progress","0.75","secured_objectives","50","50","17.900000","15.920000","1.980000","0.880000","3.100000"
"96-minus-84","96","84","progress","0.75","recent_normalized_entropy","50","50","0.785586","0.792057","-0.006470","-0.038407","0.026791"
"96-minus-84","96","84","progress","0.75","recent_largest_region_share","50","50","0.295000","0.298333","-0.003333","-0.033333","0.026667"
"96-minus-84","96","84","progress","0.75","recent_hhi","50","50","0.203056","0.200556","0.002500","-0.015000","0.020833"
"96-minus-84","96","84","progress","0.75","recent_region_coverage","50","50","0.717778","0.726667","-0.008889","-0.053333","0.035556"
"84-minus-72","84","72","progress","0.9","supply_share","50","50","0.439608","0.427273","0.012335","-0.002231","0.028402"
"84-minus-72","84","72","progress","0.9","secured_supply","50","50","1.920000","0.840000","1.080000","0.580000","1.560000"
"84-minus-72","84","72","progress","0.9","secured_objectives","50","50","22.640000","19.440000","3.200000","2.400000","3.980000"
"84-minus-72","84","72","progress","0.9","recent_normalized_entropy","50","50","0.754114","0.769620","-0.015505","-0.051424","0.019382"
"84-minus-72","84","72","progress","0.9","recent_largest_region_share","50","50","0.331667","0.318333","0.013333","-0.023333","0.046667"
"84-minus-72","84","72","progress","0.9","recent_hhi","50","50","0.220556","0.215833","0.004722","-0.016111","0.025556"
"84-minus-72","84","72","progress","0.9","recent_region_coverage","50","50","0.680000","0.706667","-0.026667","-0.066667","0.015556"
"96-minus-72","96","72","progress","0.9","supply_share","50","50","0.442414","0.427273","0.015141","0.001149","0.029608"
"96-minus-72","96","72","progress","0.9","secured_supply","50","50","2.240000","0.840000","1.400000","1.000000","1.840000"
"96-minus-72","96","72","progress","0.9","secured_objectives","50","50","26.580000","19.440000","7.140000","6.120000","8.060000"
"96-minus-72","96","72","progress","0.9","recent_normalized_entropy","50","50","0.748399","0.769620","-0.021221","-0.055507","0.015469"
"96-minus-72","96","72","progress","0.9","recent_largest_region_share","50","50","0.320000","0.318333","0.001667","-0.035000","0.035000"
"96-minus-72","96","72","progress","0.9","recent_hhi","50","50","0.220000","0.215833","0.004167","-0.017222","0.024722"
"96-minus-72","96","72","progress","0.9","recent_region_coverage","50","50","0.664444","0.706667","-0.042222","-0.086667","0.004444"
"96-minus-84","96","84","progress","0.9","supply_share","50","50","0.442414","0.439608","0.002806","-0.010726","0.016534"
"96-minus-84","96","84","progress","0.9","secured_supply","50","50","2.240000","1.920000","0.320000","-0.220000","0.880000"
"96-minus-84","96","84","progress","0.9","secured_objectives","50","50","26.580000","22.640000","3.940000","2.980000","4.900000"
"96-minus-84","96","84","progress","0.9","recent_normalized_entropy","50","50","0.748399","0.754114","-0.005716","-0.037494","0.025221"
"96-minus-84","96","84","progress","0.9","recent_largest_region_share","50","50","0.320000","0.331667","-0.011667","-0.043333","0.020000"
"96-minus-84","96","84","progress","0.9","recent_hhi","50","50","0.220000","0.220556","-0.000556","-0.018889","0.016944"
"96-minus-84","96","84","progress","0.9","recent_region_coverage","50","50","0.664444","0.680000","-0.015556","-0.060000","0.028889"
"84-minus-72","84","72","concurrent","window-4","mean_active_regions","50","50","5.165714","5.066250","0.099464","-0.090060","0.287024"
"84-minus-72","84","72","concurrent","window-4","multi_active_turn_rate","50","50","0.935357","0.932500","0.002857","-0.010833","0.015714"
"84-minus-72","84","72","concurrent","window-4","longest_multi_active_run","50","50","52.220000","44.540000","7.680000","6.920000","8.520000"
"84-minus-72","84","72","concurrent","window-4","longest_multi_active_run_fraction","50","50","0.932500","0.927917","0.004583","-0.011131","0.020417"
"84-minus-72","84","72","concurrent","window-4","mean_both_invested_regions","50","50","1.909643","1.813333","0.096310","-0.010655","0.197857"
