"board","experiment_id","search_level","game_index","turn_number","progress","mover","allocation_pattern","regions_used","supply_placements","objective_placements"
"7x7-p72","7x7-uct-1000","uct-1000","31","1","0.020833","1","2+1","2","3","0"
"7x7-p72","7x7-uct-1000","uct-1000","31","2","0.041667","2","2+1","2","3","0"
"7x7-p72","7x7-uct-1000","uct-1000","31","3","0.062500","1","1+1+1","3","2","1"
"7x7-p72","7x7-uct-1000","uct-1000","31","4","0.083333","2","1+1+1","3","2","1"
"7x7-p72","7x7-uct-1000","uct-1000","31","5","0.104167","1","1+1+1","3","2","1"
"7x7-p72","7x7-uct-1000","uct-1000","31","6","0.125000","2","2+1","2","1","2"
"7x7-p72","7x7-uct-1000","uct-1000","31","7","0.145833","1","2+1","2","3","0"
"7x7-p72","7x7-uct-1000","uct-1000","31","8","0.166667","2","2+1","2","2","1"
"7x7-p72","7x7-uct-1000","uct-1000","31","9","0.187500","1","1+1+1","3","3","0"
"7x7-p72","7x7-uct-1000","uct-1000","31","10","0.208333","2","1+1+1","3","2","1"
"7x7-p72","7x7-uct-1000","uct-1000","31","11","0.229167","1","1+1+1","3","1","2"
"7x7-p72","7x7-uct-1000","uct-1000","31","12","0.250000","2","2+1","2","2","1"
"7x7-p72","7x7-uct-1000","uct-1000","31","13","0.270833","1","1+1+1","3","1","2"
"7x7-p72","7x7-uct-1000","uct-1000","31","14","0.291667","2","2+1","2","2","1"
"7x7-p72","7x7-uct-1000","uct-1000","31","15","0.312500","1","1+1+1","3","1","2"
"7x7-p72","7x7-uct-1000","uct-1000","31","16","0.333333","2","1+1+1","3","1","2"
"7x7-p72","7x7-uct-1000","uct-1000","31","17","0.354167","1","2+1","2","0","3"
"7x7-p72","7x7-uct-1000","uct-1000","31","18","0.375000","2","1+1+1","3","2","1"
"7x7-p72","7x7-uct-1000","uct-1000","31","19","0.395833","1","1+1+1","3","1","2"
"7x7-p72","7x7-uct-1000","uct-1000","31","20","0.416667","2","1+1+1","3","1","2"
"7x7-p72","7x7-uct-1000","uct-1000","31","21","0.437500","1","2+1","2","1","2"
"7x7-p72","7x7-uct-1000","uct-1000","31","22","0.458333","2","2+1","2","2","1"
"7x7-p72","7x7-uct-1000","uct-1000","31","23","0.479167","1","1+1+1","3","2","1"
"7x7-p72","7x7-uct-1000","uct-1000","31","24","0.500000","2","1+1+1","3","1","2"
"7x7-p72","7x7-uct-1000","uct-1000","31","25","0.520833","1","1+1+1","3","2","1"
"7x7-p72","7x7-uct-1000","uct-1000","31","26","0.541667","2","1+1+1","3","1","2"
"7x7-p72","7x7-uct-1000","uct-1000","31","27","0.562500","1","2+1","2","1","2"
"7x7-p72","7x7-uct-1000","uct-1000","31","28","0.583333","2","1+1+1","3","2","1"
"7x7-p72","7x7-uct-1000","uct-1000","31","29","0.604167","1","1+1+1","3","1","2"
"7x7-p72","7x7-uct-1000","uct-1000","31","30","0.625000","2","1+1+1","3","0","3"
"7x7-p72","7x7-uct-1000","uct-1000","31","31","0.645833","1","1+1+1","3","2","1"
"7x7-p72","7x7-uct-1000","uct-1000","31","32","0.666667","2","1+1+1","3","0","3"
"7x7-p72","7x7-uct-1000","uct-1000","31","33","0.687500","1","1+1+1","3","1","2"
"7x7-p72","7x7-uct-1000","uct-1000","31","34","0.708333","2","1+1+1","3","1","2"
"7x7-p72","7x7-uct-1000","uct-1000","31","35","0.729167","1","3","1","0","3"
"7x7-p72","7x7-uct-1000","uct-1000","31","36","0.750000","2","1+1+1","3","0","3"
"7x7-p72","7x7-uct-1000","uct-1000","31","37","0.770833","1","1+1+1","3","0","3"
"7x7-p72","7x7-uct-1000","uct-1000","31","38","0.791667","2","1+1+1","3","2","1"
"7x7-p72","7x7-uct-1000","uct-1000","31","39","0.812500","1","2+1","2","0","3"
"7x7-p72","7x7-uct-1000","uct-1000","31","40","0.833333","2","1+1+1","3","0","3"
"7x7-p72","7x7-uct-1000","uct-1000","31","41","0.854167","1","2+1","2","0","3"
"7x7-p72","7x7-uct-1000","uct-1000","31","42","0.875000","2","1+1+1","3","0","3"
"7x7-p72","7x7-uct-1000","uct-1000","31","43","0.895833","1","2+1","2","1","2"
"7x7-p72","7x7-uct-1000","uct-1000","31","44","0.916667","2","1+1+1","3","1","2"
"7x7-p72","7x7-uct-1000","uct-1000","31","45","0.937500","1","3","1","0","3"
"7x7-p72","7x7-uct-1000","uct-1000","31","46","0.958333","2","3","1","1","2"
"7x7-p72","7x7-uct-1000","uct-1000","31","47","0.979167","1","2+1","2","1","2"
"7x7-p72","7x7-uct-1000","uct-1000","31","48","1.000000","2","2+1","2","0","3"
"7x7-p72","7x7-uct-1000","uct-1000","32","1","0.020833","1","2+1","2","3","0"
"7x7-p72","7x7-uct-1000","uct-1000","32","2","0.041667","2","1+1+1","3","3","0"
"7x7-p72","7x7-uct-1000","uct-1000","32","3","0.062500","1","1+1+1","3","3","0"
"7x7-p72","7x7-uct-1000","uct-1000","32","4","0.083333","2","1+1+1","3","3","0"
"7x7-p72","7x7-uct-1000","uct-1000","32","5","0.104167","1","2+1","2","1","2"
"7x7-p72","7x7-uct-1000","uct-1000","32","6","0.125000","2","1+1+1","3","1","2"
"7x7-p72","7x7-uct-1000","uct-1000","32","7","0.145833","1","2+1","2","1","2"
"7x7-p72","7x7-uct-1000","uct-1000","32","8","0.166667","2","1+1+1","3","2","1"
"7x7-p72","7x7-uct-1000","uct-1000","32","9","0.187500","1","1+1+1","3","3","0"
"7x7-p72","7x7-uct-1000","uct-1000","32","10","0.208333","2","1+1+1","3","2","1"
"7x7-p72","7x7-uct-1000","uct-1000","32","11","0.229167","1","1+1+1","3","1","2"
"7x7-p72","7x7-uct-1000","uct-1000","32","12","0.250000","2","2+1","2","1","2"
"7x7-p72","7x7-uct-1000","uct-1000","32","13","0.270833","1","1+1+1","3","0","3"
"7x7-p72","7x7-uct-1000","uct-1000","32","14","0.291667","2","1+1+1","3","2","1"
"7x7-p72","7x7-uct-1000","uct-1000","32","15","0.312500","1","1+1+1","3","0","3"
"7x7-p72","7x7-uct-1000","uct-1000","32","16","0.333333","2","1+1+1","3","0","3"
"7x7-p72","7x7-uct-1000","uct-1000","32","17","0.354167","1","1+1+1","3","1","2"
"7x7-p72","7x7-uct-1000","uct-1000","32","18","0.375000","2","1+1+1","3","2","1"
"7x7-p72","7x7-uct-1000","uct-1000","32","19","0.395833","1","2+1","2","1","2"
"7x7-p72","7x7-uct-1000","uct-1000","32","20","0.416667","2","1+1+1","3","1","2"
"7x7-p72","7x7-uct-1000","uct-1000","32","21","0.437500","1","1+1+1","3","1","2"
"7x7-p72","7x7-uct-1000","uct-1000","32","22","0.458333","2","2+1","2","3","0"
"7x7-p72","7x7-uct-1000","uct-1000","32","23","0.479167","1","1+1+1","3","0","3"
"7x7-p72","7x7-uct-1000","uct-1000","32","24","0.500000","2","1+1+1","3","1","2"
"7x7-p72","7x7-uct-1000","uct-1000","32","25","0.520833","1","1+1+1","3","2","1"
"7x7-p72","7x7-uct-1000","uct-1000","32","26","0.541667","2","1+1+1","3","1","2"
"7x7-p72","7x7-uct-1000","uct-1000","32","27","0.562500","1","1+1+1","3","3","0"
"7x7-p72","7x7-uct-1000","uct-1000","32","28","0.583333","2","1+1+1","3","0","3"
"7x7-p72","7x7-uct-1000","uct-1000","32","29","0.604167","1","1+1+1","3","1","2"
"7x7-p72","7x7-uct-1000","uct-1000","32","30","0.625000","2","2+1","2","0","3"
"7x7-p72","7x7-uct-1000","uct-1000","32","31","0.645833","1","1+1+1","3","0","3"
"7x7-p72","7x7-uct-1000","uct-1000","32","32","0.666667","2","1+1+1","3","1","2"
"7x7-p72","7x7-uct-1000","uct-1000","32","33","0.687500","1","1+1+1","3","2","1"
"7x7-p72","7x7-uct-1000","uct-1000","32","34","0.708333","2","2+1","2","0","3"
"7x7-p72","7x7-uct-1000","uct-1000","32","35","0.729167","1","2+1","2","2","1"
"7x7-p72","7x7-uct-1000","uct-1000","32","36","0.750000","2","1+1+1","3","0","3"
"7x7-p72","7x7-uct-1000","uct-1000","32","37","0.770833","1","2+1","2","1","2"
"7x7-p72","7x7-uct-1000","uct-1000","32","38","0.791667","2","1+1+1","3","0","3"
"7x7-p72","7x7-uct-1000","uct-1000","32","39","0.812500","1","1+1+1","3","0","3"
"7x7-p72","7x7-uct-1000","uct-1000","32","40","0.833333","2","3","1","0","3"
"7x7-p72","7x7-uct-1000","uct-1000","32","41","0.854167","1","2+1","2","1","2"
"7x7-p72","7x7-uct-1000","uct-1000","32","42","0.875000","2","2+1","2","0","3"
"7x7-p72","7x7-uct-1000","uct-1000","32","43","0.895833","1","1+1+1","3","0","3"
"7x7-p72","7x7-uct-1000","uct-1000","32","44","0.916667","2","1+1+1","3","0","3"
"7x7-p72","7x7-uct-1000","uct-1000","32","45","0.937500","1","2+1","2","1","2"
"7x7-p72","7x7-uct-1000","uct-1000","32","46","0.958333","2","2+1","2","0","3"
"7x7-p72","7x7-uct-1000","uct-1000","32","47","0.979167","1","1+1+1","3","0","3"
"7x7-p72","7x7-uct-1000","uct-1000","32","48","1.000000","2","1+1+1","3","1","2"
"7x7-p72","7x7-uct-1000","uct-1000","33","1","0.020833","1","1+1+1","3","3","0"
"7x7-p72","7x7-uct-1000","uct-1000","33","2","0.041667","2","2+1","2","3","0"
"7x7-p72","7x7-uct-1000","uct-1000","33","3","0.062500","1","2+1","2","2","1"
"7x7-p72","7x7-uct-1000","uct-1000","33","4","0.083333","2","2+1","2","2","1"
"7x7-p72","7x7-uct-1000","uct-1000","33","5","0.104167","1","2+1","2","1","2"
"7x7-p72","7x7-uct-1000","uct-1000","33","6","0.125000","2","1+1+1","3","3","0"
"7x7-p72","7x7-uct-1000","uct-1000","33","7","0.145833","1","2+1","2","3","0"
"7x7-p72","7x7-uct-1000","uct-1000","33","8","0.166667","2","1+1+1","3","2","1"
"7x7-p72","7x7-uct-1000","uct-1000","33","9","0.187500","1","2+1","2","1","2"
"7x7-p72","7x7-uct-1000","uct-1000","33","10","0.208333","2","1+1+1","3","1","2"
"7x7-p72","7x7-uct-1000","uct-1000","33","11","0.229167","1","1+1+1","3","3","0"
"7x7-p72","7x7-uct-1000","uct-1000","33","12","0.250000","2","1+1+1","3","3","0"
