"source_issue","board","piece_budget","experiment_id","search_level","iteration_limit","game_index","seed","trial_file","trial_sha256","canonical_trial_sha256","source_manifest_trial_sha256","source_manifest_hash_match"
"73","7x7-p72","72","7x7-seeded-random","seeded-random","-1","48","730047","experiments/issue-73/results/trials/7x7-seeded-random/7x7-seeded-random-0048.trl","e8f3025891b987bdbfbc0f8024c12ad548fba2cea5b9e29afabb3496930c8558","fcb2c23751429ab36a369b6186a1a45bf75d119c6c1bbe4f0108cc55eaf5d3b8","83401534629e0af06ba82c95dc7a7085edfbeb17a90d96d3f4f871d4f7c6c7de","false"
"73","7x7-p72","72","7x7-seeded-random","seeded-random","-1","49","730048","experiments/issue-73/results/trials/7x7-seeded-random/7x7-seeded-random-0049.trl","32855ffafe318f0c848522b2f2ca8686d1ccc98cf566671e64821f4092327416","7e34a2e814318acc319d3469fc321967679cdf358652c30cf6d1dfc7a7a613ea","c5a903ce57cc8aaeadcc7360a2554e4f0ac93b27022cc058d10dfe6a447274e7","false"
"73","7x7-p72","72","7x7-seeded-random","seeded-random","-1","50","730049","experiments/issue-73/results/trials/7x7-seeded-random/7x7-seeded-random-0050.trl","95729da54268ffc971ef8117d2b42849d28d65aaf5c7d373ed60fac41735519e","acc5a4eb7389a19fa416715076cc8af04ce52a6a22318ea1b555b3330b79031e","f3df436c62353363af77dadfd21c077c251714984abcde8c688f5a4b30e82267","false"
"73","7x7-p72","72","7x7-seeded-random","seeded-random","-1","51","730050","experiments/issue-73/results/trials/7x7-seeded-random/7x7-seeded-random-0051.trl","39b030ebc716c1b12a940cdba05dcb48fa06fa9b711e09a6b69d2b29d8174ba5","fd7c877d0b30f2ceff19d89762734196da66278858a11cd48cea0a4224952697","afd30eeb7d9ad2bc75940c8642795f1297558bfa806d914c529f230587fa4a15","false"
"73","7x7-p72","72","7x7-seeded-random","seeded-random","-1","52","730051","experiments/issue-73/results/trials/7x7-seeded-random/7x7-seeded-random-0052.trl","0b3033508cb315a4ed126b8fd1ce6089eccb36d17d423e7a87ff5cbf82f7fc13","f2f30f5be69ced2a83e0c9fbb2e824caf0bf340e2ddefcd571fda5b6e1d77060","0559e5741046397ea25514ab9e9db175182c2f56eb2c15c5ae2975f671a3178f","false"
"73","7x7-p72","72","7x7-seeded-random","seeded-random","-1","53","730052","experiments/issue-73/results/trials/7x7-seeded-random/7x7-seeded-random-0053.trl","d34c254182f490f62eaafe7b1060b4978351c50b8bd70564b9450257b4c7d79f","51b2fd981ae2971e6f25664974c8081038d9e29230d27a344039c225be47f4fd","80ec168a9000faef2c625a85c7999123ce2b75c7db5563623f99c8ea86162c52","false"
"73","7x7-p72","72","7x7-seeded-random","seeded-random","-1","54","730053","experiments/issue-73/results/trials/7x7-seeded-random/7x7-seeded-random-0054.trl","71a3010c5b14a9190d9349ce744d5f477a316e92505a264344dcc0bce24b06bb","3e69c679afd0c415175536e591587616612a659e52e702348bb6fe218d4a387e","64cc2cbe0fa8c0bf1708d833b8724eec10497b62e3b00e6c1f64ccee3cd8a8da","false"
"73","7x7-p72","72","7x7-seeded-random","seeded-random","-1","55","730054","experiments/issue-73/results/trials/7x7-seeded-random/7x7-seeded-random-0055.trl","059365aea4df79223171d7a2b3aa984c210ee62a527fea0da4f7a7e248e30398","0333dd9c24e02e60affe93b96e685d0a936a2505b33aab5be458fcbbc0c51c74","f2b4c32cdbc4568c9551062ba3c34592ee89a855aacf5c012d93aaaf87cf031d","false"
"73","7x7-p72","72","7x7-seeded-random","seeded-random","-1","56","730055","experiments/issue-73/results/trials/7x7-seeded-random/7x7-seeded-random-0056.trl","d3e3f0495cb5557125b30ae8d34dfd3f137ab2acc99f6ab6939997fb7ca53728","66de54ad3c904b318d81d2e69b46116b5d817b7c6e33758cfe67e8b35436c28c","b629b6ef2b9e9d406f7f7a69c2a2ae1534af1a0890965ab8b2a48b35c73cbf6a","false"
"73","7x7-p72","72","7x7-seeded-random","seeded-random","-1","57","730056","experiments/issue-73/results/trials/7x7-seeded-random/7x7-seeded-random-0057.trl","2e16e3290ae8d19b6a766fbe4824dd28996c7ac01f8fcb3c3f83989a333286d0","79bdfe36887b07fdd8caeffdf599a6affdba08f08b35b758324501a8c5050ed6","54f7341554c90fb8273c597be9aaa96ea2ab4ce3375b8a687b01b9aeaf061ec8","false"
"73","7x7-p72","72","7x7-seeded-random","seeded-random","-1","58","730057","experiments/issue-73/results/trials/7x7-seeded-random/7x7-seeded-random-0058.trl","7f712e80bc6a7b5e13edf72458ab080b5fc6f49d2b4705c585ca9ad1575045b4","30ef3c332b9ec19b9d6dac6de641f7a37f27039e3319de2e92a6a1cb314a2b6b","41a5e77b42e678e850b607a3f8c622ad1e6f145f61ead0dd56000da4673a2a37","false"
"73","7x7-p72","72","7x7-seeded-random","seeded-random","-1","59","730058","experiments/issue-73/results/trials/7x7-seeded-random/7x7-seeded-random-0059.trl","bfb90a93bc1b340b7a03a821f1be6ce2e95d2300bbadc954e5070918dc9045b8","bfadab73089bb305c42e0a75006d067db6c0cc8c5e1b9bb52b52f50476194e01","f8da69a2cd2e1994695f08b79e47be0c2af1b8602f69540b75ceb024b185f3ff","false"
"73","7x7-p72","72","7x7-seeded-random","seeded-random","-1","60","730059","experiments/issue-73/results/trials/7x7-seeded-random/7x7-seeded-random-0060.trl","b917f91ecf9a3e18f4acf41de5061a3369e83e8fea877bdc42c96861faa9c1af","2033193fecc90f816e31fe34bbb536e4e0ef9ea0e6b1ab5847d5f9b11769b76f","ded29f6e21ba2270265e620cf93e483c22b60a7d21ac405351152e49adc73b3d","false"
"73","7x7-p72","72","7x7-seeded-random","seeded-random","-1","61","730060","experiments/issue-73/results/trials/7x7-seeded-random/7x7-seeded-random-0061.trl","79a5b4873df1b68dac5566b5fd2d6597eed7614eb59fea7ef1243be7501326e9","1031847a1cd2efaaec3656dbcb1f9297834a2798e4653e7adab07fad95358293","a659d1619cee278f71c72b72896c782496b7d74feb1bc2b240af0949075828aa","false"
"73","7x7-p72","72","7x7-seeded-random","seeded-random","-1","62","730061","experiments/issue-73/results/trials/7x7-seeded-random/7x7-seeded-random-0062.trl","73ec625e14bda1cc0c72cea0184b36cbe8955822123cb24cf7b42b0003c30c3b","8205dde86d1368f5291be229994f70626a4f166610854d777c62e05abc481e8e","10d2667b61f2b60d23d797dc89b05ec884fd09ace8db04c11cc52921ad73ff3a","false"
"73","7x7-p72","72","7x7-seeded-random","seeded-random","-1","63","730062","experiments/issue-73/results/trials/7x7-seeded-random/7x7-seeded-random-0063.trl","b1b94e8e79e2b94a86f158879a708acfa03c552b8f43a9c6becb220a9b287d70","57c8db6a7150f66cebc3bcaffcdc29be2ca00841af94a57dcf7a80eca4678b5b","fb4c1ac8dfc00f4549dc75a3311b29cfa79f2f8fa67ee79ea320ec6ae9f2f88d","false"
"73","7x7-p72","72","7x7-seeded-random","seeded-random","-1","64","730063","experiments/issue-73/results/trials/7x7-seeded-random/7x7-seeded-random-0064.trl","3b20ff7ff55523c6f7e8448e8d29360ab203b97633d1ba0dc9527542f62673cc","0f5fdf1a0f0e6aa72e0b934941cec32934bcb7bab739cd9b926c2ec1f583e394","1ae0fb0b9fb74f5308d5061903cab67dedc290215e942b0491b7d7cefb26e4b1","false"
