"board","experiment_id","search_level","game_index","supply_share","objective_share","secured_supply","secured_objectives","secured_supply_per_placement","secured_objectives_per_placement","secured_objectives_per_available_objective","secured_supply_events","secured_supply_later_use_rate","mean_regions_used"
"7x7-p84","7x7-p84-uct-0500","uct-0500","43","0.47619047619047616","0.5238095238095238","4","22","0.023809523809523808","0.13095238095238096","0.4489795918367347","4","0.75","2.625"
"7x7-p84","7x7-p84-uct-0500","uct-0500","44","0.44642857142857145","0.5535714285714286","3","25","0.017857142857142856","0.1488095238095238","0.5102040816326531","3","0.6666666666666666","2.5714285714285716"
"7x7-p84","7x7-p84-uct-0500","uct-0500","45","0.4880952380952381","0.5119047619047619","2","21","0.011904761904761904","0.125","0.42857142857142855","2","0.5","2.5892857142857144"
"7x7-p84","7x7-p84-uct-0500","uct-0500","46","0.5059523809523809","0.49404761904761907","4","19","0.023809523809523808","0.1130952380952381","0.3877551020408163","4","0.5","2.7142857142857144"
"7x7-p84","7x7-p84-uct-0500","uct-0500","47","0.4642857142857143","0.5357142857142857","1","22","0.005952380952380952","0.13095238095238096","0.4489795918367347","1","0","2.5892857142857144"
"7x7-p84","7x7-p84-uct-0500","uct-0500","48","0.42857142857142855","0.5714285714285714","0","25","0","0.1488095238095238","0.5102040816326531","0","","2.6607142857142856"
"7x7-p84","7x7-p84-uct-0500","uct-0500","49","0.4107142857142857","0.5892857142857143","0","22","0","0.13095238095238096","0.4489795918367347","0","","2.6964285714285716"
"7x7-p84","7x7-p84-uct-0500","uct-0500","50","0.4226190476190476","0.5773809523809523","1","26","0.005952380952380952","0.15476190476190477","0.5306122448979592","1","1","2.7142857142857144"
"7x7-p84","7x7-p84-uct-1000","uct-1000","1","0.44047619047619047","0.5595238095238095","1","23","0.005952380952380952","0.13690476190476192","0.46938775510204084","1","1","2.607142857142857"
"7x7-p84","7x7-p84-uct-1000","uct-1000","2","0.4583333333333333","0.5416666666666666","1","27","0.005952380952380952","0.16071428571428573","0.5510204081632653","1","0","2.4285714285714284"
"7x7-p84","7x7-p84-uct-1000","uct-1000","3","0.39285714285714285","0.6071428571428571","1","27","0.005952380952380952","0.16071428571428573","0.5510204081632653","1","0","2.607142857142857"
"7x7-p84","7x7-p84-uct-1000","uct-1000","4","0.38095238095238093","0.6190476190476191","2","27","0.011904761904761904","0.16071428571428573","0.5510204081632653","2","0.5","2.5535714285714284"
"7x7-p84","7x7-p84-uct-1000","uct-1000","5","0.4642857142857143","0.5357142857142857","4","22","0.023809523809523808","0.13095238095238096","0.4489795918367347","4","1","2.607142857142857"
"7x7-p84","7x7-p84-uct-1000","uct-1000","6","0.3630952380952381","0.6369047619047619","1","28","0.005952380952380952","0.16666666666666666","0.5714285714285714","1","0","2.5"
"7x7-p84","7x7-p84-uct-1000","uct-1000","7","0.4880952380952381","0.5119047619047619","6","22","0.03571428571428571","0.13095238095238096","0.4489795918367347","6","0.8333333333333334","2.607142857142857"
"7x7-p84","7x7-p84-uct-1000","uct-1000","8","0.5178571428571429","0.48214285714285715","8","19","0.047619047619047616","0.1130952380952381","0.3877551020408163","8","0.625","2.6964285714285716"
"7x7-p84","7x7-p84-uct-1000","uct-1000","9","0.4583333333333333","0.5416666666666666","2","22","0.011904761904761904","0.13095238095238096","0.4489795918367347","2","0","2.732142857142857"
"7x7-p84","7x7-p84-uct-1000","uct-1000","10","0.42857142857142855","0.5714285714285714","1","28","0.005952380952380952","0.16666666666666666","0.5714285714285714","1","0","2.517857142857143"
"7x7-p84","7x7-p84-uct-1000","uct-1000","11","0.4166666666666667","0.5833333333333334","0","28","0","0.16666666666666666","0.5714285714285714","0","","2.5357142857142856"
"7x7-p84","7x7-p84-uct-1000","uct-1000","12","0.39880952380952384","0.6011904761904762","0","28","0","0.16666666666666666","0.5714285714285714","0","","2.5714285714285716"
"7x7-p84","7x7-p84-uct-1000","uct-1000","13","0.43452380952380953","0.5654761904761905","3","24","0.017857142857142856","0.14285714285714285","0.4897959183673469","3","0.6666666666666666","2.6607142857142856"
"7x7-p84","7x7-p84-uct-1000","uct-1000","14","0.40476190476190477","0.5952380952380952","1","25","0.005952380952380952","0.1488095238095238","0.5102040816326531","1","1","2.482142857142857"
"7x7-p84","7x7-p84-uct-1000","uct-1000","15","0.5","0.5","2","22","0.011904761904761904","0.13095238095238096","0.4489795918367347","2","0.5","2.5892857142857144"
"7x7-p84","7x7-p84-uct-1000","uct-1000","16","0.4523809523809524","0.5476190476190477","3","26","0.017857142857142856","0.15476190476190477","0.5306122448979592","3","0.3333333333333333","2.5357142857142856"
"7x7-p84","7x7-p84-uct-1000","uct-1000","17","0.44047619047619047","0.5595238095238095","0","26","0","0.15476190476190477","0.5306122448979592","0","","2.4464285714285716"
"7x7-p84","7x7-p84-uct-1000","uct-1000","18","0.38095238095238093","0.6190476190476191","2","29","0.011904761904761904","0.17261904761904762","0.5918367346938775","2","0.5","2.6607142857142856"
